"source","target","value","type"
NA,NA,341581,"grant"
NA,NA,6704.68,"grant"
NA,NA,7623410,"grant"
NA,NA,1002281.77,"grant"
NA,NA,606325,"grant"
NA,NA,599989,"grant"
NA,NA,165,"grant"
NA,NA,2286550.47,"grant"
NA,NA,379844149,"grant"
NA,NA,5111128,"grant"
NA,NA,23503491.03,"grant"
NA,NA,14146011.31,"grant"
NA,NA,5505604.52,"grant"
NA,NA,138441783.54,"grant"
NA,NA,87345973,"grant"
NA,NA,6401429,"grant"
NA,NA,5382607,"grant"
NA,NA,2006453,"grant"
NA,NA,4704042.62,"grant"
NA,NA,4582145.86,"grant"
NA,NA,1316242.5,"grant"
NA,NA,1049710,"grant"
NA,NA,1495290.02,"grant"
NA,NA,6040863.06,"grant"
NA,NA,5325368.98,"grant"
NA,NA,3510059,"grant"
NA,NA,1187298,"grant"
NA,NA,486921,"grant"
NA,NA,5210174.65,"grant"
NA,NA,4142137,"grant"
NA,NA,87261,"grant"
NA,NA,8302987,"grant"
NA,NA,44003.9,"grant"
NA,NA,1777584146,"grant"
NA,NA,691007268,"grant"
NA,NA,55199999,"grant"
NA,NA,24387090,"grant"
NA,NA,17861157,"grant"
NA,NA,26943396,"grant"
NA,NA,8422147,"grant"
NA,NA,419004267,"grant"
NA,NA,30783808,"grant"
NA,NA,3506394,"grant"
NA,NA,2659771,"grant"
NA,NA,892000,"grant"
NA,NA,84319464,"grant"
NA,NA,19019382.83,"grant"
NA,NA,10942815,"grant"
NA,NA,3394365.72,"grant"
NA,NA,121522.67,"grant"
NA,NA,46044014,"grant"
NA,NA,11029998,"grant"
NA,NA,10596639,"grant"
NA,NA,8876368,"grant"
NA,NA,5398053,"grant"
NA,NA,961500,"grant"
NA,NA,40295053.49,"grant"
NA,NA,1358605,"grant"
NA,NA,893523,"grant"
NA,NA,763112,"grant"
NA,NA,225000,"grant"
NA,NA,58841170,"grant"
NA,NA,10736610,"grant"
NA,NA,6804778,"grant"
NA,NA,5615644,"grant"
NA,NA,4148478,"grant"
NA,NA,716670807,"grant"
NA,NA,14791580.07,"grant"
NA,NA,6479749,"grant"
NA,NA,5611360,"grant"
NA,NA,2800000,"grant"
NA,NA,479174.83,"grant"
NA,NA,359842173,"grant"
NA,NA,326209903.53,"grant"
NA,NA,71643492.72,"grant"
NA,NA,36909888.87,"grant"
NA,NA,18366207.44,"grant"
NA,NA,23397789,"grant"
NA,NA,21652965.96,"grant"
NA,NA,15466609.93,"grant"
NA,NA,11976167,"grant"
NA,NA,10980104,"grant"
NA,NA,8736714,"grant"
NA,NA,5577245,"grant"
NA,NA,487722,"grant"
NA,NA,30785752.13,"grant"
NA,NA,8439536.5,"grant"
NA,NA,519379.68,"grant"
NA,NA,460310,"grant"
NA,NA,59947461.05,"grant"
NA,NA,4303680,"grant"
NA,NA,2130515,"grant"
NA,NA,196000,"grant"
NA,NA,99997.61,"grant"
NA,NA,17555095,"grant"
NA,NA,2666486,"grant"
NA,NA,1867365.26,"grant"
NA,NA,1581653,"grant"
NA,NA,676806.28,"grant"
NA,NA,5380560.92,"grant"
NA,NA,574928.11,"grant"
NA,NA,39977,"grant"
NA,NA,10925,"grant"
NA,NA,1950000,"grant"
NA,NA,3004754.47,"grant"
NA,NA,2109684.48,"grant"
NA,NA,1082500,"grant"
NA,NA,649688,"grant"
NA,NA,22655010.31,"grant"
NA,NA,16703133,"grant"
NA,NA,434032,"grant"
NA,NA,14357437.22,"grant"
NA,NA,13883776.59,"grant"
NA,NA,6588186.88,"grant"
NA,NA,4202027.46,"grant"
NA,NA,3867284.04,"grant"
NA,NA,11590694.64,"grant"
NA,NA,1522824.65,"grant"
NA,NA,1368067.78,"grant"
NA,NA,166274,"grant"
"Academic Exchange Programs","Department of State",7759974,"research"
"Academic Exchange Programs","Department of Education",5011641.99,"research"
"Addiction and Recovery","National Institutes of Health",316868307,"research"
"Agriculture and Farming","National Institute of Food and Agriculture",34071083.58,"research"
"Agriculture and Farming","Foreign Agricultural Service",186336.5,"research"
"Agriculture and Farming R&D","National Institute of Food and Agriculture",545008547.76,"research"
"Agriculture and Farming R&D","Foreign Agricultural Service",5005607.89,"research"
"Business","Department of Education",4571400,"research"
"Business","National Institute of Food and Agriculture",1800542.86,"research"
"Clean Water Programs","National Oceanic and Atmospheric Administration",693644,"research"
"Cybersecurity","Department of the Air Force",2978465,"research"
"Defense R&D","Department of the Army",293417291,"research"
"Defense R&D","Department of the Air Force",275357717,"research"
"Drug Policy R&D","Office of the National Drug Control Policy",3500000,"research"
"Early Childhood Programs","National Institutes of Health",841683257,"research"
"Education","National Science Foundation",1119536380,"research"
"Education","Department of Education",140272466.19,"research"
"Education","National Aeronautics and Space Administration",89075806.7,"research"
"Education","National Institute of Food and Agriculture",23668621.94,"research"
"Education","National Oceanic and Atmospheric Administration",13780000,"research"
"Employment Programs","Federal Transit Administration",2000000,"research"
"Energy Programs","Department of Energy",926949062.16,"research"
"Energy Programs","National Institute of Food and Agriculture",7844880.9,"research"
"Environment","National Oceanic and Atmospheric Administration",25926363.82,"research"
"Environmental R&D","Department of Energy",6890489.71,"research"
"Environmental R&D","National Oceanic and Atmospheric Administration",3921934,"research"
"Fisheries","National Oceanic and Atmospheric Administration",1586886.3,"research"
"Food and Nutrition","Food and Nutrition Service",646366,"research"
"Foreign Policy","Department of State",981817,"research"
"Hazmat and Fire Safety","U.S. Geological Survey",2949027,"research"
"Healthcare Services","Substance Abuse and Mental Health Services Administration",1900000,"research"
"Homeland Security","Department of Energy",15244996.17,"research"
"Homeland Security","Department of Homeland Security",14955670,"research"
"Homeland Security","Defense Intelligence Agency",9996720,"research"
"Housing R&D","Assistant Secretary for Policy Development and Research",555634,"research"
"Individuals with Disabilities","Administration on Aging",37157516,"research"
"Infrastructure","Pipeline and Hazardous Materials Safety Administration",3864438.16,"research"
"Medical and Federal Benefits","Social Security Administration",6682747,"research"
"Medical and Federal Benefits","Centers for Medicare and Medicaid Services",737961,"research"
"Medical R&D","National Institutes of Health",14880299237,"research"
"Medical R&D","Agency for Healthcare Research and Quality",147096939,"research"
"Medical R&D","Food and Drug Administration",65793891,"research"
"Medical R&D","Centers for Disease Control and Prevention",43942365,"research"
"Medical R&D","Uniformed Services University of the Health Sciences",4351861,"research"
"Medical R&D (Infectious Diseases)","National Institutes of Health",2422916311,"research"
"Medical R&D (Infectious Diseases)","Centers for Disease Control and Prevention",29467932,"research"
"Public Health (Tobacco)","National Institutes of Health",61305029,"research"
"Research Support Programs","Department of Education",99528928.06,"research"
"Research Support Programs","Office of Justice Programs",71408917.42,"research"
"Research Support Programs","National Institute of Standards and Technology",63138488.77,"research"
"Research Support Programs","National Aeronautics and Space Administration",11319355.08,"research"
"Research Support Programs","National Institute of Food and Agriculture",7336088.9,"research"
"Science, Engineering, and Mathematics","National Science Foundation",4368516598,"research"
"Science, Engineering, and Mathematics","National Aeronautics and Space Administration",582969691.3,"research"
"Science, Engineering, and Mathematics","Department of the Navy",524306638,"research"
"Science, Engineering, and Mathematics","Department of the Army",170553356,"research"
"Science, Engineering, and Mathematics","Department of Energy",140197879.16,"research"
"Social Wellness and Development","National Institutes of Health",703566748,"research"
"Social Wellness and Development","Corporation for National and Community Service",3017767,"research"
"Social Wellness and Development","Administration for Children and Families",49577,"research"
"Transportation","Federal Transit Administration",6950835.09,"research"
"Tribal Programs","Bureau of Indian Affairs and Bureau of Indian Education",79986,"research"
"Wildlife","National Oceanic and Atmospheric Administration",31733,"research"
