"Agency","Subagency","accountID","Title","Obligation","Unobligated"
"Department of Health and Human Services","National Institutes of Health",2139,"John E. Fogarty International Center, National Institutes of Health, Health and Human Services",84727678.26,2197798.27
"Department of Health and Human Services","National Institutes of Health",2140,"Buildings and Facilities, National Institutes of Health, Health and Human Services",176824326.86,34959007.77
"Department of Health and Human Services","National Institutes of Health",2141,"National Institute on Aging, National Institutes of Health, Health and Human Services",2077547483.86,21629929.48
"Department of Health and Human Services","National Institutes of Health",2142,"National Institute of Child Health and Human Development, National Institutes of Health, Health and Human Services",1414640893.46,24668631.81
"Department of Health and Human Services","National Institutes of Health",2143,"Office of the Director, National Institutes of Health, Health and Human Services",1813564058.1,60398192.67
"Department of Health and Human Services","National Institutes of Health",2145,"National Cancer Institute, National Institutes of Health, Health and Human Services",5689368850.19,138089311.03
"Department of Health and Human Services","National Institutes of Health",2146,"National Institute of General Medical Sciences, National Institutes of Health, Health and Human Services",2661430568.37,30647872.1
"Department of Health and Human Services","National Institutes of Health",2147,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",896573701.96,18097455.46
"Department of Health and Human Services","National Institutes of Health",2148,"National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services",3251338457.27,89840926.83
"Department of Health and Human Services","National Institutes of Health",2149,"National Institute of Dental and Craniofacial Research, National Institutes of Health, Health and Human Services",431010026.65,4758230.97
"Department of Health and Human Services","National Institutes of Health",2151,"National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Health and Human Services",2096454313.05,31574587.41
"Department of Health and Human Services","National Institutes of Health",2152,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",5207632369.79,142700512.53
"Department of Health and Human Services","National Institutes of Health",2153,"National Institute of Neurological Disorders and Stroke, National Institutes of Health, Health and Human Services",1805299239.77,48838632.83
"Department of Health and Human Services","National Institutes of Health",2154,"National Eye Institute, National Institutes of Health, Health and Human Services",749869303.4,8105259.2
"Department of Health and Human Services","National Institutes of Health",2155,"National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health, Health and Human Services",564855598.71,7844566.52
"Department of Health and Human Services","National Institutes of Health",2156,"National Institute of Nursing Research, National Institutes of Health",150527806.04,3770512.67
"Department of Health and Human Services","National Institutes of Health",2157,"National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Health and Human Services",440787140.2,6615591.89
"Department of Health and Human Services","National Institutes of Health",2158,"National Human Genome Research Institute, National Institutes of Health, Health and Human Services",557774704.31,4985501.36
"Department of Health and Human Services","National Institutes of Health",2159,"National Institute of Mental Health, National Institutes of Health, Health and Human Services",1614111319.32,30206203.57
"Department of Health and Human Services","National Institutes of Health",2160,"National Institute on Drug Abuse, National Institutes of Health, Health and Human Services",1202762274.43,17658612.12
"Department of Health and Human Services","National Institutes of Health",2161,"National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health, Health and Human Services",489418868.29,10160758.07
"Department of Health and Human Services","National Institutes of Health",2216,"Cooperative Research and Development Agreements, National Institutes of Health, Health and Human Services",32073192.4,66284711.5
"Department of Health and Human Services","National Institutes of Health",2208,"Management Fund, National Institutes of Health",850328249.76,295893484.7
"Department of Health and Human Services","National Institutes of Health",2214,"Service and Supply Fund, National Institutes of Health, Health and Human Services",1896217035.83,549905185.59
"Department of Health and Human Services","National Institutes of Health",2162,"National Center for Complementary and Integrative Health, National Institute of Health, Health and Human Services",135965694.83,3012585.46
"Department of Health and Human Services","National Institutes of Health",2163,"National Center on Minority Health and Health Disparities, National Institutes of Health, Health and Human Services",291902552.47,6482515.68
"Department of Health and Human Services","National Institutes of Health",2164,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",361584079.63,4184866.78
"Department of Health and Human Services","National Institutes of Health",2150,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",735779745.97,35200577.4
"Department of Health and Human Services","National Institutes of Health",2097,"Payment to the NIH Innovation Account, CURES Act, National Institutes of Health, Health and Human Services",352000000,0
"Department of Health and Human Services","National Institutes of Health",2222,"NIH Innovation, CURES Act, National Institutes of Health, Health and Human Services",12194607.37,39805392.63
"Department of Health and Human Services","National Institutes of Health",2226,"10-Year Pediatric Research Initiative Fund, National Institutes of Health, Health and Human Services",0,0
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2183,"Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",150362845.05,1473127.55
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2184,"Mental Health, Substance Abuse and Mental Health Services Administration, Health and Human Services",1196927546.19,17615257.45
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2186,"Substance Abuse Prevention, Substance Abuse and Mental Health Administration, Health and Human Services",322613752.55,1568688.03
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2185,"Substance Abuse Treatment, Substance Abuse and Mental Health Administration, Health and Human Services",2713624708.7,14779723.42
"Department of Health and Human Services","Agency for Healthcare Research and Quality",2203,"Healthcare Research and Quality, Agency for Healthcare Research and Quality, Health and Human Services",341865036.19,25686047.94
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2124,"Grants to States for Medicaid, Centers for Medicare and Medicaid Services, Health and Human Services",422042380839.31,834744
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2128,"Grants to States for Medicaid - Recovery Act, Centers for Medicare and Medicaid Services, Health and Human Services",2286249.62,308973455.87
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2127,"State Grants and Demonstrations, Centers for Medicare and Medicaid Services",114772990.85,332573377.86
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2133,"Payments to Health Care Trust Funds, Centers for Medicare and Medicaid Services, Health and Human Services",315284471471.78,6083727478.57
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2125,"Payments for Credits Against Health Care Contributions, Centers for Medicare and Medicaid Services, Health and Human Services",7186.17,0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2134,"Taxation on OASDI Benefits, HI, Centers for Medicare and Medicaid Services, Health and Human Services",24206000000,0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2204,"Payments to Federal Hospital Insurance Trust Fund, Health Care Fraud and Abuse, Health and Human Services",50969247.8,0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2129,"Quality Improvements Organizations, Centers for Medicare and Medicaid, Health and Human Services",578618056.85,675731275.29
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2123,"Program Management, Centers for Medicare and Medicaid Services, Health and Human Services",10298543709.43,-9279274143.54
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2122,"Program Management - Recovery Act, Centers for Medicare and Medicaid Services, Health and Human Services",55598083.51,149378842.25
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2075,"Health Insurance Consumer Information, Office of the Secretary, Health and Human Services",0,1935058.84
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2121,"Patient Protection and Affordable Care - Program Management, Centers for Medicare and Medicaid, Health and Human Services",38607540.42,148581808.25
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2126,"State Children's Health Insurance Fund, Centers for Medicare and Medicaid Services, Health and Human Services",15965684168,21111448457.81
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2131,"Centers for Medicare and Medicaid Innovation, Centers for Medicare and Medicaid, Health and Human Services",1001428379.73,3483497727.61
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2220,"Child Enrollment Contingency Fund, Centers for Medicare and Medicaid Services, Health and Human Services",2381902,572594167.54
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2120,"Medicare Health Information Technology Incentive Payments - Recovery Act, Centers for Medicare and Medicaid Services, Health and Human Services",1002604016.61,6200451.25
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2076,"Rate Review Grants, Office of the Secretary, Health and Human Services",25547052.53,8147309.75
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2077,"Pre-Existing Condition Insurance Plan Program, Office of the Secretary, Health and Human Services",66257676.36,331529093.15
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2078,"Early Retiree Reinsurance Program, Office of the Secretary, Health and Human Services",30862.68,26088896.01
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2079,"Affordable Insurance Exchange Grants, Centers for Medicare and Medicaid Services, Health and Human Services",18270791.46,0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2224,"Risk Adjustment Program Payments, Centers for Medicare and Medicaid Services, Health and Human Services",3768413756.52,1335581093.19
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2225,"Transitional Reinsurance Program, Centers for Medicare and Medicaid Services, Health and Human Services",4716402198.77,452912.5
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2132,"Consumer Operated Oriented Plan Program Contingency Fund, Centers for Medicare and Medicaid Services, Health and Human Services",18671931.8,0.76
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2082,"Consumer Operated and Oriented Plan Program Account, Centers for Medicare and Medicaid Services, Health and Human Services",81471046.09,1.58
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2238,"Federal Hospital Insurance Trust Fund - Treasury Managed, Health and Human Services",300902573827.87,0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2249,"Health Care Fraud and Abuse Control Account, Health and Human Services",1974966312.4,458427514.88
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2237,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed, Health and Human Services",314543101084.43,0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2248,"Medicare Prescription Drug Account, Centers for Medicare and Medicaid Services, Health and Human Services",89088940162.95,3037732.48
"Department of Health and Human Services","Administration for Children and Families",2201,"Temporary Assistance for Needy Families, Administration for Children and Families, Health and Human Services",16720744073.42,404561986.08
"Department of Health and Human Services","Administration for Children and Families",2194,"Contingency Fund for State Welfare Programs, Administration for Children and Families, Health and Human Services",608010552.74,0
"Department of Health and Human Services","Administration for Children and Families",2195,"Emergency Contingency Fund for State Temporary Assistance for Needy Family Programs - Recovery Act, Administration for Children and Families, Health and Human Services",0,426453104.12
"Department of Health and Human Services","Administration for Children and Families",2187,"Payments to States for Child Support Enforcement and Family Support Programs, Administration for Children and Families, Health and Human Services",4454364922.71,34638563.18
"Department of Health and Human Services","Administration for Children and Families",2188,"Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services",3390308742.5,554293.64
"Department of Health and Human Services","Administration for Children and Families",2189,"Refugee and Entrant Assistance, Administration for Children and Families, Health and Human Services",2122631531.28,225268885.42
"Department of Health and Human Services","Administration for Children and Families",2191,"Promoting Safe and Stable Families, Administration for Children and Families, Health and Human Services",517664317.28,67900692.92
"Department of Health and Human Services","Administration for Children and Families",2200,"Child Care Entitlement to States, Administration for Children and Families, Health and Human Services",2916875342.81,818182.51
"Department of Health and Human Services","Administration for Children and Families",2192,"Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",2855263310.51,1271798.09
"Department of Health and Human Services","Administration for Children and Families",2196,"Social Services Block Grant, Administration for Children and Families, Health and Human Services",1660560039.71,33055696.34
"Department of Health and Human Services","Administration for Children and Families",2197,"Children and Families Services Programs, Administration for Children and Families, Health and Human Services",11362101947.91,375846924.63
"Department of Health and Human Services","Administration for Children and Families",2202,"Children's Research and Technical Assistance, Administration for Children and Families, Health and Human Services",58656465.08,12561633.15
"Department of Health and Human Services","Administration for Children and Families",2198,"Payments for Foster Care and Permanency, Administration for Children and Families, Health and Human Services",8425747090.77,156535.27
"Department of Health and Human Services","Administration for Community Living",2094,"Aging and Disability Services Programs, Administration for Community Living, Health and Human Services",2036940859.13,31794392.25
"Department of Health and Human Services","Departmental Management",2084,"General Departmental Management, Departmental Management, Health and Human Services",700358839.84,51627689.4
"Department of Health and Human Services","Departmental Management",2096,"Payment to the State Response to the Opioid Abuse Crisis Account, CURES Act, Departmental Administration, Health and Human Services",500000000,0
"Department of Health and Human Services","Departmental Management",2221,"State Response to the Opioid Abuse Crisis, CURES Act, Departmental Administration, Health and Human Services",0,0
"Department of Health and Human Services","Departmental Management",2091,"Office for Civil Rights, Departmental Management, Health and Human Services",47203932.21,36438330.6
"Department of Health and Human Services","Departmental Management",2089,"Office of the National Coordinator for Health Information Technology, Departmental Management, Health and Human Services",80085964.82,2661157.24
"Department of Health and Human Services","Departmental Management",2090,"Office of the National Coordinator for Health Information Technology - Recovery Act, Office of the Secretary, Health and Human Services",0,1717454.57
"Department of Health and Human Services","Departmental Management",2092,"Medicare Appeals, Departmental Management, Health and Human Services",107704759.45,7271667.35
"Department of Health and Human Services","Departmental Management",2093,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",2397551753.05,158867216.19
"Department of Health and Human Services","Departmental Management",2095,"Transfers from the Patient-Centered Outcome Research Trust Fund, Departmental Management, Health and Human Services",83039603.28,87582582.43
"Department of Health and Human Services","Departmental Management",2086,"Nonrecurring Expense Fund, Office of the Secretary, Health and Human Services",526104710.3,564523556.73
"Department of Health and Human Services","Departmental Management",2083,"Health Insurance Reform Implementation Fund, Departmental Management, Health and Human Services",6399.33,5662370.68
"Department of Health and Human Services","Departmental Management",2080,"Prevention and Public Health Fund, Departmental Management, Health and Human Services",0,0
"Department of Health and Human Services","Departmental Management",2081,"Pregnancy Assistance Fund, Departmental Management, Health and Human Services",23276816.63,151647.26
"Department of Health and Human Services","Departmental Management",2205,"Section 241 Transactions Account, Office of the Secretary, Health and Human Services",676494829.95,0
"Department of Health and Human Services","Program Support Center",2117,"Retirement Pay and Medical Benefits for Commissioned Officers, Office of the Assistant Secretary for Health, Health and Human Services",605016765.91,44850718.31
"Department of Health and Human Services","Program Support Center",2099,"HHS Accrual Contribution to the Uniformed Services Retiree Health Care Fund, Office of the Assistant Secretary for Health, Health and Human Services",27873208,0
"Department of Health and Human Services","Program Support Center",2181,"Scientific Activities Overseas, Special Foreign Currency Program, Assistant Secretary for Health, Health and Human Services",0,968170.18
"Department of Health and Human Services","Program Support Center",2182,"Public Health Emergency Fund, Public Health Services, Office of Assistant Secretary for Health, Health and Human Services",0,56507.52
"Department of Health and Human Services","Program Support Center",2212,"HHS Service and Supply Fund, Program Support Center, Health and Human Services",1616959834.12,200010241.04
"Department of Health and Human Services","Program Support Center",2239,"Contributions, Indian Health Facilities, Indian Health Services, Health and Human Services",13441216.35,12047750.75
"Department of Health and Human Services","Program Support Center",2241,"Food and Drug Administration Unconditional Gift Fund",0,0
"Department of Health and Human Services","Program Support Center",2242,"National Institutes of Health Unconditional Gift Fund, Health and Human Services",3796016.13,70380100.37
"Department of Health and Human Services","Program Support Center",2243,"Unconditional Gift Fund, Health Resources and Services Administration, Health and Human Services",0,147757.52
"Department of Health and Human Services","Program Support Center",2244,"Gifts and Donations, Centers for Disease Control, Health and Human Services",23618999.45,20780665.82
"Department of Health and Human Services","Program Support Center",2245,"National Institutes of Health Conditional Gift Fund, Health and Human Services",50081951.18,88228735.48
"Department of Health and Human Services","Program Support Center",2246,"Conditional Gift Fund, Health Resources and Services Administration, Health and Human Services",0,3730311.06
"Department of Health and Human Services","Program Support Center",2255,"Patients' Benefit Fund, National Institutes of Health, Health and Human Services",8314,364556.42
"Department of Health and Human Services","Program Support Center",2256,"Patients' Benefit Fund, Health Resources and Services Administration, Health and Human Services",3135.84,376904.14
"Department of Health and Human Services","Program Support Center",2250,"Administration on Aging Gift Fund, Health and Human Services",0,310491.36
"Department of Health and Human Services","Program Support Center",2251,"Indian Health Service Gift Fund, Health and Human Services",37915.16,812856.32
"Department of Health and Human Services","Program Support Center",2252,"Agency for Healthcare Research and Quality Gift Fund, Health and Human Services",1107419.54,215954.45
"Department of Health and Human Services","Program Support Center",2253,"Substance Abuse and Mental Health Administration Gift Fund, Health and Human Services",0,289482.18
"Department of Health and Human Services","Program Support Center",2254,"Office of the Secretary Gift Fund, Health and Human Services",0,2755.95
"Department of Health and Human Services","Office of the Inspector General",2087,"Office of the Inspector General, Office of the Secretary, Health and Human Services",390131634.38,44638214.74
"Department of Health and Human Services","Office of the Inspector General",2088,"Office of Inspector General - Recovery Act, Office of the Secretary, Health and Human Services",0,0
"Department of Homeland Security","Office of the Secretary and Executive Management",1858,"Office of the Secretary and Executive Management, Operations and Support, Departmental Management and Operations, Homeland Security",154795515.96,286315.26
"Department of Homeland Security","Office of the Secretary and Executive Management",1859,"Counterterrorism Fund, Departmental Management and Operations, Homeland Security",0,39687.35
"Department of Homeland Security","Office of the Secretary and Executive Management",1861,"Office of the Secretary and Executive Management, Departmental Management and Operations, Homeland Security",2284256.48,6641222.15
"Department of Homeland Security","Office of the Secretary and Executive Management",1991,"Gifts and Donations, Department Management, Homeland Security",0,2759358.81
"Department of Homeland Security","Office of the Under Secretary for Management",1863,"Office of the Under Secretary for Management, Operations and Support, Departmental Management and Operations, Homeland Security",706716663.5,7217874.19
"Department of Homeland Security","Office of the Under Secretary for Management",1862,"Office of the Under Secretary for Management, Departmental Management and Operations, Homeland Security",17624455.69,107573204.06
"Department of Homeland Security","Office of the Under Secretary for Management",1860,"Department-Wide Technology Investments, Departmental Management, Homeland Security",17628483.23,250313234.78
"Department of Homeland Security","Office of the Under Secretary for Management",1864,"Office of the Chief Information Officer, Departmental Management and Operations, Homeland Security",49051136.73,34991006.52
"Department of Homeland Security","Office of the Under Secretary for Management",1875,"Procurement, Construction, and Improvements, Departmental Management and Operations, Homeland Security",35324019.09,37982980.91
"Department of Homeland Security","Office of the Under Secretary for Management",1934,"Research and Development, Departmental Management and Operations, Homeland Security",2310624.29,189375.71
"Department of Homeland Security","Office of the Under Secretary for Management",1947,"Working Capital Fund Departmental Management, Homeland Security",538180539.33,57361019.07
"Department of Homeland Security","Analysis and Operations",1865,"Analysis and Operations, Operations and Support, Departmental Management and Operations, Homeland Security",262802952.64,27933933.4
"Department of Homeland Security","Office of the Inspector General",1867,"Office of the Inspector General, Homeland Security",191061731.59,11270635.35
"Department of Homeland Security","Office of the Inspector General",1868,"Office of Inspector General - Recovery Act, Homeland Security",0,0
"Department of Homeland Security","U.S. Customs and Border Protection",1892,"Operations and Support, U.S. Customs and Border Protection, Homeland Security",13734591419.04,392163207.3
"Department of Homeland Security","U.S. Customs and Border Protection",1884,"Customs and Border Protection, USCS",412711.15,115999.57
"Department of Homeland Security","U.S. Customs and Border Protection",1970,"Customs and Border Protection Services at User Fee Facilities, U.S. Customs and Border Protection, Homeland Security",23935308.19,7317106.37
"Department of Homeland Security","U.S. Customs and Border Protection",1950,"Customs and Border Protection, Immigration User Fees, Border and Transportation Security, Homeland Security",674214463.23,174273689.5
"Department of Homeland Security","U.S. Customs and Border Protection",1952,"Customs and Border Protection, Land Border Inspection Fees, Border and Transportation Security, Homeland Security",53661000,14758592.81
"Department of Homeland Security","U.S. Customs and Border Protection",1961,"Immigration Enforcement Account, Border and Transportation Security, Homeland Security",1492554.94,664419.31
"Department of Homeland Security","U.S. Customs and Border Protection",1971,"Customs and Border Protection, Customs User Fees Account, USCS, Homeland Security",737187426.09,304166912.56
"Department of Homeland Security","U.S. Customs and Border Protection",1997,"Customs and Border Protection, Violent Crime Reduction Trust Fund, USCS, Homeland Security",0,0.56
"Department of Homeland Security","U.S. Customs and Border Protection",2002,"Harbor Maintenance Fee Collection, USCS, Homeland Security",3274000,0
"Department of Homeland Security","U.S. Customs and Border Protection",1895,"Border Security Fencing, Infrastructure, and Technology, U.S. Customs and Border Protection, Homeland Security",217168212.34,89884512.2
"Department of Homeland Security","U.S. Customs and Border Protection",1893,"Automation Modernization, U.S. Customs and Border Protection, Homeland Security",79990401.95,25269407.59
"Department of Homeland Security","U.S. Customs and Border Protection",1894,"Procurement, Construction, and Improvements, U.S. Customs and Border Protection, Homeland Security",618980206.59,243329987.96
"Department of Homeland Security","U.S. Customs and Border Protection",1900,"Air and Marine Operations, U.S. Customs and Border Protection, Homeland Security",67260387.44,24505533.03
"Department of Homeland Security","U.S. Customs and Border Protection",1948,"Advanced Training Center Revolving Fund, U.S. Customs and Border Protection, Homeland Security",0,300000
"Department of Homeland Security","U.S. Customs and Border Protection",1945,"Enhanced Inspectional Services, U.S. Customs and Border Protection, Homeland Security",18868244.98,0
"Department of Homeland Security","U.S. Customs and Border Protection",1969,"Customs and Border Protection, Transfer and Expenses of Operation, Puerto Rico, USCS, Homeland Security",104217405.6,17267678.33
"Department of Homeland Security","U.S. Customs and Border Protection",1962,"Payments to Wool Manufacturers, United States Customs and Border Protection, Homeland Security",1460000,0
"Department of Homeland Security","U.S. Customs and Border Protection",1964,"International Registered Traveler Program Fund, U.S. Customs and Border Protection, Homeland Security",122359980.4,154270566.41
"Department of Homeland Security","U.S. Customs and Border Protection",1967,"Electronic System for Travel Authorization, U.S. Customs and Border Protection, Homeland Security",68419682.91,69818102.74
"Department of Homeland Security","U.S. Customs and Border Protection",1966,"APEC Business Travel Card Account, Customs and Border Protection, Homeland Security",0,3399794
"Department of Homeland Security","U.S. Customs and Border Protection",1973,"9-11 Response and Biometric Exit Account, U.S. Customs and Border Protection, Homeland Security",70669262.13,65767068.87
"Department of Homeland Security","U.S. Customs and Border Protection",2001,"Refunds, Transfers and Expenses, Abandoned and Seized Goods, USCS, Homeland Security",1477532.2,1723535.01
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1896,"Operations and Support, U.S. Immigration and Customs Enforcement, Homeland Security",6743062315.27,301293551.69
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1885,"Immigration and Customs Enforcement, Border and Transportation Security, Homeland Security",0,0.25
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1955,"Student and Exchange Visitor Program, Border and Transportation Security, Homeland Security",164469941,126840527.11
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2000,"Violent Crime Reduction Program, Immigration Services, Homeland Security",0,0.16
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1954,"Breach Bond/Detention Fund, Border and Transportation Security, Homeland Security",54903028.86,13348989.73
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1956,"Immigration User Fee Account, BICE, Homeland Security",152160218.3,96185459.17
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1963,"Detention and Removal Operations, U.S. Immigration and Customs Enforcement, Homeland Security",1555584.52,185218.81
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1899,"Automation Modernization, U.S. Immigration and Customs Enforcement, Homeland Security",29049239.15,4097029.61
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1901,"Procurement, Construction, and Improvements, U.S. Immigration and Customs Enforcement, Homeland Security",18819820.18,12016899.87
"Department of Homeland Security","Transportation Security Administration",1902,"Operations and Support, Transportation Security Administration, Homeland Security",7150336310.89,574555660.35
"Department of Homeland Security","Transportation Security Administration",1887,"Expenses, Transportation Security Administration, Border and Transportation Security, Homeland Security",986.61,441.32
"Department of Homeland Security","Transportation Security Administration",1897,"Federal Air Marshals, Transportation Security Administration, Homeland Security",473457.51,10057532.24
"Department of Homeland Security","Transportation Security Administration",1959,"Unclaimed Checkpoint Money, Transportation Security Administration, Homeland Security",32483.5,1724977.04
"Department of Homeland Security","Transportation Security Administration",1965,"Airport Checkpoint Screening Fund, Transportation Security Administration, Homeland Security",6180204.08,301482.25
"Department of Homeland Security","Transportation Security Administration",1903,"Surface Transportation Security, Transportation Security Administration, Homeland Security",458043.36,8174557.62
"Department of Homeland Security","Transportation Security Administration",1906,"Intelligence and Vetting , Transportation Security Administration, Homeland Security",56653484.89,30057730.84
"Department of Homeland Security","Transportation Security Administration",1905,"Transportation Security Support, Transportation Security Administration, Homeland Security",38382428.2,43764824.51
"Department of Homeland Security","Transportation Security Administration",1904,"Research and Development, Transportation Security Administration, Border and Transportation Security, Homeland Security",0,243849.41
"Department of Homeland Security","Transportation Security Administration",1877,"Procurement, Construction, and Improvements, Transportation Security Administration, Homeland Security",201570840.33,19822159.67
"Department of Homeland Security","Transportation Security Administration",1957,"Aviation Security Capital Fund, Transportation Security Administration, Homeland Security",245069818.5,284265491.02
"Department of Homeland Security","Transportation Security Administration",1935,"Research and Development,Transportation Security Administration, Homeland Security",4800000,200000
"Department of Homeland Security","United States Coast Guard",1913,"Operating Expenses, Coast Guard, Homeland Security",7371175809.88,208368038.4
"Department of Homeland Security","United States Coast Guard",1914,"Environmental Complaince and Restoration, Coast Guard, Homeland Security",11748686.85,21411869.81
"Department of Homeland Security","United States Coast Guard",1915,"Reserve Training, United States Coast Guard, Homeland Security",112582042.5,3121143.93
"Department of Homeland Security","United States Coast Guard",1916,"Acquisition, Construction, and Improvements, Coast Guard, Homeland Security",1750693172.54,1162864889.91
"Department of Homeland Security","United States Coast Guard",1917,"Alteration of Bridges, Coast Guard, Homeland Security",0,14117838.96
"Department of Homeland Security","United States Coast Guard",1918,"Research, Development, Test, and Evaluation, Coast Guard, Homeland Security",22110432.92,23324605.08
"Department of Homeland Security","United States Coast Guard",1919,"Medicare-Eligible Retiree Health Fund Contribution, United States Coast Guard, Homeland Security",175506151,0
"Department of Homeland Security","United States Coast Guard",1912,"Retired Pay, Coast Guard, Homeland Security",1630354241.08,122316949.12
"Department of Homeland Security","United States Coast Guard",1946,"Supply Fund, USCG, Homeland Security",56646410.99,38209466.97
"Department of Homeland Security","United States Coast Guard",1949,"Yard Fund, USCG, Homeland Security",110854674.49,77914934.72
"Department of Homeland Security","United States Coast Guard",1988,"Sport Fish Restoration and Boating Trust Fund, Homeland Security",0,0
"Department of Homeland Security","United States Coast Guard",1989,"Boat Safety, USCG, Homeland Security",120862551.31,4180384.93
"Department of Homeland Security","United States Coast Guard",1993,"Trust Fund Share of Expenses, USCG, Homeland Security",45000000,0
"Department of Homeland Security","United States Coast Guard",1998,"General Gift Fund, USCG, Homeland Security",2248140.27,2413754.88
"Department of Homeland Security","United States Coast Guard",1990,"Oil Spill Liability Trust Fund-Treasury Managed, Homeland Security",112050,0
"Department of Homeland Security","United States Coast Guard",1994,"Oil Spill Recovery, USCG, Homeland Security",32609771.39,151003173.63
"Department of Homeland Security","United States Coast Guard",1992,"Payment of Claims (Oil Spill Liability Trust Fund), Homeland Security",13405433.2,0
"Department of Homeland Security","United States Secret Service",1870,"Operations and Support, United States Secret Service, Homeland Security",1915663684.85,97710871.41
"Department of Homeland Security","United States Secret Service",1874,"Contribution for Annuity Benefits, United States Secret Service, Homeland Security",211192111.21,53807888.79
"Department of Homeland Security","United States Secret Service",1871,"Procurement, Construction, and Improvements, United States Secret Service, Homeland Security",149878391.16,43183912.09
"Department of Homeland Security","United States Secret Service",1937,"Research and Development, United States Secret Service, Homeland Securty",1750000,750000
"Department of Homeland Security","National Protection and Programs Directorate",1911,"Operations and Support, National Protection and Programs Directorate, Homeland Security",1359679590.87,33875225.5
"Department of Homeland Security","National Protection and Programs Directorate",1943,"Operating Expenses, Information Analysis and Infrastructure Protection, Homeland Security",0,508800.84
"Department of Homeland Security","National Protection and Programs Directorate",1910,"Infrastructure Protection and Information Security, National Protection and Programs Directorate, Homeland Security",189601137.66,35728487.73
"Department of Homeland Security","National Protection and Programs Directorate",1898,"Federal Protective Service, National Protection and Programs Directorate, Homeland Security",1418133524.18,128048874.71
"Department of Homeland Security","National Protection and Programs Directorate",1891,"Office of Biometric Identity Management, National Protection and Programs Directorate, Homeland Security",39435527.59,134023141.52
"Department of Homeland Security","National Protection and Programs Directorate",1927,"Biodefense Countermeasures, National Protection and Programs Directorate, Homeland Security",21.11,13167.4
"Department of Homeland Security","National Protection and Programs Directorate",1879,"Procurement, Construction, and Improvements, National Protection and Programs Directorate, Homeland Security",221794335.57,218240664.43
"Department of Homeland Security","National Protection and Programs Directorate",1938,"Research and Development, National Protection and Programs Directorate, Homeland Security",6452825.69,16174.31
