cfda_number,program_title,agency_abreviation,agency,types_of_assistance,objectives,beneficiary_eligability,level_of_detail,level_of_focus_on_homelessness,category,program_website,CFDA_website
17.805,Homeless Veterans’ Reintegration Program,DOL,Department of Labor,B - PROJECT GRANTS,To provide services to assist in reintegrating homeless veterans into meaningful employment within the labor force; and to stimulate the development of effective service delivery systems that will address the complex problems facing homeless veterans.,"Individuals who are homeless veterans. The term ""homeless"" or ""homeless individual"" includes: (1) An individual who lacks a fixed, regular, and adequate night-time residence; and (2) an individual who has a primary night-time residence that is: (a) a supervised publicly or privately operated shelter designed to provide temporary living accommodations including welfare hotels, congregate shelters, and transitional housing for the mentally ill; (b) an institution that provides a temporary institutionalized; or (c) a public or private place not designed for, or ordinarily used as, a regular sleeping accommodations for human beings (Reference: 42 U.S.C. 1302), and (3) an individual or family who - (a) will imminently lose their housing, including housing they own, rent, or live in without paying rent, are sharing with others, and rooms in hotels or motels not paid for by Federal, State, or local government programs for low-income individuals or by charitable organizations, as evidenced by - (i) a court order resulting from an eviction action that notifies the individual or family that they must leave within 14 days; (ii) the individual or family having a primary nighttime residence that is a room in a hotel or motel and where they lack the resources necessary to reside there for more than 14 days; or (iii) credible evidence indicating that the owner or renter of the housing will not allow the individual or family to stay for more than 14 days, and any oral statement from an individual or family seeking homeless assistance that is found to be credible shall be considered credible evidence for purposes of this clause; (b) has no subsequent residence identified; and (c) lacks the resources or support networks needed to obtain other permanent housing. A ""veteran"" is an individual who served in the activity military, naval, or air service, and who was discharged or released there from under conditions other than dishonorable. (Reference: 33 U.S.C. 101 (2).).",CoC,1,Employment,http://www.dol.gov/dol/vets,https://cfda.gov/index?s=program&mode=form&tab=step1&id=2659a95e66fcebfa404ede61150b4df4
39.002,Disposal of Federal Surplus Real Property,GSA,General Services Administration,"H - Sale, Exchange, or Donation of Property and Goods","To assist State and local governments, and certain eligible (501(c)(3) tax-exempt status) non-profit organizations with acquiring surplus Federal real property for various public uses that benefit communities.","State and local governments and for certain programs, nonprofit organizations (501(c)(3) may also apply.",State,5,Support Services,NA,NA
39.003,Donation of Federal Surplus Personal Property,GSA,General Services Administration,"H - Sale, Exchange, or Donation of Property and Goods",To donate Federal personal property no longer required for Federal use to eligible nonfederal entities in order to maximize the use of Federal property.,Eligibility is determined by the SASP.,State,5,Support Services,NA,NA
64.008,Veterans Domiciliary Care,VA,Department of Veterans Affairs,J - PROVISION OF SPECIALIZED SERVICES,"To provide residential care for ambulatory veterans disabled by age or illness who are not in need of acute hospitalization and who do not need the skilled nursing services provided in nursing homes. 

To rehabilitate the veteran in anticipation of his/her return to the community in a self-sustaining and independent or semi-independent living situation, or to assist the veteran to reach his/her optimal level of functioning in a 24-hour, 7-days-per-week protective environment.","Veterans who meet basic VA eligibility requirement for VA healthcare and who are assessed as: 
not meeting criteria for acute inpatient mental health or medical admission; 
having tried a less restrictive treatment alternative, or one was unavailable; 
having identified rehabilitation and treatment needs requiring the structure and support of a residential treatment environment; 
not a significant risk of harm to self or others; 
lacking a stable lifestyle or living arrangement that is conducive to the Veteran’s goal of recovery; 
being capable of self-preservation and basic self-care.",CoC,2,Health,http://www.va.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=51b781b27f38a5f50754d781eac40b9d
64.024,VA Homeless Providers Grant and Per Diem Program,VA,Department of Veterans Affairs,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf
64.033,VA Supportive Services for Veteran Families Program,VA,Department of Veterans Affairs,B - Project Grants,"To provide supportive services grants to private non-profit organizations and consumer cooperatives who will coordinate or provide supportive services to very low-income Veteran families who: (i) are residing in permanent housing, (ii) are homeless and scheduled to become residents of permanent housing within a specified time period, or (iii) after exiting permanent housing within a specified time period, are seeking other housing that is responsive to such very low-income Veteran family’s needs and preferences.","Veteran families, meaning families in which the head of household or the spouse of the head of household served in the active military, naval, or air service, and who was discharged or released therefrom under conditions other than dishonorable. Eligible Veteran families must be very-low income, meaning their annual income, as determined in accordance with 24 CFR 5.609, does not exceed 50 percent of the median income for an area or community. Eligible Veteran families must also fall within one of the following categories: (i) residing in permanent housing; (ii) homeless and scheduled to become a resident of permanent housing within 90 days pending the location or development of housing suitable for permanent housing; or (iii) exited permanent housing within the previous 90 days to seek other housing that is responsive to the very low-income Veteran family’s needs and preferences.",CoC,2,Support Services,http://www.va.gov/HOMELESS/SSVF.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67c8306ecdd1518144110cde3f47755a
64.038,Grants for the Rural Veterans Coordination Pilot,VA,Department of Veterans Affairs,B - Project Grants,"In September 2014, five grantees were awarded $2 million each, for a two-year pilot program to aid Veterans and their families with the transition to civilian life in one or more of the following areas: increase coordination of health care and benefits; increase availability of high-quality medical and mental health services; family assistance; and outreach.

The objective of the pilot is to assess the feasibility of using community-based organizations and local, State, and Tribal government entities to determine best practices in successfully coordinating multi-sector benefits for Veterans and their families who reside in rural or underserved communities.","Eligible Veterans for the program are limited to Veterans and their accompanying families who are transitioning from military service to civilian life in rural areas. According to Federal Register (78 FR 12617) on February 25, 2013, which is codified at 38 CFR part 64, an eligible Veteran means a person who served in active military, naval, or air service, who was discharged or released under conditions other than dishonorable.

A Veteran who is transitioning from military service to civilian life means a veteran who is separating from active military, naval, or air service in the Armed Forces to return to life as a civilian, and such veteran's date of discharge or release from active military, naval, or air service was not more than 2 years prior to the date on which the RVCP grant was awarded.

A Veteran's family means those individuals who reside with the veteran in the veteran's primary residence. These individuals include a parent, a spouse, a child, a step-family member, an extended family member, and individuals who reside in the home with the veteran but are not a member of the family of the veteran.",CoC,5,Research,NA,NA
64.048,VHA Mental Health clinics,VA,Department of Veterans Affairs,C - Direct Payments for Specified Use,The intent is to account for Veterans Health Care spending and display the spending by Veteran residence.,Veterans are eligible for services under Title 38 USC 1705: Management of health care: patient enrollment system.,State,5,Health,NA,NA
84.042,TRIO Student Support Services,Ed,Department of Education,B - PROJECT GRANTS,To provide supportive services to disadvantaged college students to enhance their potential for successfully completing the postsecondary education programs in which they are enrolled and increase their transfer rates from 2-year to 4-year institutions. To foster an institutional climate supportive of the success of disadvantaged college students.,"Low-income, first generation college students or disabled students who are enrolled or accepted for enrollment at the institution that is the recipient of the grant and who are in need of academic support in order to successfully pursue a program of postsecondary education. At least two-thirds of the project participants must be disabled or must be low-income individuals who are first generation college students. The remaining participants must be disabled, low-income individuals, or first generation college students. One-third of the disabled participants must be low-income. Required low-income criteria for participants are stated in application materials.",CoC,5,Education,NA,NA
84.044,TRIO Talent Search,Ed,Department of Education,B - PROJECT GRANTS,"To identify qualified disadvantaged youths with potential for postsecondary education; to encourage them in completing secondary school and in enrolling in programs of postsecondary education; to publicize the availability of, and facilitate the application for, student financial aid; and to increase the number of secondary and postsecondary school dropouts who reenter and complete an educational program.",Individuals residing in the target area or attending a target school who have potential for education at the postsecondary level and who can benefit from one or more of the services provided by the project. Two-thirds must be low-income individuals who are also potential first generation college students. Project participants must be between 11 and 27 years old (exceptions allowed). Required low-income criteria for participants are stated in application materials.,CoC,5,Education,NA,NA
84.047,TRIO Upward Bound,Ed,Department of Education,B - PROJECT GRANTS,To generate skills and motivation necessary for success in education beyond high school among low-income and potential first-generation college students and veterans. The goal of the program is to increase the academic performance and motivational levels of eligible enrollees so that such persons may complete secondary school and successfully pursue and complete a postsecondary educational program.,"Low-income individuals and potential first generation college students who have a need for academic support in order to successfully pursue a program of postsecondary education. Two-thirds of the participants must be low-income individuals who are also potential first generation college students. The remaining one-third must be either low-income, first-generation college students, or students who have a high risk for academic failure. Required low-income criteria are stated in application materials. Except for veterans, who can be served regardless of age, project participants must be between 13 and 19 years old and have completed the eighth grade but have not entered the twelfth grade (exceptions allowed).",CoC,4,Education,http://www.ed.gov/programs/trioupbound/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=664c15feb435dda8f100e6b298b795b4
84.196,Education for Homeless Children and Youth,Ed,Department of Education,A - FORMULA GRANTS,"To ensure that all homeless children and youth have equal access to the same free, appropriate public education available to other children, the Education for Homeless Children and Youth program provides assistance to States to: (1) establish or designate an Office of Coordinator for Education of Homeless Children and Youths; (2) develop and carry out a State plan for the education of homeless children; and (3) make subgrants to local educational agencies (LEAs) to support the education of those children.","To ensure that all homeless children and youth have equal access to the same free, appropriate public education available to other children, the Education for Homeless Children and Youth program provides assistance to States to: (1) establish or designate an Office of Coordinator for Education of Homeless Children and Youths; (2) develop and carry out a State plan for the education of homeless children; and (3) make subgrants to local educational agencies (LEAs) to support the education of those children.",State,1,Education,http://www.ed.gov/programs/homeless/index.html.,https://cfda.gov/index?s=program&mode=form&tab=step1&id=f991d26b26727dda1ab886c9eb346014
84.403,Consolidated Grant to the Outlying Areas,Ed,Department of Education,A - Formula Grants,"To make an annual consolidated grant to assist an Insular Area in carrying out one or more State-administered formula grant programs of the Department. (i.e., -ESEA,Title I, Part A-Improving Basic Programs Operated by Local Educational Agencies; ESEA Title I, Part B-State Assessment Grants; ; ESEA,Title II, Part A-Supporting Effective Instruction; ESEA,Title III, Part A-English Language Acquisition, Language Enhancement, and Academic Achievement Grants; ESEA Title IV, Part A- Student Support and Academic Enrichment Grants; ESEA, Title IV, Part B-21st Century Community Learning Centers Grants; Perkins Act, Title I-Career and Technical Education Basic State Grants;- McKinney-Vento Homeless Assistance Act-Title VII-B Grants; ESEA, Title V, Part B, Rural and Low-Income School Program.",Contact Program Office.,State,6,Education,http://www.ed.gov/about/offices/list/oese/sst/index.html,https://cfda.gov/index?s=program&mode=form&tab=step1&id=fb8694ad73932df52e64ec466e0b8338
84.42,Performance Partnership Pilots for Disconnected Youth,Ed,Department of Education,B - Project Grants,"To test innovative, cost-effective, and outcome-focused strategies to achieve significant improvements in educational, employment, and other key outcomes for disconnected youth. The Departments of Education, Labor, and Health and Human Services, as well as the Corporation for National and Community Service and the Institute of Museum and Library Services enter into Performance Partnership agreements with States, localities, or tribal governments. These agreements enable these entities to blend funding they already receive from Federal discretionary programs focused on serving disconnected youth or are designed to prevent youth from disconnecting from school or work, and that provide education, training, employment, and other related services.","Individuals between the ages of 14-24 who are low-income and are homeless, in foster care, involved in the juvenile justice system, unemployed, or not enrolled in or are at risk of dropping out of an educational institution.",State,2,Education,http://youth.gov/youth-topics/reconnecting-youth/performance-partnership-pilots,https://cfda.gov/index?s=program&mode=form&tab=step1&id=45888a9d36ca34bac68b499dc672f87b
93.001,Civil Rights and Privacy Rule Compliance Activities,HHS,Department of Health and Human Services,"K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS","As the Department's civil rights, conscience and religious freedom, and health privacy rights law enforcement agency, OCR investigates complaints, enforces rights, and promulgates regulations, develops policy and provides technical assistance and public education to ensure understanding of and compliance with non-discrimination and health information privacy laws.","Individuals subject to discrimination and recipients who require technical assistance and information. Regarding the HIPAA Privacy Rule, individuals subject to violation of their health information privacy, covered entities, and others needing or seeking technical assistance and information concerning the Rule.",CoC,5,Support Services,NA,NA
93.092,Affordable Care Act (ACA) Personal Responsibility Education Program,HHS,Department of Health and Human Services,"A - Formula Grants, B - Project Grants","The purpose of this program is to educate adolescents and young adults on both abstinence and contraception for the prevention of pregnancy and sexually transmitted infections, including HIV/AIDS. The Affordable Care Act was established and provided funding for this program through FY 2014. The program was extended through September 30, 2017 in P.L. 114-110.","PREP shall provide services to adolescents and young adults. Applicants are encouraged to serve youth populations that are the most high-risk or vulnerable for pregnancies or otherwise have special circumstances, including youth in and aging of out foster care, homeless youth, youth with HIV/AIDS, pregnant youth who are under 21 years of age, mothers who are under 21 years of age, and youth residing in areas with high birth rates for youth. Applicants must include the most recent pregnancy data for the State for youth ages 10 to 14 and youth ages 15-19, the most recent birth rates among the same age groups, and trends in those rates for the most recently preceding 5-year period for which data are available.",State,6,Health,http://www.acf.hhs.gov/programs/fysb/content/programs/top.htm,https://cfda.gov/index?s=program&mode=form&tab=step1&id=fdb5a9fc83a494c408945fbcdfe4d636
93.129,Technical and Non-Financial Assistance to Health Centers,HHS,Department of Health and Human Services,B - Cooperative Agreements,"To provide necessary technical and non-financial assistance to potential and existing health centers, including training and assistance to: (1) increase access to care; (2) achieve operational excellence; and (3) enhance health outcomes and health equity for individuals and communities (performance improvement and special initiatives).","Population groups in medically underserved areas, medically underserved populations, and special populations such migratory and seasonal agricultural workers, people experiencing homelessness, and public housing residents.",CoC,6,Health,http://www.hrsa.gov/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=80238debe5c3b73613722c517468c453
93.15,Projects for Assistance in Transition from Homelessness (PATH),HHS,Department of Health and Human Services,A - FORMULA GRANTS,"To provide financial assistance to States to support services for individuals who are suffering from serious mental illness or serious mental illness and substance abuse; and are homeless or at imminent risk of becoming homeless. Programs and activities include: (1) Outreach services; (2) screening and diagnostic treatment services; (3) habilitation and rehabilitation services; (4) community mental health services; (5) alcohol or drug treatment services; (6) staff training; (7) case management services; (8) supportive and supervisory services in residential settings; (9) referrals for primary health services, job training, educational services, and relevant housing services; and (10) prescribed set of housing services.",Individuals who have a serious mental illness or serious mental illness and substance abuse; and are homeless or are at imminent risk of becoming homeless.,State,1,Health,http://www.samhsa.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=f50c99d9c69e9f39ab4366db256d2fba
93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",HHS,Department of Health and Human Services,B - PROJECT GRANTS,"To improve the health of the Nation's underserved communities and vulnerable populations by assuring access to accessible, affordable, quality primary health care services. To continue comprehensive, primary health care services in areas already supported by the Health Center Program. Individual health center grant mechanisms include: (1) Community Health Centers; (2) Migrant Health Centers; (3) Health Care for the Homeless; and (4) Public Housing Primary Care Program.","Population groups in medically underserved areas, medically underserved populations, and special populations such migratory and seasonal agricultural workers, people experiencing homelessness, and public housing residents.",CoC,6,Health,http://bphc.hrsa.gov/programopportunities/fundingopportunities/SAC/index.html,https://cfda.gov/index?s=program&mode=form&tab=step1&id=0d8b7d6bfd65902e1917cb33710ed4a9
93.254,Infant Adoption Awareness Training,HHS,Department of Health and Human Services,B - PROJECT GRANTS,To develop and implement programs to train designated staff of eligible health centers in providing adoption information and referrals to pregnant women on an equal basis with all other courses of action included in non-directive counseling to pregnant women.,"Private nonprofit organizations, health professionals, health staff of Federally funded voluntary family planning projects supported under Section 1001 of the Public Health Service Act, staff of community health centers, migrant health centers, and centers providing services to homeless individuals and centers providing services to residents of public housing supported under Section 330 of the Public Health Service Act. PHS-funded school health centers, and public health clinics, or any health professional providing option counseling to pregnant women.",CoC,4,Health,NA,NA
93.291,Surplus Property Utilization,HHS,Department of Health and Human Services,"H - Sale, Exchange, or Donation of Property and Goods","To convey or lease all surplus Federal real properties made available by the disposal agency which are needed and usable by eligible organizations and institutions to carry out health programs, including homeless assistance programs.","Anyone attending, working with or for, or served by the eligible applicants. Examples of potentially eligible use programs are hospitals, public health clinics, water and sewer systems, institutions for the rehabilitation of mentally or physically disabled, health research institutions, homeless assistance facilities, and other institutions with basic health programs",CoC,4,,NA,NA
93.327,Demonstration Grants for Domestic Victims of Human Trafficking,HHS,Department of Health and Human Services,"B - Cooperative Agreements, B - Project Grants","The DVHT Program has the following objectives: 1) Conduct community assessments with the goal to build capacity, create partnerships, and deliver comprehensive, quality services to domestic victims; 2) Develop, strengthen, and expand comprehensive victim-centered services and case management at the community level for domestic victims; 3) Address the immediate and long-term housing and shelter needs of domestic victims through a continuum of flexible housing supports, including emergency and transitional housing; 4) Identify, provide, or refer victims to behavioral health and substance abuse treatments services; and 5) Integrate survivor engagement in their case management and service delivery strategies for victims.",Eligible recipients for DVHT program services include United States citizens and lawful permanent residents.,CoC,3,Housing,http://www.acf.hhs.gov/programs/otip,https://cfda.gov/index?s=program&mode=form&tab=step1&id=94a4a926e6bef3655c981cb3af6e6648
93.527,Grants for New and Expanded Services under the Health Center Program,HHS,Department of Health and Human Services,B - Project Grants,"To provide for expanded and sustained national investment in health centers funded under section 330 of the Public Health Service Act, including expanding the current safety net on a national basis by creating new access points (i.e., new health centers and sites), expanding services at existing health centers, and expanding networks that facilitate health information technology-based quality improvements in health centers.","Population groups in medically underserved areas, medically underserved populations, and special populations such migratory and seasonal agricultural workers, people experiencing homelessness, and public housing residents.",CoC,6,Health,http://www.hrsa.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=219960dfccc5d9b755ae77ba03ace755
93.55,Transitional Living for Homeless Youth,HHS,Department of Health and Human Services,B - PROJECT GRANTS,"The primary goal of the Transitional Living Program (TLP)/Maternity Group Home (MGH) is to help runaway and homeless youth between the ages of 16 to under 22 establish sustainable living and well-being for themselves and if applicable, their dependent child(ren). Through the provision of residential stay up to 540 days and comprehensive services, TLP youth between the ages of 16 to under 22 will realize improvements in four core outcome areas: stable housing, education/employment, permanent connections, and well-being.",Homeless youth (ages 16 to under 22) are the beneficiaries.,CoC,1,Housing,http://http//www.acf.hhs.gov/programs/fysb,https://cfda.gov/index?s=program&mode=form&tab=step1&id=f74a97816c9a358d2295f379d8a6da41
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",HHS,Department of Health and Human Services,B - PROJECT GRANTS,"The Service Connection for Youth on the Streets, also referred to as the Street Outreach Program (SOP) makes grants available to nonprofit agencies for the purpose of providing street-based services to runaway, homeless and street youth who have been subjected to, or are at risk of being subjected to sexual abuse, prostitution, human trafficking, sexual exploitation, or other forms of victimization.",Runaway and homeless street youth are the beneficiaries of SOPs.,CoC,1,Support Services,http://www.acf.hhs.gov/programs/fysb,https://cfda.gov/index?s=program&mode=form&tab=step1&id=ec212192d2c563e47eaf2e847a35c634
93.599,Chafee Education and Training Vouchers Program (ETV),,Department of Health and Human Services,A - FORMULA GRANTS,"To provide resources to states and eligible Indian tribes to make available vouchers for postsecondary training and education, to youths who have aged out of foster care or who have been adopted or left for kinship guardianship from the public foster care system after age 16.","Youth otherwise eligible for services under a state's or tribe's Chafee Foster Care Independence Program. (This includes youth who have left foster care because they attained 18 years of age, and have not yet attained 21 years of age; youth likely to remain in foster care until 18 years of age, commensurate with the state's or tribe's criteria used to determine eligibility for the program; and former foster care recipients, age 21 and younger.) Vouchers may also be provided to youth who are adopted from foster care or exit foster care to kinship guardianship after attaining age 16 and to youth up to the age of 23, as long as they are participating in the voucher program at age 21 and are making satisfactory progress toward completing their course of study or training.",State,5,Education,NA,NA
93.6,Head Start,HHS,Department of Health and Human Services,"B - PROJECT GRANTS, C - Direct Payments for Specified Use","To promote school readiness by enhancing the social and cognitive development of low-income children, including children on federally recognized reservations and children of migratory farm workers, through the provision of comprehensive health, educational, nutritional, social and other services; and to involve parents in their children's learning and to help parents make progress toward their educational, literacy and employment goals. Head Start also emphasizes the significant involvement of parents in the administration of their local Head Start programs.","Head Start/Early Head Start programs are for children from birth up to the age when the child enters the school system; however, Head Start programs only serve pre-school age children while Early Head Start programs serve children from birth through age three as well as pregnant women. The Early Head Start-Child Care Partnership programs are expanding access to high quality early learning and development opportunities for infants and toddlers from birth through age four. No less than 10 percent of each Head Start program's enrollment shall be for children with disabilities.",CoC,4,Education,https://www.acf.hhs.gov/programs/ohs,https://cfda.gov/index?s=program&mode=form&tab=step1&id=8cae9bcb1f10b840b29ced510ae5e81a
93.623,Basic Center Grant,HHS,Department of Health and Human Services,B - PROJECT GRANTS,"The purpose of Part A of the RHY Act (Runaway and Homeless Youth Grant Program) is to establish or strengthen locally controlled community-based programs that address the immediate needs of runaway and homeless youth and their families. Services must be delivered outside of the law enforcement, child welfare, mental health, and juvenile justice systems. The goals and objectives of the Basic Center Program are to: 1) alleviate problems of runaway and homeless youth; 2) reunite youth with their families, if deemed safe, and encourage the resolution of intra-family problems through counseling and other services; 3) strengthen family relationships and encourage stable living conditions for youth; and 4) help youth decide on constructive courses of action.",Runaway and homeless youth and their families are the beneficiaries. Services can be provided to youth up to the age of 18.,CoC,1,Support Services,http://www.acf.hhs.gov/programs/fysb.,https://cfda.gov/index?s=program&mode=form&tab=step1&id=5000109fa3a630c48fc6d5b4e9fddb9d
93.674,Chafee Foster Care Independence Program,HHS,Department of Health and Human Services,A - FORMULA GRANTS,"To assist states and eligible Indian tribes in establishing and carrying out programs designed to assist foster youth likely to remain in foster care until 18 years of age, youth who leave foster care for adoption or kinship guardianship after attaining age 16, and youth who have left foster care because they attained 18 years of age and have not yet attained 21 years of age, to make the transition from foster care to self-sufficiency.","Children and youth who are likely to remain in foster care until age 18, youth who left foster care to adoption or kinship guardianship after attaining age 16, and current and former foster care recipients after age 18 and up to age 21.",State,5,Support Services,NA,NA
93.778,Medical Assistance Program,HHS,Department of Health and Human Services,A - FORMULA GRANTS,"To provide financial assistance to States for payments of medical assistance on behalf of cash assistance recipients, children, pregnant women, and the aged who meet income and resource requirements, and other categorically-eligible groups. In certain States that elect to provide such coverage, medically-needy persons, who, except for income and resources, would be eligible for cash assistance, may be eligible for medical assistance payments under this program. Financial assistance is provided to States to pay for Medicare premiums, copayments and deductibles of qualified Medicare beneficiaries meeting certain income requirements. More limited financial assistance is available for certain Medicare beneficiaries with higher incomes.","Low-income persons who are over age 65, blind or disabled, members of families with dependent children, low- income children and pregnant women, certain Medicare beneficiaries and, in many States, medically-needy individuals may apply to a State or local welfare agency for medical assistance. At the State's option, eligibility to non-elderly individuals with family incomes up to 133 percent of the federal poverty level will start in calendar year 2014. Eligibility is determined by the State in accordance with Federal regulations.",State,5,Health,NA,NA
93.912,"Rural Health Care Services Outreach, Rural Health Network Development and Small Health Care Provider  Quality Improvement Program",HHS,Department of Health and Human Services,"B - Project Grants, B - Project Grants (Cooperative Agreements)","To expand delivery of health care services in rural areas, for the planning and implementation of integrated health care networks in rural areas, and for planning and implementation of small health care provider quality improvement activities.",Medically underserved populations in rural areas will receive expanded services in rural communities where they did not previously exist.,State,5,Health,NA,NA
93.926,Healthy Start Initiative,HHS,Department of Health and Human Services,B - PROJECT GRANTS,"The purpose of this grant program is to improve perinatal health outcomes and reduce racial and ethnic disparities in perinatal health outcomes by using community-based approaches to service delivery, and to facilitate access to comprehensive health and social services for women, infants, and their families. HS grants are provided to communities with rates of infant mortality at least 1½ times the U.S. national average and high rates for other adverse perinatal outcomes (e.g., low birthweight, preterm birth, maternal morbidity and mortality) in order to address the needs of high-risk women and their families before, during, and after pregnancy.","Service area residents, particularly women and infants in areas with significant perinatal health disparities.",CoC,5,Health,NA,NA
93.932,Native Hawaiian Health Care Systems,HHS,Department of Health and Human Services,B - PROJECT GRANTS,"To raise the health status of Native Hawaiians living in Hawaii to the highest possible level through the provision of comprehensive health promotion and disease prevention services, as well as primary health services, and to provide existing Native Hawaiian health care programs with all resources necessary to effectuate this policy.",Hawaiian natives will benefit.,State,5,Health,NA,NA
93.965,Coal Miners Respiratory Impairment Treatment Clinics and Services,HHS,Department of Health and Human Services,B - Cooperative Agreements,"Under the Black Lung Clinics Program, the primary objective is to reduce the morbidity and mortality associated with occupationally-related coal mine dust lung disease (CMDLD) through the provision of medical, outreach, educational, and benefits counseling services to coal miners and their families.

Under the Black Lung Center of Excellence, the primary objective is to strengthen the operations of the BLCP awardees and their ability to examine and treat respiratory and pulmonary impairments in active and inactive coal miners through improved data collection and analysis and to contribute to the body of knowledge on the health status and needs of U.S. coal miners.","Per 42 CFR Part55a, a “coal miner” is defined as:
Any individual who works or has worked in or around a coal mine or coal preparation facility in the extraction or preparation of coal. The term also includes an individual who works or has worked in coal mine construction or transportation in and around a coal mine, to the extent that the individual was exposed to coal dust as a result of employment.",CoC,5,Health,NA,NA
93.977,Sexually Transmitted Diseases (STD) Prevention and Control Grants,HHS,Department of Health and Human Services,B - PROJECT GRANTS,"Project grants under Section 318 awarded to State and local health departments, academic and public health organizations emphasize the development and implementation of nationally uniform prevention and control programs which focus on the core public health functions of assessment, assurance and policy development. This includes surveillance activities, including the reporting, screening, and follow up of persons diagnosed with STDs, and disease intervention activities to find cases, and notify and refer exposed partners to STD into care.","Any State or authorized subdivision including American Indian/Alaska Native tribal governments or tribal organizations located wholly or in part within their boundaries, academic institutions, and public health organizations.",State,5,Health,NA,NA
93.978,Sexually Transmitted Diseases (STD) Provider Education Grants,HHS,Department of Health and Human Services,B - PROJECT GRANTS,"To fund academic institutions and clinical and public health training organizations to develop, deliver and evaluate training, and educational and clinical skills improvement activities for health care professionals and appropriate allied health personnel for the prevention, control and clinical management of gonorrhea, chlamydia, syphilis, and other STD.","Any State or authorized subdivision including American Indian/Alaska Native tribal governments or tribal organizations located wholly or in part within their boundaries, academic institutions and public health organizations.",State,5,Health,NA,NA
93.997,Assisted Outpatient Treatment,HHS,Department of Health and Human Services,B - Project Grants (Discretionary),"In April of 2014, Congress passed the Protecting Access to Medicare Act of 2014 (PAMA), which authorized a four year pilot program to award grants for Assisted Outpatient Treatment (AOT) programs for individuals with serious mental illness. The goal of the pilot program is to improve the health and social outcomes for the individuals served in the program such as increasing healthcare utilization, improving behavioral health and other health outcomes, and reducing rates of homelessness and incarceration. The AOT program will prepare and execute evidence-based, recovery oriented, and person-centered treatment plans with consumer input, provide case management and evidence-based serves that support he individual and the treatment plan, ensure individuals are made aware of criteria for AOT completion, and ensure appropriate referrals to medical and social services providers based on the individual’s needs.","States, counties, cities mental health systems (including state mental health authorities), mental health courts, or any other entity with authority under the law of the state in which the applicant grantee is located to implement, monitor, and oversee AOT programs.",CoC,6,Health,http://www.samhsa.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=50428c5a80521499b94709080f137bab
97.024,Emergency Food and Shelter National Board Program,DHS,Department of Homeland Security,B - Project Grants,"Program funds support the National Preparedness Goal (NPG) by complementing actions undertaken to achieve an “all-of-Nation preparedness approach that optimizes the use of available resources.” When a disaster strikes, it is often the poor or those with economic vulnerabilities who suffer the most. By providing emergency economic assistance that keeps people off the streets, from being evicted from their homes, or with groceries to prevent hunger, the EFSP prepares a population that could otherwise be even more adversely impacted by a disaster situation and mitigates potential burdens imposed on recovery efforts to assist such people. 

For additional details on the NPG, please refer to http://www.fema.gov/pdf/prepared/npg.pdf.","The law directs that the Local Boards, which manage the program at the local level, shall ""determine which private nonprofit organizations or public organizations of the local government in the individual locality shall receive grants to act as service providers."" The range of participant groups on the Local Boards include the affiliates of the National Board membership which consists of American Red Cross, Catholic Charities USA, The Jewish Federations of North America, National Council of Churches of Christ in the USA, The Salvation Army, and United Way Worldwide, with a local government representative replacing FEMA. Also participating are thousands of independent nonprofits (such as Community Action Agencies and Food Banks and food pantries) which provide food and/or shelter services. Due to the broad category of people in need of such emergency services, the providers can include specialized groups such as domestic violence shelters, Native American organizations, and organizations providing food or shelter to: AIDS patients, handicapped individuals, the elderly, homeless veterans, non-wards of the State teenage runaways, and many other groups with emergency food and shelter needs. As noted earlier, the decisions on selections are made through the consensus of the Local Board as they have assessed their community's most urgent needs. It is important that such agencies use these funds to supplement, not replace, their current efforts. This program is intended to supplement ongoing programs and allow them to extend and expand upon their existing services.",State,2,Support Services,http://www.fema.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=25e8c0bc8d5b568e2f5f0f3b1cf0aca6
