"obligations_incurred_by_program_object_class_cpe","reporting_period_start","budget_function_code","budget_function_title","budget_subfunction_code","budget_subfunction_title","major_object_class","major_object_class_name","object_class","object_class_name"
99102.04,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","258","Subsistence and support of persons"
156790931.98,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","254","Operation and maintenance of facilities"
417649.32,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","20","Contractual services and supplies","260","Supplies and materials"
171102982.19,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","30","Acquisition of assets","310","Equipment"
65336764.25,"2018-04-01","050","National Defense","053","Atomic energy defense activities","20","Contractual services and supplies","232","Rental payments to others"
91683451.46,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","20","Contractual services and supplies","253","Other goods and services from Federal sources"
6361477.85,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","257","Operation and maintenance of equipment"
19299549.54,"2018-04-01","550","Health","551","Health care services","40","Grants and fixed charges","440","Refunds"
137807.89,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","253","Other goods and services from Federal sources"
7688107.13,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","252","Other services from non-Federal sources"
1016294.51,"2018-04-01","800","General Government","802","Executive direction and management","20","Contractual services and supplies","232","Rental payments to others"
83929737.59,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","40","Grants and fixed charges","440","Refunds"
164401349.71,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","20","Contractual services and supplies","240","Printing and reproduction"
868639.64,"2018-04-01","150","International Affairs","152","International security assistance","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
710379685.51,"2018-04-01","350","Agriculture","352","Agricultural research and services","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
343629082.48,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","253","Other goods and services from Federal sources"
46044903.21,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","260","Supplies and materials"
2050482.24,"2018-04-01","600","Income Security","609","Other income security","10","Personnel compensation and benefits","113","Other than full-time permanent"
303188840295.87,"2018-04-01","800","General Government","803","Central fiscal operations","40","Grants and fixed charges","440","Refunds"
232190028.24,"2018-04-01","300","Natural Resources and Environment","301","Water resources","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
2250000,"2018-04-01","350","Agriculture","352","Agricultural research and services","90","Other","940","Financial transfers"
5651507.05,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","260","Supplies and materials"
3000000,"2018-04-01","400","Transportation","403","Water transportation","90","Other","940","Financial transfers"
56138873.24,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","10","Personnel compensation and benefits","115","Other personnel compensation"
24549375.29,"2018-04-01","800","General Government","808","Other general government","20","Contractual services and supplies","253","Other goods and services from Federal sources"
3882344.13,"2018-04-01","400","Transportation","407","Other transportation","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
925.62,"2018-04-01","400","Transportation","403","Water transportation","40","Grants and fixed charges","430","Interest and dividends"
253604.36,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","254","Operation and maintenance of facilities"
1669494833.46,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
40471062.74,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","10","Personnel compensation and benefits","121","Civilian personnel benefits"
142066105.99,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","10","Personnel compensation and benefits","115","Other personnel compensation"
60205899.68,"2018-04-01","350","Agriculture","352","Agricultural research and services","30","Acquisition of assets","310","Equipment"
67696128.2,"2018-04-01","800","General Government","808","Other general government","10","Personnel compensation and benefits","111","Full-time permanent"
110456.61,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","20","Contractual services and supplies","254","Operation and maintenance of facilities"
31.56,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
1275954.64,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","240","Printing and reproduction"
315858.02,"2018-04-01","350","Agriculture","352","Agricultural research and services","40","Grants and fixed charges","430","Interest and dividends"
55715.03,"2018-04-01","800","General Government","802","Executive direction and management","00","Unknown","000",""
568546231.3,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","20","Contractual services and supplies","251","Advisory and assistance services"
126317.45,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","20","Contractual services and supplies","220","Transportation of things"
237022820.26,"2018-04-01","050","National Defense","053","Atomic energy defense activities","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
172914105.76,"2018-04-01","050","National Defense","053","Atomic energy defense activities","10","Personnel compensation and benefits","118","Special personal services payments"
-834255.47,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","90","Other","920","Undistributed"
37750.38,"2018-04-01","270","Energy","271","Energy supply","40","Grants and fixed charges","440","Refunds"
485848205.29,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","20","Contractual services and supplies","253","Other goods and services from Federal sources"
1274431.49,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","20","Contractual services and supplies","240","Printing and reproduction"
107560881.41,"2018-04-01","400","Transportation","403","Water transportation","20","Contractual services and supplies","220","Transportation of things"
776956.41,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","30","Acquisition of assets","320","Land and structures"
175817.53,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","10","Personnel compensation and benefits","130","Benefits for former personnel"
1334109.73,"2018-04-01","270","Energy","272","Energy conservation","10","Personnel compensation and benefits","113","Other than full-time permanent"
342275.11,"2018-04-01","600","Income Security","604","Housing assistance","20","Contractual services and supplies","240","Printing and reproduction"
2581710.15,"2018-04-01","550","Health","554","Consumer and occupational health and safety","40","Grants and fixed charges","440","Refunds"
2754162.38,"2018-04-01","800","General Government","804","General property and records management","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
139728642.26,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","252","Other services from non-Federal sources"
3328359.98,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","256","Medical care"
544438562.84,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","20","Contractual services and supplies","232","Rental payments to others"
86970.63,"2018-04-01","400","Transportation","402","Air transportation","30","Acquisition of assets","330","Investments and loans"
121953.1,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","256","Medical care"
2969456.67,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","20","Contractual services and supplies","251","Advisory and assistance services"
-142.13,"2018-04-01","800","General Government","801","Legislative functions","40","Grants and fixed charges","430","Interest and dividends"
20686760.66,"2018-04-01","050","National Defense","053","Atomic energy defense activities","10","Personnel compensation and benefits","117","Military personnel"
98533.83,"2018-04-01","550","Health","551","Health care services","40","Grants and fixed charges","430","Interest and dividends"
1454444.42,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","256","Medical care"
607441.4,"2018-04-01","450","Community and Regional Development","452","Area and regional development","20","Contractual services and supplies","256","Medical care"
204871636.15,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","20","Contractual services and supplies","257","Operation and maintenance of equipment"
370163374.84,"2018-04-01","400","Transportation","402","Air transportation","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
192897603.18,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","20","Contractual services and supplies","210","Travel and transportation of persons"
94564833.23,"2018-04-01","550","Health","552","Health research and training","10","Personnel compensation and benefits","111","Full-time permanent"
42819977.52,"2018-04-01","550","Health","551","Health care services","30","Acquisition of assets","320","Land and structures"
303270.8,"2018-04-01","050","National Defense","053","Atomic energy defense activities","40","Grants and fixed charges","430","Interest and dividends"
2072336737.9,"2018-04-01","400","Transportation","402","Air transportation","20","Contractual services and supplies","251","Advisory and assistance services"
589331.68,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","40","Grants and fixed charges","420","Insurance claims and indemnities"
28043824.21,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","220","Transportation of things"
1886585933.78,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","252","Other services from non-Federal sources"
854211179.26,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","20","Contractual services and supplies","260","Supplies and materials"
919654791.78,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","260","Supplies and materials"
36994523.79,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","210","Travel and transportation of persons"
4326460.38,"2018-04-01","350","Agriculture","352","Agricultural research and services","10","Personnel compensation and benefits","130","Benefits for former personnel"
401409751.2,"2018-04-01","400","Transportation","402","Air transportation","20","Contractual services and supplies","254","Operation and maintenance of facilities"
0,"2018-04-01","650","Social Security","651","Social security","00","Unknown","000",""
218655122.67,"2018-04-01","450","Community and Regional Development","452","Area and regional development","10","Personnel compensation and benefits","121","Civilian personnel benefits"
242.9,"2018-04-01","450","Community and Regional Development","451","Community development","90","Other","910","Unvouchered"
192990738.56,"2018-04-01","650","Social Security","651","Social security","10","Personnel compensation and benefits","115","Other personnel compensation"
3095955.46,"2018-04-01","600","Income Security","604","Housing assistance","20","Contractual services and supplies","251","Advisory and assistance services"
4771797.13,"2018-04-01","400","Transportation","402","Air transportation","40","Grants and fixed charges","420","Insurance claims and indemnities"
199260948.13,"2018-04-01","550","Health","554","Consumer and occupational health and safety","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
160655.87,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","260","Supplies and materials"
448141.37,"2018-04-01","600","Income Security","605","Food and nutrition assistance","40","Grants and fixed charges","420","Insurance claims and indemnities"
28885525.01,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
14352077.16,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
1653573.75,"2018-04-01","600","Income Security","609","Other income security","20","Contractual services and supplies","254","Operation and maintenance of facilities"
483797.02,"2018-04-01","400","Transportation","401","Ground transportation","40","Grants and fixed charges","420","Insurance claims and indemnities"
4054.97,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","40","Grants and fixed charges","440","Refunds"
115849193.95,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","253","Other goods and services from Federal sources"
1220314484.72,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","10","Personnel compensation and benefits","121","Civilian personnel benefits"
10605589.61,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","10","Personnel compensation and benefits","121","Civilian personnel benefits"
-190376513.12,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","00","Unknown","000",""
85090119.86,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","260","Supplies and materials"
1481700.33,"2018-04-01","400","Transportation","407","Other transportation","30","Acquisition of assets","320","Land and structures"
3951291.29,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","20","Contractual services and supplies","253","Other goods and services from Federal sources"
100150953.75,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","10","Personnel compensation and benefits","113","Other than full-time permanent"
70779276.95,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
9342965912.68,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","40","Grants and fixed charges","420","Insurance claims and indemnities"
132526598.29,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","20","Contractual services and supplies","255","Research and development contracts"
114324406.12,"2018-04-01","400","Transportation","403","Water transportation","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
125257532.99,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
27484063.74,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","251","Advisory and assistance services"
857745066.08,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","251","Advisory and assistance services"
42894,"2018-04-01","600","Income Security","609","Other income security","20","Contractual services and supplies","232","Rental payments to others"
75800778.92,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","20","Contractual services and supplies","231","Rental payments to GSA"
-1923.51,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","40","Grants and fixed charges","440","Refunds"
24571,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","10","Personnel compensation and benefits","130","Benefits for former personnel"
434583.31,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","256","Medical care"
5025,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","20","Contractual services and supplies","232","Rental payments to others"
513776967.98,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","252","Other services from non-Federal sources"
6148592.44,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","20","Contractual services and supplies","240","Printing and reproduction"
809304.97,"2018-04-01","570","Medicare","571","Medicare","10","Personnel compensation and benefits","115","Other personnel compensation"
113515140,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","30","Acquisition of assets","330","Investments and loans"
0,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","90","Other","920","Undistributed"
2846055.83,"2018-04-01","800","General Government","808","Other general government","20","Contractual services and supplies","210","Travel and transportation of persons"
306054.09,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","10","Personnel compensation and benefits","122","Military personnel benefits"
260267.16,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","20","Contractual services and supplies","260","Supplies and materials"
5761190.34,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","20","Contractual services and supplies","254","Operation and maintenance of facilities"
277581389.56,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","10","Personnel compensation and benefits","115","Other personnel compensation"
1952967.87,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","232","Rental payments to others"
0,"2018-04-01","800","General Government","805","Central personnel management","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
194635198.85,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","255","Research and development contracts"
15600842.58,"2018-04-01","550","Health","554","Consumer and occupational health and safety","20","Contractual services and supplies","232","Rental payments to others"
5295112.81,"2018-04-01","400","Transportation","407","Other transportation","10","Personnel compensation and benefits","115","Other personnel compensation"
413656060493.32,"2018-04-01","900","Net Interest","901","Interest on Treasury debt securities (gross)","40","Grants and fixed charges","430","Interest and dividends"
44436145.79,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","20","Contractual services and supplies","251","Advisory and assistance services"
2376306.36,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","20","Contractual services and supplies","254","Operation and maintenance of facilities"
2567729.9,"2018-04-01","800","General Government","801","Legislative functions","20","Contractual services and supplies","251","Advisory and assistance services"
58086.71,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","20","Contractual services and supplies","256","Medical care"
11147530.3,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","30","Acquisition of assets","310","Equipment"
306374125.28,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","40","Grants and fixed charges","440","Refunds"
808246.32,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","10","Personnel compensation and benefits","130","Benefits for former personnel"
511.17,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","10","Personnel compensation and benefits","122","Military personnel benefits"
628324.48,"2018-04-01","270","Energy","272","Energy conservation","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
36596057.22,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","220","Transportation of things"
100459353.21,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","231","Rental payments to GSA"
90484.02,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","254","Operation and maintenance of facilities"
8465960.81,"2018-04-01","400","Transportation","403","Water transportation","10","Personnel compensation and benefits","113","Other than full-time permanent"
286722.24,"2018-04-01","570","Medicare","571","Medicare","20","Contractual services and supplies","210","Travel and transportation of persons"
178341475,"2018-04-01","700","Veterans Benefits and Services","704","Veterans housing","20","Contractual services and supplies","252","Other services from non-Federal sources"
235790204.67,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","20","Contractual services and supplies","253","Other goods and services from Federal sources"
2847121298.44,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","20","Contractual services and supplies","251","Advisory and assistance services"
9881855.11,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","240","Printing and reproduction"
3474045.5,"2018-04-01","800","General Government","805","Central personnel management","10","Personnel compensation and benefits","113","Other than full-time permanent"
160353053.93,"2018-04-01","570","Medicare","571","Medicare","20","Contractual services and supplies","256","Medical care"
15641717.27,"2018-04-01","800","General Government","802","Executive direction and management","10","Personnel compensation and benefits","113","Other than full-time permanent"
195627.85,"2018-04-01","150","International Affairs","152","International security assistance","20","Contractual services and supplies","258","Subsistence and support of persons"
1258764918.37,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","40","Grants and fixed charges","440","Refunds"
442924178.95,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","252","Other services from non-Federal sources"
8911782970.58,"2018-04-01","900","Net Interest","908","Other interest","40","Grants and fixed charges","430","Interest and dividends"
1027179.57,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","20","Contractual services and supplies","251","Advisory and assistance services"
11871118.56,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","10","Personnel compensation and benefits","113","Other than full-time permanent"
2978000.69,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","10","Personnel compensation and benefits","115","Other personnel compensation"
0,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","00","Unknown","000",""
1018930.66,"2018-04-01","800","General Government","801","Legislative functions","30","Acquisition of assets","320","Land and structures"
337828.52,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","10","Personnel compensation and benefits","118","Special personal services payments"
0,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","90","Other","920","Undistributed"
4501.31,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","232","Rental payments to others"
98126688.49,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","260","Supplies and materials"
1131887.67,"2018-04-01","800","General Government","808","Other general government","10","Personnel compensation and benefits","115","Other personnel compensation"
104878206.84,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","20","Contractual services and supplies","260","Supplies and materials"
321547115.76,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
3725571.64,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","10","Personnel compensation and benefits","130","Benefits for former personnel"
60000000,"2018-04-01","550","Health","554","Consumer and occupational health and safety","90","Other","940","Financial transfers"
1269264.55,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","10","Personnel compensation and benefits","118","Special personal services payments"
29265154.43,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","20","Contractual services and supplies","240","Printing and reproduction"
3600592076.67,"2018-04-01","650","Social Security","651","Social security","10","Personnel compensation and benefits","111","Full-time permanent"
31238317.42,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","10","Personnel compensation and benefits","121","Civilian personnel benefits"
146804310.7,"2018-04-01","400","Transportation","402","Air transportation","20","Contractual services and supplies","232","Rental payments to others"
54582.9,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","260","Supplies and materials"
3164285.55,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","10","Personnel compensation and benefits","113","Other than full-time permanent"
1397270.2,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","231","Rental payments to GSA"
0,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","00","Unknown","000",""
28796.84,"2018-04-01","600","Income Security","609","Other income security","20","Contractual services and supplies","220","Transportation of things"
2571172.89,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","251","Advisory and assistance services"
269948256.45,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","40","Grants and fixed charges","430","Interest and dividends"
2658321938.59,"2018-04-01","350","Agriculture","351","Farm income stabilization","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
504018513.01,"2018-04-01","350","Agriculture","352","Agricultural research and services","20","Contractual services and supplies","255","Research and development contracts"
715278838.58,"2018-04-01","400","Transportation","402","Air transportation","10","Personnel compensation and benefits","115","Other personnel compensation"
94092628.97,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
5907830.92,"2018-04-01","400","Transportation","401","Ground transportation","10","Personnel compensation and benefits","113","Other than full-time permanent"
618780063,"2018-04-01","370","Commerce and Housing Credit","371","Mortgage credit","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
104843.16,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","30","Acquisition of assets","310","Equipment"
17291873.12,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","260","Supplies and materials"
1009630178.92,"2018-04-01","050","National Defense","053","Atomic energy defense activities","20","Contractual services and supplies","251","Advisory and assistance services"
272946.33,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","10","Personnel compensation and benefits","113","Other than full-time permanent"
66274903.23,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","210","Travel and transportation of persons"
92273330.05,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","10","Personnel compensation and benefits","113","Other than full-time permanent"
56.65,"2018-04-01","300","Natural Resources and Environment","301","Water resources","30","Acquisition of assets","330","Investments and loans"
223483620.14,"2018-04-01","350","Agriculture","351","Farm income stabilization","10","Personnel compensation and benefits","121","Civilian personnel benefits"
7685729.66,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","231","Rental payments to GSA"
107730.15,"2018-04-01","800","General Government","802","Executive direction and management","20","Contractual services and supplies","220","Transportation of things"
45721832.79,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","231","Rental payments to GSA"
11071179.26,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","20","Contractual services and supplies","251","Advisory and assistance services"
713949.19,"2018-04-01","600","Income Security","604","Housing assistance","40","Grants and fixed charges","440","Refunds"
319267222.66,"2018-04-01","400","Transportation","402","Air transportation","20","Contractual services and supplies","210","Travel and transportation of persons"
37343.42,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","10","Personnel compensation and benefits","115","Other personnel compensation"
745310.13,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","10","Personnel compensation and benefits","113","Other than full-time permanent"
6119626.86,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","220","Transportation of things"
3536289.05,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","40","Grants and fixed charges","440","Refunds"
6337374.91,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","254","Operation and maintenance of facilities"
3147759.36,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
141850154.97,"2018-04-01","550","Health","554","Consumer and occupational health and safety","10","Personnel compensation and benefits","113","Other than full-time permanent"
2610794.49,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","10","Personnel compensation and benefits","115","Other personnel compensation"
1407591.14,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","30","Acquisition of assets","320","Land and structures"
444166857.94,"2018-04-01","050","National Defense","053","Atomic energy defense activities","10","Personnel compensation and benefits","113","Other than full-time permanent"
1555855.29,"2018-04-01","650","Social Security","651","Social security","10","Personnel compensation and benefits","118","Special personal services payments"
0,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","255","Research and development contracts"
1644959.47,"2018-04-01","450","Community and Regional Development","451","Community development","20","Contractual services and supplies","210","Travel and transportation of persons"
1953647.69,"2018-04-01","800","General Government","808","Other general government","30","Acquisition of assets","310","Equipment"
387863330.81,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","20","Contractual services and supplies","253","Other goods and services from Federal sources"
1348085706.54,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","220","Transportation of things"
930311.35,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","232","Rental payments to others"
45143.96,"2018-04-01","600","Income Security","604","Housing assistance","20","Contractual services and supplies","254","Operation and maintenance of facilities"
87485049.82,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
176787788.43,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","30","Acquisition of assets","310","Equipment"
89540335.18,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
570713560.82,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","231","Rental payments to GSA"
4745662.28,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","260","Supplies and materials"
11297698.02,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","252","Other services from non-Federal sources"
11549101.85,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","10","Personnel compensation and benefits","113","Other than full-time permanent"
720853486.29,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
127297.74,"2018-04-01","800","General Government","806","General purpose fiscal assistance","10","Personnel compensation and benefits","130","Benefits for former personnel"
26310314.67,"2018-04-01","150","International Affairs","152","International security assistance","30","Acquisition of assets","310","Equipment"
927596.12,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","20","Contractual services and supplies","253","Other goods and services from Federal sources"
2409399.49,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","10","Personnel compensation and benefits","130","Benefits for former personnel"
15779429.94,"2018-04-01","300","Natural Resources and Environment","301","Water resources","20","Contractual services and supplies","255","Research and development contracts"
23082874.81,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","20","Contractual services and supplies","210","Travel and transportation of persons"
61160234.13,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","257","Operation and maintenance of equipment"
1853690.55,"2018-04-01","570","Medicare","571","Medicare","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
20873395,"2018-04-01","600","Income Security","604","Housing assistance","20","Contractual services and supplies","253","Other goods and services from Federal sources"
3764470.98,"2018-04-01","550","Health","552","Health research and training","20","Contractual services and supplies","260","Supplies and materials"
26411.55,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","40","Grants and fixed charges","430","Interest and dividends"
