"sub","name","size"
"Office of the Assistant Secretary for Administration and Management","JESKELL SYSTEMS LLC",736604
"Office of the Assistant Secretary for Administration and Management","SEVATEC INC",732650.09
"Office of the Assistant Secretary for Administration and Management","FIRST FINANCIAL ASSOCIATES INC",709800
"Office of the Assistant Secretary for Administration and Management","NEW TECH SOLUTIONS INC",668733.29
"Office of the Assistant Secretary for Administration and Management","LOGISTICS SYSTEMS INCORPORATED",614067
"Office of the Assistant Secretary for Administration and Management","IMPYRIAN LLC",604869.89
"Office of the Assistant Secretary for Policy","POWERTEK CORPORATION",451588.29
"Office of the Assistant Secretary for Policy","URBAN INSTITUTE",51976.51
"Office of the Assistant Secretary for Policy","MOI INC",36184.99
"Office of the Assistant Secretary for Policy","TALU LLC",22758.42
"Office of the Assistant Secretary for Policy","XEROX CORPORATION",8419.04
"Office of the Assistant Secretary for Policy","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",5500
"Office of the Assistant Secretary for Policy","MATHEMATICA POLICY RESEARCH INC",-26283.71
"Office of the Chief Economist","ICF INCORPORATED LLC",169346
"Office of the Chief Economist","EASTERN RESEARCH GROUP INC",99000
"Office of the Chief Economist","MATHPRO INC",90000
"Office of the Chief Economist","THOMSON REUTERS MARKETS LLC",49776
"Office of the Chief Economist","INTERACTIVE DATA CORPORATION",43540
"Office of the Chief Economist","INFINITY CONFERENCE GROUP INC",40610
"Office of the Chief Economist","INFORMA BUSINESS INTELLIGENCE INC",29435
"Office of the Chief Economist","FEDRESULTS INC",27462
"Office of the Chief Economist","THE NEWBERRY GROUP INCORPORATED",21902
"Office of the Chief Economist","COLORADO STATE UNIVERSITY",15000
"Office of the Chief Financial Officer","TESTPROS INC",989498.94
"Office of the Chief Financial Officer","TECHNOMICS INC",960050
"Office of the Chief Financial Officer","CNI ADVANTAGE LLC",895874.83
"Office of the Chief Financial Officer","WU CONSULTING LIMITED LIABILITY COMPANY",864810.53
"Office of the Chief Financial Officer","DYNAMIC SYSTEMS INC",816412.96
"Office of the Chief Financial Officer","ANTHONY WAYNE REHABILITATION CENTER FOR HANDICAPPED AND BLIND INC",808512.61
"Office of the Chief Financial Officer","IMMIXTECHNOLOGY INC",801635.89
"Office of the Chief Financial Officer","CONCUR TECHNOLOGIES INC",739075.81
"Office of the Chief Financial Officer","OH CONSULTING INCORPORATED",730056
"Office of the Chief Financial Officer","PRICEWATERHOUSECOOPERS PUBLIC SECTOR LLP",715060.97
"Office of the Chief Human Capital Officer","VISIONARY INTEGRATION PROFESSIONALS LLC",948618.72
"Office of the Chief Human Capital Officer","IMMIXTECHNOLOGY INC",761400
"Office of the Chief Human Capital Officer","ECONOMIC SYSTEMS INC",735091.21
"Office of the Chief Human Capital Officer","KARSUN SOLUTIONS LLC",362526.4
"Office of the Chief Human Capital Officer","MANAGED CARE ADVISORS INC",321675.38
"Office of the Chief Human Capital Officer","EC AMERICA INC",288513.2
"Office of the Chief Human Capital Officer","TRAINING CONNECTION INCORPORATED 6903",148505.4
"Office of the Chief Human Capital Officer","COMPSYCH EMPLOYEE ASSISTANCE PROGRAMS INC",97200
"Office of the Chief Human Capital Officer","THE EFX COMPANY",90965
"Office of the Chief Human Capital Officer","TCS INTERPRETING INC",46800
"Office of the Chief Information Officer","GOVERNMENT ACQUISITIONS INC",956843.52
"Office of the Chief Information Officer","SKILLSOFT PLC",914743.84
"Office of the Chief Information Officer","AMBIT GROUP LLC",902660.39
"Office of the Chief Information Officer","LS3 INCORPORATED",899991.18
"Office of the Chief Information Officer","AKIRA TECHNOLOGIES INC",859937.43
"Office of the Chief Information Officer","ALLIANCE TECHNOLOGY GROUP LLC",850041.96
"Office of the Chief Information Officer","ALVAREZ LLC",838272.94
"Office of the Chief Information Officer","MONSTER GOVERNMENT SOLUTIONS LLC",811860
"Office of the Chief Information Officer","THREE WIRE SYSTEMS LLC",806976.39
"Office of the Chief Information Officer","DUN & BRADSTREET INC",803086.54
"Office of the Chief Procurement Officer","MANAGEMENT CONCEPTS INCORPORATED",953089.46
"Office of the Chief Procurement Officer","SOLUTIONS THROUGH INNOVATIVE TECHNOLOGIES INC",534572.34
"Office of the Chief Procurement Officer","CARNEY INCORPORATED",534245.69
"Office of the Chief Procurement Officer","OBSIDIAN ANALYSIS INC",385291.95
"Office of the Chief Procurement Officer","EC AMERICA INC",240427.66
"Office of the Chief Procurement Officer","HP ENTERPRISE SERVICES LLC",151247.52
"Office of the Chief Procurement Officer","CAMBRIDGE INTERNATIONAL SYSTEMS INC",122463.52
"Office of the Chief Procurement Officer","CHEVO CONSULTING LLC",100000
"Office of the Chief Procurement Officer","CALIFORNIA INSTITUTE OF TECHNOLOGY",95062
"Office of the Chief Procurement Officer","JD CLARK PROFESSIONAL SERVICES LLC",80469.74
"Office of the Chief Readiness Support Officer","FOX RELOCATION MANAGEMENT CORP",564402.46
"Office of the Chief Readiness Support Officer","LEO A DALY COMPANY",298576
"Office of the Chief Readiness Support Officer","SENTRY SECURITY INTERNATIONAL INC",288295.8
"Office of the Chief Readiness Support Officer","PARK AMERICA INC",197466
"Office of the Chief Readiness Support Officer","MID-ATLANTIC PARKING SERVICES INC",194700
"Office of the Chief Readiness Support Officer","GEARHART CONSTRUCTION SERVICES LLC",97682.92
"Office of the Chief Readiness Support Officer","NATIONAL ACADEMY OF SCIENCES",40000
"Office of the Chief Readiness Support Officer","COLONIAL PARKING INC",27589.2
"Office of the Chief Readiness Support Officer","R H G GROUP INCORPORATED",10400
"Office of the Chief Readiness Support Officer","CEEPCO CONTRACTING LLC",6989.63
"Office of the Chief Security Officer","TSYMMETRY INC",921968.69
"Office of the Chief Security Officer","ADC LTD NM",835749.64
"Office of the Chief Security Officer","ADVANCED RESOURCE TECHNOLOGIES INCORPORATED",797421.61
"Office of the Chief Security Officer","CENTECH GROUP INC",714731.36
"Office of the Chief Security Officer","BRUINWAVE SOLUTIONS LLC",659841.6
"Office of the Chief Security Officer","AKIRA TECHNOLOGIES INC",299415.48
"Office of the Chief Security Officer","HP ENTERPRISE SERVICES LLC",135964.18
"Office of the Chief Security Officer","PANAMERICA COMPUTERS INC",127166.95
"Office of the Chief Security Officer","ANACAPA MICRO PRODUCTS INC",51159.25
"Office of the Chief Security Officer","MORPHO DETECTION LLC",17500
"Office of the Comptroller of the Currency","AURELIUS GROUP LLC",969222.42
"Office of the Comptroller of the Currency","PHACIL INC",864473.46
"Office of the Comptroller of the Currency","CW GOVERNMENT TRAVEL INCORPORATED",849806.32
"Office of the Comptroller of the Currency","TRUETANDEM LLC",808130.06
"Office of the Comptroller of the Currency","MAGELLAN SOLUTIONS USA INC",792741.72
"Office of the Comptroller of the Currency","ELECTRONIC DATA SYSTEMS LLC",700000
"Office of the Comptroller of the Currency","BLUE TECH INC",678039.94
"Office of the Comptroller of the Currency","INTEGRATED FEDERAL SOLUTIONS INC",644829.51
"Office of the Comptroller of the Currency","EPOCH CONCEPTS LLC",581409.99
"Office of the Comptroller of the Currency","WEST PUBLISHING CORPORATION",580841.46
"Office of the Deputy Under Secretary for Congressional Affairs","BLOOMBERG FINANCE LP",62550
"Office of the Deputy Under Secretary for Congressional Affairs","MELTECH CORPORATION INC",59756.77
"Office of the Deputy Under Secretary for Congressional Affairs","MANAGEAIRE LLC",45758
"Office of the Deputy Under Secretary for Congressional Affairs","A TOUCH OF CLASS INTERIOR DESIGN LLC",22462.8
"Office of the Deputy Under Secretary for Congressional Affairs","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",18897.4
"Office of the Deputy Under Secretary for Congressional Affairs","HON COMPANY LLC THE",10079.46
"Office of the Deputy Under Secretary for Congressional Affairs","XEROX CORPORATION",8408.4
"Office of the Deputy Under Secretary for Congressional Affairs","LEADERSHIP DIRECTORIES INC",5750
"Office of the Deputy Under Secretary for Congressional Affairs","FAX PLUS INCORPORATED",4553.04
"Office of the General Counsel","RAND CONSTRUCTION COMPANY",249803.38
"Office of the General Counsel","SIXT GMBH & CO AUTOVERMIETUNG KG",4272.75
"Office of the Inspector General","KELLY ANDERSON & ASSOCIATES INC",980094.4
"Office of the Inspector General","IMMERSIVE CONCEPTS LLC",835801.81
"Office of the Inspector General","COUNTERTRADE PRODUCTS INC",776325.66
"Office of the Inspector General","ASYNC-NU MICROSYSTEMS",776246.65
"Office of the Inspector General","RMA ASSOCIATES LLC",724174.71
"Office of the Inspector General","EDC CONSULTING LLC",686929.3
"Office of the Inspector General","DELL FEDERAL SYSTEMS LP",684711.82
"Office of the Inspector General","FCI FEDERAL INC",679636.68
"Office of the Inspector General","GOVERNMENT ACQUISITIONS INC",659673.85
"Office of the Inspector General","EARTHLING SECURITY LLC",658070
"Office of the Inspector General for Tax Administration","I TECH AG LLC",532657.27
"Office of the Inspector General for Tax Administration","MINBURN TECHNOLOGY GROUP LLC",394517.66
"Office of the Inspector General for Tax Administration","EXECUTIVE INFORMATION SYSTEMS",287733.62
"Office of the Inspector General for Tax Administration","ISOFT SOLUTIONS LLC",246295.18
"Office of the Inspector General for Tax Administration","GOLDBELT WOLF LLC",226024.24
"Office of the Inspector General for Tax Administration","PROCOM CORPORATION",194925
"Office of the Inspector General for Tax Administration","INFORELIANCE CORPORATION",193361.21
"Office of the Inspector General for Tax Administration","FCN INC",184597.61
"Office of the Inspector General for Tax Administration","VISTA OUTDOOR SALES LLC",175788.84
"Office of the Inspector General for Tax Administration","THOMSON REUTERS SPECIAL SERVICES LLC",163186.57
"Office of the Secretary","TECHNOLOGY SOLUTIONS PROVIDER INC",992397.53
"Office of the Secretary","ANNAMS SYSTEMS CORPORATION",989093.52
"Office of the Secretary","MANAGED CARE ADVISORS INC",893540.36
"Office of the Secretary","RIGIL CORPORATION",889102.97
"Office of the Secretary","TRIUMPH ENTERPRISES INCORPORATED",852351.98
"Office of the Secretary","TELESIS CORPORATION",786530.15
"Office of the Secretary","M ARTHUR GENSLER JR & ASSOCIATES INC",749535.68
"Office of the Secretary","INTELLIGENT DECISIONS INC",735452.7
"Office of the Secretary","QUALITY ELEVATOR COMPANY INCORPORATED",653019.8
"Office of the Secretary","WU CONSULTING LIMITED LIABILITY COMPANY",597400
"Office of the Solicitor","WEST PUBLISHING CORPORATION",877519.72
"Office of the Solicitor","BLUE TECH INC",632176.82
"Office of the Solicitor","DELOITTE FINANCIAL ADVISORY SERVICES LLP",425000
"Office of the Solicitor","LAW MANAGER INC",159771.4
"Office of the Solicitor","SHI INTERNATIONAL CORP",151390.46
"Office of the Solicitor","GRADILLAS COURT REPORTERS INC",134694.11
"Office of the Solicitor","MARTEKD2DINC JV",111461.24
"Office of the Solicitor","CARAHSOFT TECHNOLOGY CORP",111073.74
"Office of the Solicitor","RELX INC",110666
"Office of the Solicitor","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",63014.03
"Office of the Special Trustee for American Indians","TUKNIK GOVERNMENT SERVICES LLC",998129.76
"Office of the Special Trustee for American Indians","BAE SYSTEMS INFORMATION SOLUTIONS INC",822471
"Office of the Special Trustee for American Indians","KPMG LLP",684507.88
"Office of the Special Trustee for American Indians","UPPER MOHAWK INC",530444.22
"Office of the Special Trustee for American Indians","MORGAN ANGEL AND ASSOCIATES",490432.02
"Office of the Special Trustee for American Indians","GB-SYS INC",425549.58
"Office of the Special Trustee for American Indians","CHEROKEE NATION TECHNOLOGIES LLC",394357.93
"Office of the Special Trustee for American Indians","SHI INTERNATIONAL CORP",346950.64
"Office of the Special Trustee for American Indians","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",294423.4
"Office of the Special Trustee for American Indians","BLOOMBERG FINANCE LP",222375.03
"Office of the Under Secretary for Management","CORDOVA SUPPORT SERVICES LIMITED",923211.21
"Office of the Under Secretary for Management","BOOZ ALLEN HAMILTON INCORPORATED 3626",861301.33
"Office of the Under Secretary for Management","COMPUSEARCH SOFTWARE SYSTEMS INC",822382.99
"Office of the Under Secretary for Management","EC AMERICA INC",774283.6
"Office of the Under Secretary for Management","MANAGEMENT CONCEPTS INCORPORATED",765436
"Office of the Under Secretary for Management","TESTPROS INC",748402.68
"Office of the Under Secretary for Management","ALL ABOUT TOWN INC",582358.5
"Office of the Under Secretary for Management","JOHN J YIM & ASSOCIATES LLC",574276
"Office of the Under Secretary for Management","JDG ASSOCIATES INC",527688.51
"Office of the Under Secretary for Management","GLOBAL TECH INC",505155.17
"Office of the Under Secretary for Science and Technology","METRON INCORPORATED",968082.18
"Office of the Under Secretary for Science and Technology","COLORADO STATE UNIVERSITY",967900.93
"Office of the Under Secretary for Science and Technology","SNA INTERNATIONAL LLC",947588.02
"Office of the Under Secretary for Science and Technology","MORPHO DETECTION LLC",930666.19
"Office of the Under Secretary for Science and Technology","RESEARCH TRIANGLE INSTITUTE",916917.35
"Office of the Under Secretary for Science and Technology","OASYS INTERNATIONAL CORPORATION",916555.78
"Office of the Under Secretary for Science and Technology","UNIVERSITY OF ILLINOIS",895791
"Office of the Under Secretary for Science and Technology","DELL FEDERAL SYSTEMS LP",887773.05
"Office of the Under Secretary for Science and Technology","DIGITAL CLOAK LLC",883493.6
"Office of the Under Secretary for Science and Technology","MAXXUM CONSTRUCTION CORP",862000
"Offices, Boards and Divisions","GARTNER INC",986264
"Offices, Boards and Divisions","PARAGON SYSTEMS INC",984244.9
"Offices, Boards and Divisions","XEROX CORPORATION",970962.23
"Offices, Boards and Divisions","MAZARS LLP",950000
"Offices, Boards and Divisions","R H G GROUP INCORPORATED",948006.66
"Offices, Boards and Divisions","ANALYSIS GROUPINC",924356.68
"Offices, Boards and Divisions","WITS SOLUTIONS INC",914101.28
"Offices, Boards and Divisions","COMPLEX SETTLEMENTS P C",914026
"Offices, Boards and Divisions","BAHFED CORP",908820.77
"Offices, Boards and Divisions","FRONTEO GOVERNMENT SERVICES INC",881037.28
"Overseas Private Investment Corporation","CREOAL CONSULTING LLC",987353.91
"Overseas Private Investment Corporation","RER SOLUTIONS INC",882400
"Overseas Private Investment Corporation","PRAGMATICS INC",866666.66
"Overseas Private Investment Corporation","DELTA RESEARCH ASSOCIATES INC",704209
"Overseas Private Investment Corporation","ORRICK HERRINGTON & SUTCLIFFE LLP",700000
"Overseas Private Investment Corporation","TORREYCOVE CAPITAL PARTNERS LLC",645000
"Overseas Private Investment Corporation","NEAR NORTHEAST LLC",637918.75
"Overseas Private Investment Corporation","SUMMIT CONSULTING LLC",607819
"Overseas Private Investment Corporation","US BANK NATIONAL ASSOCIATION",600000
"Overseas Private Investment Corporation","CARAHSOFT TECHNOLOGY CORPORATION",594637.05
"Peace Corps","MISCELLANEOUS FOREIGN AWARDEES",966640.61
"Peace Corps","DYNAMIC SYSTEMS INC",966440
"Peace Corps","TRUETANDEM LLC",800906.8
"Peace Corps","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",758543.7
"Peace Corps","DIDLAKE INC",724388.04
"Peace Corps","SYSTEGRA INC",701667.6
"Peace Corps","CW GOVERNMENT TRAVEL INCORPORATED",652548
"Peace Corps","UNIQUE COMP INC",623299.97
"Peace Corps","OBXTEK INC",538785.6
"Peace Corps","KEARNEY & COMPANY PC",494689.57
"Pension Benefit Guaranty Corporation","PAC SOLUTIONS",996664.25
"Pension Benefit Guaranty Corporation","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",928432.55
"Pension Benefit Guaranty Corporation","PL SYSTEMS LLC",926334.51
"Pension Benefit Guaranty Corporation","T WHITE PARKER ASSOCIATES INCORPORATED",913810.25
"Pension Benefit Guaranty Corporation","MERCER INVESTMENT CONSULTING INC",850000
"Pension Benefit Guaranty Corporation","CSRA LLC",824827.64
"Pension Benefit Guaranty Corporation","WILLIAMS ADLEY & COMPANY - DC LLP",793020
"Pension Benefit Guaranty Corporation","OMNIFICS INC",777537.75
"Pension Benefit Guaranty Corporation","PAT TAYLOR & ASSOC INC",694627.73
"Pension Benefit Guaranty Corporation","CREATIVE BUSINESS SOLUTIONS INC",671302.39
"Pipeline and Hazardous Materials Safety Administration","22ND CENTURY TECHNOLOGIES INC",958088.3
"Pipeline and Hazardous Materials Safety Administration","NATIONAL ACADEMY OF SCIENCES",780000
"Pipeline and Hazardous Materials Safety Administration","UNIVERSAL CONSULTING SERVICES",683695
"Pipeline and Hazardous Materials Safety Administration","EDC CONSULTING LIMITED LIABILITY COMPANY",599922.44
"Pipeline and Hazardous Materials Safety Administration","DUN & BRADSTREET INC",506686.36
"Pipeline and Hazardous Materials Safety Administration","MICHAEL BAKER JR INC",497664.01
"Pipeline and Hazardous Materials Safety Administration","PRESIDENT AND FELLOWS OF HARVARD COLLEGE",456731.55
"Pipeline and Hazardous Materials Safety Administration","SOUTHWEST RESEARCH INSTITUTE",449685
"Pipeline and Hazardous Materials Safety Administration","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",439875
"Pipeline and Hazardous Materials Safety Administration","STRATEGIC CONSULTING ALLIANCES LLC",398169
"President's Committee on Employment of the Handicapped","MATHEMATICA POLICY RESEARCH INC",480646
"President's Committee on Employment of the Handicapped","COFFEY CONSULTING LLC",90000
"President's Committee on Employment of the Handicapped","NATIONAL ACADEMY OF SOCIAL INSURANCE",66735.28
"President's Committee on Employment of the Handicapped","PROXY PERSONNEL LLC",55638.18
"President's Committee on Employment of the Handicapped","FEDRESULTS INC",8350.68
"President's Committee on Employment of the Handicapped","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",8347.73
"President's Committee on Employment of the Handicapped","CONFERENCE BOARD INC THE",7000
"President's Committee on Employment of the Handicapped","FAX PLUS INCORPORATED",6637.92
"President's Committee on Employment of the Handicapped","SOCIETY FOR HUMAN RESOURCE MANAGEMENT",5300
"President's Committee on Employment of the Handicapped","CAPITOL PROS INC",5155.6
"Pretrial Services Agency","SIEMENS HEALTHCARE DIAGNOSTICS INC",829043.11
"Pretrial Services Agency","PHOENIX HOUSES OF THE MID-ATLANTIC INC",559544.06
"Pretrial Services Agency","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",444846.5
"Pretrial Services Agency","COMPREHENSIVE TREATMENT SERVICES INC",413000
"Pretrial Services Agency","SHI INTERNATIONAL CORP",300485.29
"Pretrial Services Agency","DIDLAKE INC",293442.25
"Pretrial Services Agency","IMMUNALYSIS CORP",272260
"Pretrial Services Agency","R A P INC",270800
"Pretrial Services Agency","MAXARTH LLC",254858.4
"Pretrial Services Agency","GOVERNMENT ACQUISITIONS INC",211173.44
"Privacy and Civil Liberties Oversight Board","AMERICAN WORDATA INC",52396.17
"Privacy and Civil Liberties Oversight Board","RED RIVER COMPUTER CO INC",50287.69
"Privacy and Civil Liberties Oversight Board","IMMIXTECHNOLOGY INC",24904.88
"Privacy and Civil Liberties Oversight Board","FAX PLUS INCORPORATED",23246.73
"Privacy and Civil Liberties Oversight Board","SWORD & SHIELD ENTERPRISE SECURITY INC",22887.45
"Privacy and Civil Liberties Oversight Board","INTEGRATION TECHNOLOGIES GROUP INC",2902.96
"Public Buildings Service","GOODWILL INDUSTRIES OF KENTUCKY INC",994059.95
"Public Buildings Service","MTFA ARCHITECTURE INC",992822.46
"Public Buildings Service","S&B INDUSTRIES GREENBRIDGE CONSTRUCTION JOINT VENTURE LLC",989786.25
"Public Buildings Service","JAMES R WALLS CONTRACTING COMPANY",988291.81
"Public Buildings Service","WESTERLY ENTERPRISES LLC",987667.44
"Public Buildings Service","CMW & ASSOCIATES",974319.72
"Public Buildings Service","SOLAR TURBINES INCORPORATED",973273
"Public Buildings Service","QUALITY SERVICES INTERNATIONAL LLC",965349.62
"Public Buildings Service","NVT TECHNOLOGIES INC",961982.16
"Public Buildings Service","INTERACTIVE DESIGN INC",961914.52
"Railroad Retirement Board","GUROO LLC",977759.97
"Railroad Retirement Board","CMC & MAINTENANCE INC",973359.63
"Railroad Retirement Board","DELL FEDERAL SYSTEMS LP",878546.21
"Railroad Retirement Board","AT&T CORP",758228.45
"Railroad Retirement Board","STERLING COMPUTERS CORPORATION",711340.07
"Railroad Retirement Board","WILSON 5 SERVICE COMPANY INC",707075.92
"Railroad Retirement Board","PARAGON SYSTEMS INC",633000.68
"Railroad Retirement Board","INTERNATIONAL BUSINESS MACHINE",532425.18
"Railroad Retirement Board","KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED",411173.29
"Railroad Retirement Board","FOUR LLC",327458.41
"Risk Management Agency","EAGLE HILL CONSULTING LLC",667006.4
"Risk Management Agency","DELL MARKETING LP",664041.61
"Risk Management Agency","ECCO SELECT CORPORATION",472453.55
"Risk Management Agency","CLIFTONLARSONALLEN LLP",184517.77
"Risk Management Agency","WITT TIMOTHY BLAINE",99164.49
"Risk Management Agency","RIVIDIUM INC",91320
"Risk Management Agency","SECURICON LIMITED LIABILITY COMPANY",79952.49
"Risk Management Agency","REGENTS OF THE UNIVERSITY OF MINNESOTA",75000
"Risk Management Agency","OLIVER WYMAN ACTUARIAL CONSULTING INC",45100
"Risk Management Agency","ALAN KER CONSULTING",45000
"Rural Housing Service","NCALL RESEARCH INC",975268.33
"Rural Housing Service","SAVAN GROUP LLC",859822.51
"Rural Housing Service","EQUIFAX INFORMATION SERVICES LLC",732900
"Rural Housing Service","DIAMOND IOTINA HARTMAN LLC",700000
"Rural Housing Service","CORELOGIC SOLUTIONS LLC",632000
"Rural Housing Service","STERN & EISENBERG MID-ALTANTIC PC",600000
"Rural Housing Service","ADINO INC",534889.02
"Rural Housing Service","PITNEY BOWES INC",477408.88
"Rural Housing Service","XEROX CORPORATION",419689.39
"Rural Housing Service","MERSMISSOURI GOODWILL INDUSTRIES",398780.44
"Saint Lawrence Seaway Development Corporation","TECHCRANE INTERNATIONAL LLC",520000
"Saint Lawrence Seaway Development Corporation","SHOTCRETE MONTANA LLC",349421.42
"Saint Lawrence Seaway Development Corporation","PATTERSON-STEVENS INC",272500
"Saint Lawrence Seaway Development Corporation","NKB & RAM-TECH JV",236300
"Saint Lawrence Seaway Development Corporation","BERGMANN ASSOCIATES INC",200000
"Saint Lawrence Seaway Development Corporation","CAVOTEC CANADA INC",154066.09
"Saint Lawrence Seaway Development Corporation","QUALITY CONTROL SERVICES LLC",119761.03
"Saint Lawrence Seaway Development Corporation","CAPITAL TECHNICAL RESCUE AND SAFETY CONSULTANTS LLC",109144.5
"Saint Lawrence Seaway Development Corporation","FORD MOTOR COMPANY",90650
"Saint Lawrence Seaway Development Corporation","HANES SUPPLY INC",70494.84
"Securities and Exchange Commission","MISCELLANEOUS FOREIGN AWARDEES",990227.84
"Securities and Exchange Commission","SAVVEE CONSULTING INC",989256.46
"Securities and Exchange Commission","INFINITY TECHNOLOGY LLC",959152.49
"Securities and Exchange Commission","BERKELEY RESEARCH GROUP LLC",919709.51
"Securities and Exchange Commission","MORNINGSTAR INC",905728
"Securities and Exchange Commission","RED RIVER COMPUTER CO INC",892969
"Securities and Exchange Commission","WINSTON-SALEM INDUSTRIES FOR THE BLIND INC",873766.26
"Securities and Exchange Commission","FEDERAL PRISON INDUSTRIES INC",787496.81
"Securities and Exchange Commission","FWG SOLUTIONS INC",780831.36
"Securities and Exchange Commission","BLUE TECH INC",779718.75
"Selective Service System","MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION",425000
"Selective Service System","FIFTH ESTATE COMMUNICATIONS LLC",291704.42
"Selective Service System","CHEROKEE NATION STRATEGIC PROGRAMS LLC",203770
"Selective Service System","AFFORDABLE INTERIOR SYSTEMS INC",161485
"Selective Service System","POGO INC",86237
"Selective Service System","ANNAMS SYSTEMS CORPORATION",66385.95
"Selective Service System","MCKENZIE CHRISTOPHER ASSOCIATES INC",42895
"Selective Service System","DELL FEDERAL SYSTEMS LP",42832
"Selective Service System","FEDERAL PRISON INDUSTRIES INC",33000
"Selective Service System","IMMIXTECHNOLOGY INC",31588.25
"Small Business Administration","ENTERPRISE FURNITURE CONSULTANTS INC",788698.5
"Small Business Administration","WEB TRAITS INC",785582.94
"Small Business Administration","NATIVE SYSTEM INC",762243.69
"Small Business Administration","STERLING COMPUTERS CORPORATION",733227.16
"Small Business Administration","VEE MODEL MANAGEMENT CONSULTING INC",702278.42
"Small Business Administration","GADDIS CONSULTING GROUP LLC",657065.09
"Small Business Administration","COUNTER THREAT SOLUTIONS LLC",644794.65
"Small Business Administration","GLOBAL EVALUATION & APPLIED RESEARCH SOLUTIONS GEARS INC",630000
"Small Business Administration","INFORMATION ANALYSIS INCORPORA",610354.91
"Small Business Administration","ALVAREZ LLC",606833.66
"Smithsonian Institution","MCDONOUGH BOLYARD PECK INC",981955.88
"Smithsonian Institution","SIEMENS INDUSTRY INC",939197.77
"Smithsonian Institution","GWWO INC",932133.53
"Smithsonian Institution","PRESIDENT AND FELLOWS OF HARVARD COLLEGE",894405
"Smithsonian Institution","BUILDING MAINTENANCE SERVICE LLC",840364.78
"Smithsonian Institution","HUANG-GAGHAN JOINT VENTURE",827164.55
"Smithsonian Institution","CONSTRUCTORA ROGERS SA CONROSA",773313.84
"Smithsonian Institution","TECHNOLOGY TRENDS GROUP INC",770290.56
"Smithsonian Institution","ATTAIN LLC",756563.01
"Smithsonian Institution","INGENIERIA LARA SA",748789.8
"Social Security Administration","GRAYBAR ELECTRIC COMPANY INC",999196.32
"Social Security Administration","NOBLIS INC",993786.08
"Social Security Administration","SHI INTERNATIONAL CORP",993291.83
"Social Security Administration","RUGGCO INC",987813.09
"Social Security Administration","FINANCIAL & REALTY SERVICES LLC",968886.8
"Social Security Administration","JE HURLEY INC",947112
"Social Security Administration","APOLLO CONSTRUCTION COMPANY INC",934342
"Social Security Administration","SOLUTIONS BY DESIGN II LLC",928959.5
"Social Security Administration","TRANSCANADA POWER MARKETING LTD",913000
"Social Security Administration","HEALTH PENNSYLVANIA DEPARTMENT OF",912456.72
"Special Inspector General for the Troubled Asset Relief Program (TARP)","FCN INC",313644.08
"Special Inspector General for the Troubled Asset Relief Program (TARP)","COHNREZNICK LLP",150665.43
"Special Inspector General for the Troubled Asset Relief Program (TARP)","ADVANCED COMPUTER CONCEPTS INC",138819.6
"Special Inspector General for the Troubled Asset Relief Program (TARP)","COLONIAL PARKING INC",103850.54
"Special Inspector General for the Troubled Asset Relief Program (TARP)","LIFE SAFETY GROUP LLC",102540
"Special Inspector General for the Troubled Asset Relief Program (TARP)","K TEYA MOORE & ASSOCIATES PA",87020
"Special Inspector General for the Troubled Asset Relief Program (TARP)","GOLDBELT WOLF LLC",75614.75
"Special Inspector General for the Troubled Asset Relief Program (TARP)","COMPREHENSIVE HEALTH SERVICES INC",60000
"Special Inspector General for the Troubled Asset Relief Program (TARP)","FEDBIZ IT SOLUTIONS LLC",49361.3
"Special Inspector General for the Troubled Asset Relief Program (TARP)","CORELOGIC SOLUTIONS LLC",38347
"Substance Abuse and Mental Health Services Administration","LEED MANAGEMENT CONSULTING INC",998014
"Substance Abuse and Mental Health Services Administration","SYNECTICS FOR MANAGEMENT DECISIONS INCORPORATED",987017
"Substance Abuse and Mental Health Services Administration","INNOVATIVE NONPROFIT SOLUTIONS GROUP LLC THE",939487
"Substance Abuse and Mental Health Services Administration","SOCIAL SOLUTIONS INTERNATIONAL INC",921216
"Substance Abuse and Mental Health Services Administration","AQUILENT INC",897859
"Substance Abuse and Mental Health Services Administration","HISPANIC ASSOCIATION OF COLLEGES AND UNIVERSITIES",748706.76
"Substance Abuse and Mental Health Services Administration","ALTARUM INSTITUTE",676876
"Substance Abuse and Mental Health Services Administration","TFC CONSULTING INC",390444
"Substance Abuse and Mental Health Services Administration","CLARKE LEIPER PLLC",130538
"Substance Abuse and Mental Health Services Administration","XA SYSTEMS LLC",118974.4
"Surface Transportation Board","PATHFINDER CONSULTANTS LLC",476288.12
"Surface Transportation Board","BATTELLE MEMORIAL INSTITUTE",343498
"Surface Transportation Board","ROBINS & MORTON GROUP THE",237644.76
