"Agency","Subagency","Title","federal_account_id","q","fy","reporting_period_end","Obligation","Unobligated"
"Department of Homeland Security","United States Coast Guard","General Gift Fund, USCG, Homeland Security",5315,"2","2017","2017-03-31",914722.34,2289196.23
"Department of Homeland Security","United States Coast Guard","Medicare-Eligible Retiree Health Fund Contribution, United States Coast Guard, Homeland Security",5232,"2","2017","2017-03-31",175506151,0
"Department of Homeland Security","United States Coast Guard","Oil Spill Liability Trust Fund-Treasury Managed, Homeland Security",5307,"2","2017","2017-03-31",56150.02,0
"Department of Homeland Security","United States Coast Guard","Oil Spill Recovery, USCG, Homeland Security",5311,"2","2017","2017-03-31",7301976.79,218492806.02
"Department of Homeland Security","United States Coast Guard","Operating Expenses, Coast Guard, Homeland Security",5226,"2","2017","2017-03-31",3334290689.59,1274776822.51
"Department of Homeland Security","United States Coast Guard","Payment of Claims (Oil Spill Liability Trust Fund), Homeland Security",5309,"2","2017","2017-03-31",3087740.1,0
"Department of Homeland Security","United States Coast Guard","Research, Development, Test, and Evaluation, Coast Guard, Homeland Security",5231,"2","2017","2017-03-31",8483191.79,19976480.43
"Department of Homeland Security","United States Coast Guard","Reserve Training, Coast Guard, Homeland Security",5228,"2","2017","2017-03-31",49544367,19570535.77
"Department of Homeland Security","United States Coast Guard","Retired Pay, Coast Guard, Homeland Security",5225,"2","2017","2017-03-31",826080203.36,182749705.23
"Department of Homeland Security","United States Coast Guard","Sport Fish Restoration and Boating Trust Fund, Homeland Security",5305,"2","2017","2017-03-31",0,0
"Department of Homeland Security","United States Coast Guard","Supply Fund, USCG, Homeland Security",5263,"2","2017","2017-03-31",22312636.28,161473593.91
"Department of Homeland Security","United States Coast Guard","Yard Fund, USCG, Homeland Security",5266,"2","2017","2017-03-31",60068152.76,161871739.92
"Department of Homeland Security","United States Customs Service","Harbor Maintenance Fee Collection, USCS, Homeland Security",5319,"2","2017","2017-03-31",0,3274000
"Department of Homeland Security","United States Customs Service","Refunds and Drawbacks, United States Customs Service (Indefinite), Treasury",5192,"2","2017","2017-03-31",831728847.16,642271152.84
"Department of Homeland Security","United States Customs Service","Trust Fund Share of Expenses, USCG, Homeland Security",5310,"2","2017","2017-03-31",NA,NA
"Department of Homeland Security","United States Secret Service","Contribution for Annuity Benefits, United States Secret Service, Homeland Security",5180,"2","2017","2017-03-31",103925704.88,161074295.12
"Department of Homeland Security","United States Secret Service","Operations and Support, United States Secret Service, Homeland Security",5176,"2","2017","2017-03-31",837747779.06,403862704.24
"Department of Homeland Security","United States Secret Service","Procurement, Construction, and Improvements, United States Secret Service, Homeland Security",5177,"2","2017","2017-03-31",18777251.88,35659019.01
"Department of Homeland Security","United States Secret Service","Research and Development, United States Secret Service, Homeland Securty",5253,"2","2017","2017-03-31",0,143430
"Department of Housing and Urban Development","Community Planning and Development","Brownfields Redevelopment, Community Planning and Development, Housing and Urban Development",5703,"2","2017","2017-03-31",0,114717.5
"Department of Housing and Urban Development","Community Planning and Development","Community Development Fund, Community Planning and Development, Housing and Urban Development",5667,"2","2017","2017-03-31",5900635284.42,3932550331.91
"Department of Housing and Urban Development","Community Planning and Development","Community Development Loan Guarantees Program Account, Community Planning and Development, Housing and Urban Development",5681,"2","2017","2017-03-31",0,2476253.2
"Department of Housing and Urban Development","Community Planning and Development","Empowerment Zones/Enterprise Communities, Community Planning and Development, Housing and Urban Development",5704,"2","2017","2017-03-31",0,118000
"Department of Housing and Urban Development","Community Planning and Development","Home Investment Partnerships Program, Community and Planning Development, Housing and Urban Development",5684,"2","2017","2017-03-31",213760073.84,63913895.32
"Department of Housing and Urban Development","Community Planning and Development","Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development",5677,"2","2017","2017-03-31",2127250330.98,1024104721.73
"Department of Housing and Urban Development","Community Planning and Development","Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development",5700,"2","2017","2017-03-31",77420433,22395290.81
"Department of Housing and Urban Development","Community Planning and Development","Housing Trust Fund, Community Planning and Development, Housing and Urban Development",5757,"2","2017","2017-03-31",111732448,280626303.29
"Department of Housing and Urban Development","Community Planning and Development","Neighborhood Stabilization Program, Community Planning and Development, Housing and Urban Development",5724,"2","2017","2017-03-31",18032141,1940956.11
"Department of Housing and Urban Development","Community Planning and Development","Permanent Supportive Housing, Housing and Urban Development",5722,"2","2017","2017-03-31",0,0
"Department of Housing and Urban Development","Community Planning and Development","Revolving Fund, Liquidating Programs, Housing and Urban Development",5735,"2","2017","2017-03-31",145,220642.5
"Department of Housing and Urban Development","Community Planning and Development","Rural Housing and Economic Development, Public and Indian Housing, Housing and Urban Development",5708,"2","2017","2017-03-31",0,354.72
"Department of Housing and Urban Development","Community Planning and Development","Section 8-Community Development Guaranteed Loans, Liquidating Account, Housing and Urban Development",5743,"2","2017","2017-03-31",0,0.5
"Department of Housing and Urban Development","Community Planning and Development","Self-Help and Assisted Homeownership Opportunity Program, Community Planning and Development, Housing and Urban Development",5671,"2","2017","2017-03-31",49432079,7675463.9
"Department of Housing and Urban Development","Fair Housing and Equal Opportunity","Fair Housing Activities, Fair Housing and Equal Opportunity, Housing and Urban Development",5663,"2","2017","2017-03-31",68376.25,44918200.03
"Department of Housing and Urban Development","Government National Mortgage Association","Guarantees of Mortgage-Backed Securities Capital Reserve Account, Government National Mortgage Association, Housing and Urban Development",5694,"2","2017","2017-03-31",0,16337824570.52
"Department of Housing and Urban Development","Government National Mortgage Association","Guarantees of Mortgage-Backed Securities Fund, Government National Mortgage Association, Housing and Urban Development",5746,"2","2017","2017-03-31",149306.86,128150140.66
"Department of Housing and Urban Development","Government National Mortgage Association","Guarantees of Mortgage-Backed Securities Loan Guarantees, Program Account, Government National Mortgage Association, Housing and Urban Development, 1992",5674,"2","2017","2017-03-31",238136994.79,399449366.2
"Department of Housing and Urban Development","Housing Programs","College Housing Loans, Housing and Urban Development",5739,"2","2017","2017-03-31",0,12336221.08
"Department of Housing and Urban Development","Housing Programs","Emergency Homeowner's Relief Fund, Housing Programs, Housing and Urban Development",5733,"2","2017","2017-03-31",0,328245781.13
"Department of Housing and Urban Development","Housing Programs","Energy Innovation Fund, Housing Programs, Housing and Urban Development",5731,"2","2017","2017-03-31",0,18883838.22
"Department of Housing and Urban Development","Housing Programs","Federal Housing Administration Fund, Housing and Urban Development",5740,"2","2017","2017-03-31",7567439.96,21007013.42
"Department of Housing and Urban Development","Housing Programs","FHA-General and Special Risk Insurance Fund Liquidating Account, Housing and Urban Development",5742,"2","2017","2017-03-31",36352755.05,188998530.88
"Department of Housing and Urban Development","Housing Programs","FHA, Mutual Mortgage Insurance Capital Reserve Account, Housing and Urban Development",5692,"2","2017","2017-03-31",0,46869593171.72
"Department of Housing and Urban Development","Housing Programs","Flexible Subsidy Fund, Housing Programs, Housing and Urban Development",5738,"2","2017","2017-03-31",0,447050695.87
"Department of Housing and Urban Development","Housing Programs","General and Special Risk Program Account, Federal Housing Administration, Housing and Urban Development",5682,"2","2017","2017-03-31",0,805120.71
"Department of Housing and Urban Development","Housing Programs","Home Ownership Preservation Entity Fund Program Account, Housing and Urban Development",5723,"2","2017","2017-03-31",0,7319666.33
"Department of Housing and Urban Development","Housing Programs","Homeownership and Opportunity for People Everywhere Grants (HOPE Grants), Housing Programs, Housing and Urban Development",5679,"2","2017","2017-03-31",0,1070.91
"Department of Housing and Urban Development","Housing Programs","Housing Counseling Assistance, Housing Programs, Housing and Urban Development",5665,"2","2017","2017-03-31",61020.68,32332162.52
"Department of Housing and Urban Development","Housing Programs","Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development",5693,"2","2017","2017-03-31",61165086.18,108947832.01
"Department of Housing and Urban Development","Housing Programs","Housing for the Elderly or Handicapped Fund, Housing and Urban Development",5745,"2","2017","2017-03-31",1113606.75,9619039.2
"Department of Housing and Urban Development","Housing Programs","Housing for the Elderly, Housing Programs, Housing and Urban Development",5707,"2","2017","2017-03-31",210410311.68,253329294.18
"Department of Housing and Urban Development","Housing Programs","Manufactured Housing Fees Trust Fund, Housing Programs, Housing and Urban Development",5756,"2","2017","2017-03-31",947403.26,8022678.35
"Department of Housing and Urban Development","Housing Programs","Mutual Mortgage Insurance Program Account, Federal Housing Administration, Housing and Urban Development",5673,"2","2017","2017-03-31",24166502.87,142189774
"Department of Housing and Urban Development","Housing Programs","Nehemiah Housing Opportunity Fund, Housing and Urban Development",5741,"2","2017","2017-03-31",0,235500
"Department of Housing and Urban Development","Housing Programs","Project-Based Rental Assistance, Housing Programs, Housing and Urban Development",5696,"2","2017","2017-03-31",5486084835.03,1058164160.62
"Department of Housing and Urban Development","Housing Programs","Rent Supplement, Housing Programs, Housing and Urban Development",5661,"2","2017","2017-03-31",4280149,10375731.38
"Department of Housing and Urban Development","Housing Programs","Rental Housing Assistance Fund, Federal Housing Administration, Housing and Urban Development",5736,"2","2017","2017-03-31",0,9350250.23
"Department of Housing and Urban Development","Housing Programs","Rental Housing Assistance, Housing Programs, Housing and Urban Development",5664,"2","2017","2017-03-31",14813972.26,25740657.64
"Department of Housing and Urban Development","Management and Administration","Administrative Support Offices, Management and Administration, Housing and Urban Development",5715,"2","2017","2017-03-31",261623981.13,111058935.5
"Department of Housing and Urban Development","Management and Administration","Community Planning and Development, Program Office Salaries and Expenses, Housing and Urban Development",5718,"2","2017","2017-03-31",56081233.08,17906278.52
"Department of Housing and Urban Development","Management and Administration","Executive Offices, Management and Administration, Housing and Urban Development",5712,"2","2017","2017-03-31",6481748.05,3579072.7
"Department of Housing and Urban Development","Management and Administration","Fair Housing and Equal Opportunity, Program Office Salaries and Expenses, Housing and Urban Development",5720,"2","2017","2017-03-31",35544321.03,11823553.52
"Department of Housing and Urban Development","Management and Administration","Gifts and Bequests, Housing and Urban Development",5755,"2","2017","2017-03-31",0,0.14
"Department of Housing and Urban Development","Management and Administration","Housing, Program Office Salaries and Expenses, Housing and Urban Development",5714,"2","2017","2017-03-31",189890504.02,52999330.7
"Department of Housing and Urban Development","Management and Administration","Information Technology Fund, Management and Administration, Housing and Urban Development",5748,"2","2017","2017-03-31",33341019.22,210730167.44
"Department of Housing and Urban Development","Management and Administration","Office of Healthy Homes and Lead Hazard Control, Program Office Salaries and Expenses, Housing and Urban Development",5721,"2","2017","2017-03-31",3706024.89,1019105.64
"Department of Housing and Urban Development","Management and Administration","Office of Inspector General-Recovery Act, Management and Administration, Housing and Urban Development",5676,"2","2017","2017-03-31",0,2272.04
"Department of Housing and Urban Development","Management and Administration","Office of Inspector General, Management and Administration, Housing and Urban Development",5675,"2","2017","2017-03-31",67158583.49,16917674.42
"Department of Housing and Urban Development","Management and Administration","Policy Development and Research, Program Office Salaries and Expenses, Housing and Urban Development",5719,"2","2017","2017-03-31",11745552.49,4036681.38
"Department of Housing and Urban Development","Management and Administration","Public and Indian Housing, Program Office Salaries and Expenses, Housing and Urban Development",5717,"2","2017","2017-03-31",109809636.05,26074801.38
"Department of Housing and Urban Development","Management and Administration","Salaries and Expenses, Management and Administration, Housing and Urban Development",5662,"2","2017","2017-03-31",122751.85,5272910.26
"Department of Housing and Urban Development","Management and Administration","Transformation Initiative, Management and Administration, Housing and Urban Development",5732,"2","2017","2017-03-31",267201.97,13385969.27
"Department of Housing and Urban Development","Management and Administration","Working Capital Fund, Management and Administration, Housing and Urban Development",5749,"2","2017","2017-03-31",20797212.57,35964019.43
"Department of Housing and Urban Development","Office of Lead Hazard Control and Healthy Homes","Lead Hazard Reduction, Office of Lead Hazard Control and Healthy Homes, Housing and Urban Development",5670,"2","2017","2017-03-31",54765.07,30028391.63
"Department of Housing and Urban Development","Policy Development and Research","Research and Technology, Policy Development and Research, Housing and Urban Development",5660,"2","2017","2017-03-31",7440058.48,49613521.51
"Department of Housing and Urban Development","Public and Indian Housing Programs","Choice Neighborhoods Initiative, Public and Indian Housing Programs, Housing and Urban Development",5729,"2","2017","2017-03-31",0,132364733.16
"Department of Housing and Urban Development","Public and Indian Housing Programs","Drug Elimination Grants for Low-Income Housing, Housing Programs, Housing and Urban Development",5680,"2","2017","2017-03-31",0,0
"Department of Housing and Urban Development","Public and Indian Housing Programs","Family Self-Sufficiency, Public and Indian Housing, Housing and Urban Development",5730,"2","2017","2017-03-31",0,1208851.8
"Department of Housing and Urban Development","Public and Indian Housing Programs","Housing Certificate Fund, Public and Indian Housing, Housing and Urban Development",5706,"2","2017","2017-03-31",0,235218754.13
"Department of Housing and Urban Development","Public and Indian Housing Programs","Indian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",5688,"2","2017","2017-03-31",3756282.86,7563635.39
"Department of Housing and Urban Development","Public and Indian Housing Programs","Native American Housing Block Grants, Public and Indian Housing, Housing and Urban Development",5702,"2","2017","2017-03-31",43695836.44,347779447.66
"Department of Housing and Urban Development","Public and Indian Housing Programs","Native Hawaiian Housing Block Grant, Public and Indian Housing, Housing and Urban Development",5691,"2","2017","2017-03-31",369.66,188246.22
"Department of Housing and Urban Development","Public and Indian Housing Programs","Native Hawaiian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",5689,"2","2017","2017-03-31",0,5663972.95
"Department of Housing and Urban Development","Public and Indian Housing Programs","Public Housing Capital Fund, Public and Indian Housing, Housing and Urban Development",5697,"2","2017","2017-03-31",42281567.17,1129386692.37
"Department of Housing and Urban Development","Public and Indian Housing Programs","Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development",5668,"2","2017","2017-03-31",1695952980,1260296991.33
"Department of Housing and Urban Development","Public and Indian Housing Programs","Revitalization of Severely Distressed Public Housing, (HOPE VI), Public and Indian Housing, Housing and Urban Development",5685,"2","2017","2017-03-31",0,2253752.34
"Department of Housing and Urban Development","Public and Indian Housing Programs","Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",5695,"2","2017","2017-03-31",12551808673,724312679
"Department of Justice","Bureau of Alcohol, Tobacco, Firearms, and Explosives","Construction, Bureau of Alcohol, Tobacco, Firearms and Explosives, Justice",4036,"2","2017","2017-03-31",0,146.92
"Department of Justice","Bureau of Alcohol, Tobacco, Firearms, and Explosives","Salaries and Expenses, Bureau of Alcohol, Tobacco, Firearms and Explosives, Justice",4035,"2","2017","2017-03-31",643308099.17,437163552.54
"Department of Justice","Drug Enforcement Administration","Construction, Drug Enforcement Administration, Justice",4043,"2","2017","2017-03-31",0,10195.08
"Department of Justice","Drug Enforcement Administration","Diversion Control Fee Account, Justice",4053,"2","2017","2017-03-31",165663757.22,420312247.61
"Department of Justice","Drug Enforcement Administration","Salaries and Expenses, Drug Enforcement Administration, Justice",4042,"2","2017","2017-03-31",1226250804.34,944058342.32
"Department of Justice","Federal Bureau of Investigation","Construction, Federal Bureau of Investigation, Justice",4008,"2","2017","2017-03-31",106107208.6,414762167.12
"Department of Justice","Federal Bureau of Investigation","Salaries and Expenses, Federal Bureau of Investigation, Justice",4007,"2","2017","2017-03-31",4335270879.11,3976708172.68
"Department of Justice","Federal Prison System","Buildings and Facilities, Federal Prison System, Justice",4037,"2","2017","2017-03-31",20915393.8,779726576.76
"Department of Justice","Federal Prison System","Commissary Funds, Federal Prisons, Justice",4074,"2","2017","2017-03-31",172459715.51,46538950.51
"Department of Justice","Federal Prison System","Prison Industries Fund, Justice",4046,"2","2017","2017-03-31",245684081.83,205885631.57
"Department of Justice","Federal Prison System","Salaries and Expenses, Federal Prison System",4040,"2","2017","2017-03-31",3529684636.08,735084994.72
"Department of Justice","General Administration","Administrative Review and Appeals, General Administration, Justice",4020,"2","2017","2017-03-31",189421391.38,87082665
"Department of Justice","General Administration","Detention Trustee, General Administration, Justice",4004,"2","2017","2017-03-31",0,48583.42
"Department of Justice","General Administration","Justice Gift Fund, Justice",4072,"2","2017","2017-03-31",2500,2279.28
"Department of Justice","General Administration","Justice Information Sharing Technology, General Administration, Justice",4003,"2","2017","2017-03-31",24310312.39,36256556.11
"Department of Justice","General Administration","Office of Inspector General, Justice",4016,"2","2017","2017-03-31",54451508.46,31562789.84
"Department of Justice","General Administration","Salaries and Expenses, General Administration, Justice",3999,"2","2017","2017-03-31",66714242.92,41355522.7
"Department of Justice","General Administration","Tactical Law Enforcement Wireless Communications, General Administration, Justice",4001,"2","2017","2017-03-31",0,2565586.86
"Department of Justice","General Administration","Working Capital Fund, Justice",4047,"2","2017","2017-03-31",788719031.13,1539202577.18
"Department of Justice","Interagency Law Enforcement","Interagency Crime and Drug Enforcement, Interagency Law Enforcement, Justice",4012,"2","2017","2017-03-31",317366808.47,28653655.58
"Department of Justice","Legal Activities and U.S. Marshals","Assets Forfeiture Fund, Justice",4050,"2","2017","2017-03-31",679283139.34,1741422859.71
"Department of Justice","Legal Activities and U.S. Marshals","Construction, United States Marshals Service, Justice",4002,"2","2017","2017-03-31",5911775.97,5263453.87
"Department of Justice","Legal Activities and U.S. Marshals","Federal Prisoner Detention, Justice",4039,"2","2017","2017-03-31",697063880.86,198189928.75
"Department of Justice","Legal Activities and U.S. Marshals","Fees and Expenses of Witnesses, Justice",4009,"2","2017","2017-03-31",125075845.68,277071440.12
"Department of Justice","Legal Activities and U.S. Marshals","Independent Counsel, Justice",4015,"2","2017","2017-03-31",0,7308350
"Department of Justice","Legal Activities and U.S. Marshals","Justice Prisoner and Alien Transportation System Fund, United States Marshals Service, Justice",4048,"2","2017","2017-03-31",37955669.42,37441649.16
"Department of Justice","Legal Activities and U.S. Marshals","Payment of Vietnam and U.S.S. Pueblo Prisoner of War Claims, Foreign Claims Settlement Commission, Justice",3996,"2","2017","2017-03-31",0,17970.99
"Department of Justice","Legal Activities and U.S. Marshals","Salaries and Expenses, Antitrust Division, Justice",4010,"2","2017","2017-03-31",97632841.04,7561653.45
"Department of Justice","Legal Activities and U.S. Marshals","Salaries and Expenses, Community Relations Service, Justice",4033,"2","2017","2017-03-31",5191487.75,5680527.04
"Department of Justice","Legal Activities and U.S. Marshals","Salaries and Expenses, Foreign Claims Settlement Commission, Justice",3995,"2","2017","2017-03-31",904268.28,1120142.55
"Department of Justice","Legal Activities and U.S. Marshals","Salaries and Expenses, General Legal Activities, Justice",3998,"2","2017","2017-03-31",671006570.17,830457882.13
"Department of Justice","Legal Activities and U.S. Marshals","Salaries and Expenses, United States Attorneys, Justice",4011,"2","2017","2017-03-31",1097561427.1,632246298.14
"Department of Justice","Legal Activities and U.S. Marshals","Salaries and Expenses, United States Marshals Service, Justice",4013,"2","2017","2017-03-31",642109129.75,198877408.8
"Department of Justice","Legal Activities and U.S. Marshals","September 11th Victim Compensation, General Legal Activities, Justice",4021,"2","2017","2017-03-31",695726.96,7230286.85
"Department of Justice","Legal Activities and U.S. Marshals","United States Trustee System Fund, Justice",4051,"2","2017","2017-03-31",109074831.29,34452021.28
"Department of Justice","Legal Activities and U.S. Marshals","United States Victims of State Sponsored Terrorism Fund, General Legal Activities, Justice",4056,"2","2017","2017-03-31",932000000,266493000
"Department of Justice","Legal Activities and U.S. Marshals","Victims Compensation Fund, General Legal Activities, Justice",4006,"2","2017","2017-03-31",472040032.98,4938417096.02
"Department of Justice","National Security Division","Salaries and Expenses, National Security Division, Justice",4045,"2","2017","2017-03-31",48307663.24,21703328.71
"Department of Justice","Office of Justice Programs","Community Oriented Policing Services, Office of Justice Programs, Justice",4027,"2","2017","2017-03-31",20493910.01,114777959.59
"Department of Justice","Office of Justice Programs","Crime Victims Fund, Justice",4049,"2","2017","2017-03-31",59106175.15,8090278648.98
"Department of Justice","Office of Justice Programs","Domestic Trafficking Victims' Fund, Office of Justice Programs, Justice",4055,"2","2017","2017-03-31",223069,5493773.5
"Department of Justice","Office of Justice Programs","Gifts, Crime Victims Fund, Office of Justice Programs, Justice",4073,"2","2017","2017-03-31",0,25770.8
"Department of Justice","Office of Justice Programs","Juvenile Justice Programs, Office of Justice Programs, Justice",4026,"2","2017","2017-03-31",12836453.48,158082744.18
"Department of Justice","Office of Justice Programs","Office of Justice Programs, Community Oriented Policing Services, Violent Crime Reduction Programs, Justice",4080,"2","2017","2017-03-31",0,243858.02
"Department of Justice","Office of Justice Programs","Public Safety Officers Benefits, Office of Justice Programs, Justice",4024,"2","2017","2017-03-31",44450381.14,49948089.54
"Department of Justice","Office of Justice Programs","Research, Evaluation, and Statistics, Office of Justice Programs, Justice",4022,"2","2017","2017-03-31",75891491.16,189848115.52
"Department of Justice","Office of Justice Programs","Salaries and Expenses, Office of Justice Programs, Justice",4031,"2","2017","2017-03-31",0,806585.22
"Department of Justice","Office of Justice Programs","State and Local Law Enforcement Assistance, Office of Justice Programs, Office of Justice Programs, Justice",4025,"2","2017","2017-03-31",59892371.62,855406058.27
"Department of Justice","Office of Justice Programs","Violence Against Women Prevention and Prosecution Programs, Office of Justice Programs, Justice",4028,"2","2017","2017-03-31",12861304.65,271757315.63
"Department of Justice","Office of Justice Programs","Weed and Seed Program Fund, Justice",4019,"2","2017","2017-03-31",0,574067.69
"Department of Justice","Radiation Exposure Compensation","Payment to the Radiation Exposure Compensation Trust Fund, Justice",4018,"2","2017","2017-03-31",65000000,0
"Department of Justice","Radiation Exposure Compensation","Radiation Exposure Compensation Trust Fund, Justice",4071,"2","2017","2017-03-31",29157095.74,60786080.24
"Department of Justice","United States Parole Commission","Salaries and Expenses, United States Parole Commission, Justice",4041,"2","2017","2017-03-31",6452883.56,3067039.27
"Department of Labor","Bureau of Labor Statistics","Salaries and Expenses, Bureau of Labor Statistics",4116,"2","2017","2017-03-31",598190266.16,178883316.52
"Department of Labor","Departmental Management","Gifts and Bequests, Departmental Management, Labor",4143,"2","2017","2017-03-31",0,276859.18
"Department of Labor","Departmental Management","IT Modernization, Departmental Management, Labor",4095,"2","2017","2017-03-31",7515783.58,27547753.54
"Department of Labor","Departmental Management","Office of the Inspector General, Departmental Management, Labor",4089,"2","2017","2017-03-31",79970676.64,23107649.04
"Department of Labor","Departmental Management","Salaries and Expenses, Departmental Management, Labor",4098,"2","2017","2017-03-31",386708815.42,170794905.3
"Department of Labor","Departmental Management","Salaries and Expenses, Office of Disability Employment Policy, Labor",4099,"2","2017","2017-03-31",14299976.44,31637620.24
"Department of Labor","Departmental Management","Veterans Employment and Training, Departmental Management, Labor",4097,"2","2017","2017-03-31",283388685.72,68820107.72
"Department of Labor","Departmental Management","Working Capital Fund, Labor",4129,"2","2017","2017-03-31",339973120.32,526756459.24
"Department of Labor","Employee Benefits Security Administration","Salaries and Expenses, Employee Benefits Security Administration, Labor",4124,"2","2017","2017-03-31",170335247.62,62786298.84
"Department of Labor","Employment and Training Administration","Advances to the Unemployment Trust Fund and Other Funds, Employment and Training Administration, Labor",4118,"2","2017","2017-03-31",0,0
"Department of Labor","Employment and Training Administration","Community Service Employment for Older Americans, Employment and Training Administration, Labor",4106,"2","2017","2017-03-31",340943778.46,16791882.94
"Department of Labor","Employment and Training Administration","Federal Additional Unemployment Compensation Program - Recovery Act, Employment and Training Administration, Labor",4125,"2","2017","2017-03-31",0,0
"Department of Labor","Employment and Training Administration","Federal Unemployment Benefits and Allowances, Employment and Training Administration, Labor",4117,"2","2017","2017-03-31",364512792.46,1720413298.94
"Department of Labor","Employment and Training Administration","Federal Unemployment Compensation Program, Employment and Training Administration, Labor",4126,"2","2017","2017-03-31",3506195.32,52857624.16
"Department of Labor","Employment and Training Administration","Interior, Bureau of Indian Affairs",4113,"2","2017","2017-03-31",2514155.78,45990231.24
"Department of Labor","Employment and Training Administration","Office of Job Corps - Recovery Act, Departmental Management, Labor",4111,"2","2017","2017-03-31",0,33581972.98
"Department of Labor","Employment and Training Administration","Office of Job Corps, Employment and Training Administration, Labor",4110,"2","2017","2017-03-31",899566888.24,1051194810.26
"Department of Labor","Employment and Training Administration","Payments to the Unemployment Trust Fund, Employment and Training Administration, Labor",4108,"2","2017","2017-03-31",13034000,0
"Department of Labor","Employment and Training Administration","Program Administration, Employment and Training Administration, Labor",4104,"2","2017","2017-03-31",144637549.64,45746302.3
"Department of Labor","Employment and Training Administration","Salaries and Expenses, H-1B Funded, State Unemployment Insurance and Employment Operations, Employment and Training Administration, Labor",4130,"2","2017","2017-03-31",15113597.12,58635650.12
"Department of Labor","Employment and Training Administration","Salaries and Expenses, H-1B Funded, Training and Employment Services, Employment and Training Administration, Labor",4131,"2","2017","2017-03-31",250877823.52,345546496.86
"Department of Labor","Employment and Training Administration","Short Time Compensation Programs, Employment and Training Administration, Labor",4101,"2","2017","2017-03-31",0,1710247.2
"Department of Labor","Employment and Training Administration","State Unemployment Insurance and Employment Service Operations, Employment and Training Administration, Labor",4109,"2","2017","2017-03-31",3349648762.14,349382551.14
"Department of Labor","Employment and Training Administration","TAA Community College and Career Training Grant Fund, Employee and Training Administration, Labor",4115,"2","2017","2017-03-31",0,5181782.06
"Department of Labor","Employment and Training Administration","Training and Employment Service, Employment and Training Administration, Labor",4105,"2","2017","2017-03-31",3538623655.56,684149726.44
"Department of Labor","Employment and Training Administration","Unemployment Trust Fund - Treasury Managed",4141,"2","2017","2017-03-31",37292273343.78,0
"Department of Labor","Mine Safety and Health Administration","Salaries and Expenses, Mine Safety and Health Administration",4120,"2","2017","2017-03-31",358026787.9,95621293.8
"Department of Labor","Occupational Safety and Health Administration","Salaries and Expenses, Occupational Safety and Health Administration",4119,"2","2017","2017-03-31",563064078.78,113392456.7
"Department of Labor","Office of Federal Contract Compliance Programs","Salaries and Expenses, Office of Federal Contract and Compliance Programs, Labor",4093,"2","2017","2017-03-31",84438236.76,42709899.98
"Department of Labor","Office of Labor Management Standards","Salaries and Expenses, Office of Labor Management and Standards, Labor",4094,"2","2017","2017-03-31",40720751.08,8029536.8
"Department of Labor","Office of Workers' Compensation Programs","Administrative Expenses, Energy Employees Occupational Illness Compensation Fund, Office of Workers' Compensation Programs, Labor",4123,"2","2017","2017-03-31",121542689.98,91571225.3
"Department of Labor","Office of Workers' Compensation Programs","Black Lung Disability Trust Fund - Treasury Managed",4145,"2","2017","2017-03-31",250612182.46,204126427.1
"Department of Labor","Office of Workers' Compensation Programs","Energy Employees Occupational Illness Compensation Fund, Labor",4122,"2","2017","2017-03-31",1257302545.38,181632802.54
"Department of Labor","Office of Workers' Compensation Programs","Panama Canal Commission Compensation Fund, Labor",4132,"2","2017","2017-03-31",8993934.06,65684474.98
"Department of Labor","Office of Workers' Compensation Programs","Relief and Rehabilitation, Longshoremen's and Harbor Workers' Compensation Act, as Amended, Labor",4142,"2","2017","2017-03-31",107208205.56,111199992.26
"Department of Labor","Office of Workers' Compensation Programs","Relief and Rehabilitation, Workmen's Compensation Act, within the District of Columbia, Labor",4144,"2","2017","2017-03-31",7528721.92,9339557.68
"Department of Labor","Office of Workers' Compensation Programs","Salaries and Expenses, Office  of Workers' Compensation Programs, Labor",4096,"2","2017","2017-03-31",150253671.56,30814297.82
"Department of Labor","Office of Workers' Compensation Programs","Special Benefits for Disabled Coal Miners, Office of Workers' Compensation Program, Labor",4102,"2","2017","2017-03-31",90708995.5,159509616.02
"Department of Labor","Office of Workers' Compensation Programs","Special Benefits, Office of Workers Compensation Program, Labor",4121,"2","2017","2017-03-31",3058938225.42,5577771197.92
"Department of Labor","Pension Benefit Guaranty Corporation","Pension Benefit Guaranty Corporation, Labor",4127,"2","2017","2017-03-31",6195386613.86,63646730477.74
"Department of Labor","Wage and Hour Division","H-1B and L Fraud Protection and Detection Account, Wage and Hour Division, Labor",4133,"2","2017","2017-03-31",50158995.12,81035672.42
"Department of Labor","Wage and Hour Division","Salaries and Expenses, Wage and Hour Division, Labor",4092,"2","2017","2017-03-31",226365503.76,57390014.3
"Department of Labor","Wage and Hour Division","Wage and Hour Division H-2B, Wage and Hour Division, Labor",4091,"2","2017","2017-03-31",0,424790.88
"Department of State","Administration of Foreign Affairs","Buying Power Maintenance Account, State",4227,"2","2017","2017-03-31",0,53891000
