"source","target","value","type"
"PHOTO/MAP/PRINT/PUBLICATION- OTHER","Department of the Air Force",24993.5,"contract"
"PHYSICAL MEDICINE & REHABILITATION","Department of the Army",19000,"contract"
"PHYSICAL PROPERTIES TESTING AND INSPECTION","Department of the Army",509597.75,"contract"
"PHYSICAL PROPERTIES TESTING AND INSPECTION","Department of State",137039,"contract"
"PHYSICAL SCIENCES (BASIC)","National Aeronautics and Space Administration",21899061.72,"contract"
"PHYSICAL SCIENCES (BASIC)","Centers for Disease Control and Prevention",5943954.19,"contract"
"PHYSICAL SCIENCES (BASIC)","Office of the Under Secretary for Science and Technology",2423188.42,"contract"
"PHYSICAL SCIENCES (BASIC)","Department of Veterans Affairs",466090.57,"contract"
"PHYSICAL SCIENCES (BASIC)","Environmental Protection Agency",36135,"contract"
"PHYSICAL SCIENCES (OPERATIONAL)","Department of the Army",199994,"contract"
"PHYSICAL SCIENCES (OPERATIONAL)","Centers for Disease Control and Prevention",47372,"contract"
"PROF SVCS/LAND SURVEYS - CADASTRAL","Department of the Army",20000,"contract"
"PROF SVCS/TECH SHARING-UTIL","Department of the Air Force",770313,"contract"
"PROF SVCS/TECH SHARING-UTIL","U.S. Geological Survey",18471.48,"contract"
"PROF SVCS/TECH SHARING-UTIL","National Aeronautics and Space Administration",17500,"contract"
"PROF SVCS/TECH SHARING-UTIL","Department of Veterans Affairs",8000,"contract"
"PROF SVCS/TECH SHARING-UTIL","Department of the Navy",2560,"contract"
"PROF SVCS/WEATHER RPT-OBSERV","National Oceanic and Atmospheric Administration",101383,"contract"
"PROF SVCS/WEATHER RPT-OBSERV","Department of the Air Force",27387,"contract"
"PROF SVCS/WEATHER RPT-OBSERV","Forest Service",19973,"contract"
"PROF SVCS/WEATHER RPT-OBSERV","National Park Service",12000,"contract"
"PROGRAMMING SERVICES","Department of the Army",633059.6,"contract"
"PROGRAMMING SERVICES","Department of the Navy",493548,"contract"
"PROGRAMMING SERVICES","National Aeronautics and Space Administration",119588,"contract"
"PROGRAMMING SERVICES","National Oceanic and Atmospheric Administration",42360,"contract"
"PROGRAMMING SERVICES","National Institutes of Health",42349,"contract"
"PSYCHOLOGICAL SCIENCES (BASIC)","Department of Veterans Affairs",6510,"contract"
"PURCHASE OF EXHIBIT DESIGN (NON-BUILDING)","Smithsonian Institution",75000,"contract"
"PURCHASE OF OTHER NON-BUILDING FACILITIES","U.S. Marshals Service",5600,"contract"
"QUALITY CONT SV/MISC EQ","Food and Drug Administration",1476961.32,"contract"
"QUALITY CONT SV/MISC EQ","Department of Veterans Affairs",218767.78,"contract"
"QUALITY CONT SV/MISC EQ","National Aeronautics and Space Administration",30000,"contract"
"QUALITY CONTROL- INSTRUMENTS AND LABORATORY EQUIPMENT","Department of the Army",195221,"contract"
"QUALITY CONTROL- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES","Department of Veterans Affairs",75264,"contract"
"QUALITY CONTROL- TRAINING AIDS AND DEVICES","National Park Service",24000,"contract"
"R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (BASIC RESEARCH)","Department of the Army",227500,"contract"
"R&D- AGRICULTURE: PRODUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Agricultural Research Service",8115,"contract"
"R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)","Smithsonian Institution",1211435,"contract"
"R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)","Centers for Disease Control and Prevention",1108870,"contract"
"R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)","Forest Service",61856.97,"contract"
"R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)","National Aeronautics and Space Administration",24027,"contract"
"R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)","Food and Drug Administration",18000,"contract"
"R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (BASIC RESEARCH)","Department of Veterans Affairs",140962.24,"contract"
"R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (ADVANCED DEVELOPMENT)","Forest Service",15000,"contract"
"R&D- DEFENSE OTHER: AMMUNITION (BASIC RESEARCH)","Department of the Army",609898.38,"contract"
"R&D- DEFENSE OTHER: AMMUNITION (BASIC RESEARCH)","Federal Railroad Administration",71103,"contract"
"R&D- DEFENSE OTHER: AMMUNITION (BASIC RESEARCH)","Defense Health Agency",41544.72,"contract"
"R&D- DEFENSE OTHER: CONSTRUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Defense Advanced Research Projects Agency",336000,"contract"
"R&D- DEFENSE OTHER: FUELS/LUBRICANTS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",45000,"contract"
"R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","Department of the Air Force",34669857,"contract"
"R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","Missile Defense Agency",7993939.86,"contract"
"R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","Department of the Navy",5335639.21,"contract"
"R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","Department of Defense",4950000,"contract"
"R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","Defense Threat Reduction Agency",4112688.34,"contract"
"R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Defense Advanced Research Projects Agency",134430267.78,"contract"
"R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",48807006.72,"contract"
"R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Defense Threat Reduction Agency",14022764.01,"contract"
"R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Defense",6396586.3,"contract"
"R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Air Force",5846634.64,"contract"
"R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","Department of the Navy",1137762,"contract"
"R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)","Department of the Air Force",1200000,"contract"
"R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)","U.S. Special Operations Command",639000,"contract"
"R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)","Federal Aviation Administration",608160.34,"contract"
"R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)","Department of the Navy",138000,"contract"
"R&D- DEFENSE SYSTEM: AIRCRAFT (ADVANCED DEVELOPMENT)","Department of the Air Force",16157031,"contract"
"R&D- DEFENSE SYSTEM: AIRCRAFT (ADVANCED DEVELOPMENT)","Department of Defense",2769150,"contract"
"R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Air Force",31448975,"contract"
"R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",4800000,"contract"
"R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",148000,"contract"
"R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Defense Advanced Research Projects Agency",1742.99,"contract"
"R&D- DEFENSE SYSTEM: AIRCRAFT (BASIC RESEARCH)","Department of the Air Force",7996406.89,"contract"
"R&D- DEFENSE SYSTEM: AIRCRAFT (BASIC RESEARCH)","Department of the Navy",3224359,"contract"
"R&D- DEFENSE SYSTEM: AIRCRAFT (COMMERCIALIZED)","Department of the Navy",1931300,"contract"
"R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Air Force",12952770.49,"contract"
"R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Defense",2238000,"contract"
"R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Defense Advanced Research Projects Agency",1023467,"contract"
"R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED)","Department of the Navy",475000,"contract"
"R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","Department of the Navy",12391353.2,"contract"
"R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","Department of the Air Force",4110947,"contract"
"R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","Defense Advanced Research Projects Agency",45576,"contract"
"R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","Department of the Air Force",6198920,"contract"
"R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ADVANCED DEVELOPMENT)","Department of the Air Force",2533000,"contract"
"R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ADVANCED DEVELOPMENT)","Department of the Army",2000,"contract"
"R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (BASIC RESEARCH)","Department of the Army",88317,"contract"
"R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)","Missile Defense Agency",80219089.24,"contract"
"R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)","Department of the Army",19500006.55,"contract"
"R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)","Department of the Air Force",6113970.24,"contract"
"R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Missile Defense Agency",86644073.68,"contract"
"R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Air Force",35042994.11,"contract"
"R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Defense",600000,"contract"
"R&D- DEFENSE SYSTEM: SHIPS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",378629.92,"contract"
"R&D- DEFENSE SYSTEM: WEAPONS (ADVANCED DEVELOPMENT)","Department of the Air Force",2239867,"contract"
"R&D- DEFENSE SYSTEM: WEAPONS (ADVANCED DEVELOPMENT)","Department of Defense",210000,"contract"
"R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Air Force",11050576.39,"contract"
"R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",4128412,"contract"
"R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",50000,"contract"
"R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (OPERATIONAL SYSTEMS DEVELOPMENT)","Department of the Navy",90000,"contract"
"R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ADVANCED DEVELOPMENT)","Department of the Navy",6196269,"contract"
"R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Office of the Under Secretary for Science and Technology",1862858,"contract"
"R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",100000,"contract"
"R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Federal Aviation Administration",52500,"contract"
"R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",50000,"contract"
"R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Veterans Affairs",15000,"contract"
"R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)","Office of the Under Secretary for Science and Technology",5370719.94,"contract"
"R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)","Transportation Security Administration",2694650.98,"contract"
"R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)","Office of Health Affairs",962403.77,"contract"
"R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)","U.S. Customs and Border Protection",700000,"contract"
"R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)","National Aeronautics and Space Administration",230175.75,"contract"
"R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT)","Department of Defense",8294442,"contract"
"R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT)","Department of the Army",5410511.06,"contract"
"R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT)","Department of the Navy",191371,"contract"
"R&D- ENERGY: NUCLEAR (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Nuclear Regulatory Commission",590914,"contract"
"R&D- ENERGY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",129748,"contract"
"R&D- ENVIRON PROTECTION: POLLUTION CONTROL/ABATEMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",1350782.4,"contract"
"R&D- ENVIRONMENTAL PROTECTION: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",176148,"contract"
"R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)","Department of the Army",32957696.53,"contract"
"R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (BASIC RESEARCH)","Department of the Army",169014,"contract"
"R&D- GENERAL SCI/TECH: MATHEMATICAL/COMPUTER SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Air Force",7841337,"contract"
"R&D- GENERAL SCI/TECH: MATHEMATICAL/COMPUTER SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Office of the Under Secretary for Science and Technology",440277.39,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",963540,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",361734.69,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Bureau of Reclamation",12500,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",3400000,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Energy",2441666.62,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",50000,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (MANAGEMENT/SUPPORT)","Federal Highway Administration",379560,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","National Institutes of Health",3863335.46,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Bureau of Ocean Energy Management",1784422,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Veterans Affairs",132993,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",109996,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",55000,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (MANAGEMENT/SUPPORT)","Department of Veterans Affairs",157699,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ADVANCED DEVELOPMENT)","Office of the Under Secretary for Science and Technology",999246,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ADVANCED DEVELOPMENT)","National Aeronautics and Space Administration",2000,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (COMMERCIALIZED)","National Aeronautics and Space Administration",10519,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ENGINEERING DEVELOPMENT)","National Aeronautics and Space Administration",887308.57,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ENGINEERING DEVELOPMENT)","Federal Emergency Management Agency",176492,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ENGINEERING DEVELOPMENT)","Department of the Navy",34999.98,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (MANAGEMENT/SUPPORT)","Agency for International Development",4379697.25,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ENGINEERING DEVELOPMENT)","Department of the Army",2273934.46,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (MANAGEMENT/SUPPORT)","Department of Veterans Affairs",61860,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (MANAGEMENT/SUPPORT)","Environmental Protection Agency",34999,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",426896,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Veterans Affairs",9996,"contract"
"R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Food and Drug Administration",933606,"contract"
"R&D- HOUSING: HOUSING (MANAGEMENT/SUPPORT)","Department of Veterans Affairs",417752.52,"contract"
"R&D- INCOME SECURITY: OTHER (MANAGEMENT/SUPPORT)","Veterans Employment and Training Services",70299,"contract"
"R&D- MEDICAL: AIDS RESEARCH (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","National Institutes of Health",3788293.04,"contract"
"R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","National Institutes of Health",229408324.04,"contract"
"R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Defense Threat Reduction Agency",4602263.19,"contract"
"R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Centers for Disease Control and Prevention",4202715.34,"contract"
"R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Veterans Affairs",1259428.45,"contract"
"R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",986461,"contract"
"R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)","National Institutes of Health",96122125.64,"contract"
"R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)","Centers for Disease Control and Prevention",5074932,"contract"
"R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)","Department of the Army",3800715.32,"contract"
"R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)","Department of Veterans Affairs",3205456.39,"contract"
"R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)","Defense Health Agency",733396,"contract"
"R&D- MEDICAL: BIOMEDICAL (ENGINEERING DEVELOPMENT)","Department of the Army",213996.19,"contract"
"R&D- MEDICAL: BIOMEDICAL (MANAGEMENT/SUPPORT)","Department of the Army",5940024.36,"contract"
"R&D- MEDICAL: BIOMEDICAL (MANAGEMENT/SUPPORT)","Indian Health Service",325000,"contract"
"R&D- MEDICAL: BIOMEDICAL (MANAGEMENT/SUPPORT)","Department of Veterans Affairs",81493.89,"contract"
"R&D- MEDICAL: BIOMEDICAL (MANAGEMENT/SUPPORT)","National Institutes of Health",33030.56,"contract"
"R&D- MEDICAL: BIOMEDICAL (OPERATIONAL SYSTEMS DEVELOPMENT)","Indian Health Service",24750,"contract"
"R&D- MEDICAL: DRUG DEPENDENCY (BASIC RESEARCH)","Department of Veterans Affairs",251286,"contract"
"R&D- MEDICAL: HEALTH SERVICES (COMMERCIALIZED)","Department of Veterans Affairs",134702.9,"contract"
"R&D- MEDICAL: HEALTH SERVICES (MANAGEMENT/SUPPORT)","Centers for Disease Control and Prevention",661665,"contract"
"R&D- MEDICAL: HEALTH SERVICES (MANAGEMENT/SUPPORT)","Department of Veterans Affairs",82511.2,"contract"
"R&D- MEDICAL: HEALTH SERVICES (MANAGEMENT/SUPPORT)","Federal Bureau of Investigation",10000,"contract"
"R&D- MEDICAL: MENTAL HEALTH (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Veterans Affairs",197177,"contract"
"R&D- MEDICAL: MENTAL HEALTH (OPERATIONAL SYSTEMS DEVELOPMENT)","Department of Veterans Affairs",21000,"contract"
"R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","Defense Health Agency",7657866,"contract"
"R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","Department of the Army",4951846,"contract"
"R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","Defense Threat Reduction Agency",1534183,"contract"
"R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","Department of Veterans Affairs",102110.89,"contract"
"R&D- MEDICAL: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Centers for Disease Control and Prevention",2459897,"contract"
"R&D- MEDICAL: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Defense Threat Reduction Agency",637917.48,"contract"
"R&D- MEDICAL: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Veterans Affairs",25903.96,"contract"
"R&D- MEDICAL: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","National Aeronautics and Space Administration",6750,"contract"
"R&D- MEDICAL: OTHER (MANAGEMENT/SUPPORT)","Department of Veterans Affairs",65273.43,"contract"
"R&D- MEDICAL: REHABILITATIVE ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Veterans Affairs",17084,"contract"
"R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (BASIC RESEARCH)","Department of Veterans Affairs",291780.26,"contract"
"R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (BASIC RESEARCH)","U.S. Fish and Wildlife Service",16704,"contract"
"R&D- MINING: OTHER MINING ACTIVITIES (OPERATIONAL SYSTEMS DEVELOPMENT)","Centers for Disease Control and Prevention",496912,"contract"
"R&D- MINING: SUBSURFACE MINING METHODS (BASIC RESEARCH)","Centers for Disease Control and Prevention",249999.96,"contract"
"R&D- MINING: SUBSURFACE MINING METHODS (ENGINEERING DEVELOPMENT)","Centers for Disease Control and Prevention",198991,"contract"
"R&D- MODAL TRANSPORTATION: AIR (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","National Aeronautics and Space Administration",305815.85,"contract"
"R&D- MODAL TRANSPORTATION: AIR (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Federal Aviation Administration",12500,"contract"
"R&D- MODAL TRANSPORTATION: SURFACE MOTOR VEHICLES (BASIC RESEARCH)","National Highway Traffic Safety Administration",491150.63,"contract"
"R&D- NATURAL RESOURCE: MARINE AND OCEANOGRAPHIC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",296631,"contract"
"R&D- NATURAL RESOURCE: OTHER (BASIC RESEARCH)","U.S. Geological Survey",491159,"contract"
"R&D- NATURAL RESOURCE: OTHER (BASIC RESEARCH)","U.S. Fish and Wildlife Service",117346,"contract"
"R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","Defense Advanced Research Projects Agency",4451184.81,"contract"
"R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","Department of the Army",776715.21,"contract"
"R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","Department of the Navy",28016.52,"contract"
"R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Defense",117071555.56,"contract"
"R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Army",31722099.56,"contract"
"R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Air Force",19672413,"contract"
"R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of the Navy",10619531,"contract"
"R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Centers for Disease Control and Prevention",7597975.65,"contract"
"R&D- OTHER TRANSPORTATION: HUMAN FACTORS CONCERNING TRANSPORTATION (BASIC RESEARCH)","National Highway Traffic Safety Administration",3068394.53,"contract"
"R&D- OTHER TRANSPORTATION: HUMAN FACTORS CONCERNING TRANSPORTATION (BASIC RESEARCH)","Federal Highway Administration",100000,"contract"
"R&D- OTHER TRANSPORTATION: PASSENGER SAFETY AND SECURITY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Office of the Under Secretary for Science and Technology",137621.09,"contract"
"R&D- SOCIAL SERVICES: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","National Highway Traffic Safety Administration",677251,"contract"
"R&D- SOCIAL SERVICES: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Veterans Affairs",57636.8,"contract"
"R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH)","National Aeronautics and Space Administration",4196807.97,"contract"
"R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT)","National Aeronautics and Space Administration",8635192.49,"contract"
"R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT)","National Oceanic and Atmospheric Administration",879558,"contract"
"R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT)","Department of Defense",150000,"contract"
"R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT)","Department of the Navy",40000,"contract"
"R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","National Aeronautics and Space Administration",3299065,"contract"
