"Agency","Subagency","Title","federal_account_code","q","fy","reporting_period_end","Obligation","Unobligated"
"Department of Health and Human Services","Indian Health Service","Consolidated Working Fund, Health and Human Services, Indian Health Services","075-3921","2","2017","2017-03-31",0,932.75
"Department of Health and Human Services","Indian Health Service","Contract Support Costs, Indian Health Service, Health and Human Services","075-0344","2","2017","2017-03-31",333908303.47,328561696.53
"Department of Health and Human Services","Indian Health Service","Indian Health Facilities, Indian Health Service, Health and Human Services","075-0391","2","2017","2017-03-31",158212364.49,510574461.17
"Department of Health and Human Services","Indian Health Service","Indian Health Services, Indian Health Service, Health and Human Services","075-0390","2","2017","2017-03-31",2653970713.02,2177575084.49
"Department of Health and Human Services","Indian Health Service","Operation and Maintenance of Quarters, Indian Health Services, Health and Human Services","075-5071","2","2017","2017-03-31",3465375.53,9539967.66
"Department of Health and Human Services","National Institutes of Health","Buildings and Facilities, National Institutes of Health, Health and Human Services","075-0838","2","2017","2017-03-31",50999589.1,100609249.76
"Department of Health and Human Services","National Institutes of Health","Cooperative Research and Development Agreements, National Institutes of Health, Health and Human Services","075-5145","2","2017","2017-03-31",4945040.93,71274831.19
"Department of Health and Human Services","National Institutes of Health","John E. Fogarty International Center, National Institutes of Health, Health and Human Services","075-0819","2","2017","2017-03-31",21850904.37,21981287.19
"Department of Health and Human Services","National Institutes of Health","Management Fund, National Institutes of Health","075-3966","2","2017","2017-03-31",343937172.44,784624954.08
"Department of Health and Human Services","National Institutes of Health","National Cancer Institute, National Institutes of Health, Health and Human Services","075-0849","2","2017","2017-03-31",1740279771.01,1415528099.36
"Department of Health and Human Services","National Institutes of Health","National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services","075-0875","2","2017","2017-03-31",82225512.17,371424778.22
"Department of Health and Human Services","National Institutes of Health","National Center for Complementary and Integrative Health, National Institute of Health, Health and Human Services","075-0896","2","2017","2017-03-31",32372907.51,49125892.08
"Department of Health and Human Services","National Institutes of Health","National Center on Minority Health and Health Disparities, National Institutes of Health, Health and Human Services","075-0897","2","2017","2017-03-31",88141913.72,82309396.97
"Department of Health and Human Services","National Institutes of Health","National Eye Institute, National Institutes of Health, Health and Human Services","075-0887","2","2017","2017-03-31",283361647.79,161620230.04
"Department of Health and Human Services","National Institutes of Health","National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services","075-0872","2","2017","2017-03-31",1208106443.68,663901945.81
"Department of Health and Human Services","National Institutes of Health","National Human Genome Research Institute, National Institutes of Health, Health and Human Services","075-0891","2","2017","2017-03-31",191074407.46,150236651.59
"Department of Health and Human Services","National Institutes of Health","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services","075-0885","2","2017","2017-03-31",2245441455.48,689580879.87
"Department of Health and Human Services","National Institutes of Health","National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health, Health and Human Services","075-0888","2","2017","2017-03-31",154155995.5,177474919.04
"Department of Health and Human Services","National Institutes of Health","National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services","075-0898","2","2017","2017-03-31",93285059.47,116970017.58
"Department of Health and Human Services","National Institutes of Health","National Institute of Child Health and Human Development, National Institutes of Health, Health and Human Services","075-0844","2","2017","2017-03-31",448854094.14,369111775.86
"Department of Health and Human Services","National Institutes of Health","National Institute of Dental and Craniofacial Research, National Institutes of Health, Health and Human Services","075-0873","2","2017","2017-03-31",145755178.13,103799651.95
"Department of Health and Human Services","National Institutes of Health","National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Health and Human Services","075-0884","2","2017","2017-03-31",552676260.38,676722399.26
"Department of Health and Human Services","National Institutes of Health","National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services","075-0862","2","2017","2017-03-31",280119824.25,217176378.39
"Department of Health and Human Services","National Institutes of Health","National Institute of General Medical Sciences, National Institutes of Health, Health and Human Services","075-0851","2","2017","2017-03-31",650434039.5,833309466.84
"Department of Health and Human Services","National Institutes of Health","National Institute of Mental Health, National Institutes of Health, Health and Human Services","075-0892","2","2017","2017-03-31",507657613.72,417698016.01
"Department of Health and Human Services","National Institutes of Health","National Institute of Neurological Disorders and Stroke, National Institutes of Health, Health and Human Services","075-0886","2","2017","2017-03-31",526902120.75,514394677.89
"Department of Health and Human Services","National Institutes of Health","National Institute of Nursing Research, National Institutes of Health","075-0889","2","2017","2017-03-31",46081257.86,44363653.31
"Department of Health and Human Services","National Institutes of Health","National Institute on Aging, National Institutes of Health, Health and Human Services","075-0843","2","2017","2017-03-31",402997705.55,560010440.54
"Department of Health and Human Services","National Institutes of Health","National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health, Health and Human Services","075-0894","2","2017","2017-03-31",143837062.5,141060435.15
"Department of Health and Human Services","National Institutes of Health","National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Health and Human Services","075-0890","2","2017","2017-03-31",184316038.05,73084584.05
"Department of Health and Human Services","National Institutes of Health","National Institute on Drug Abuse, National Institutes of Health, Health and Human Services","075-0893","2","2017","2017-03-31",444453468.7,306052139.06
"Department of Health and Human Services","National Institutes of Health","National Library of Medicine, National Institutes of Health, Health and Human Services","075-0807","2","2017","2017-03-31",155351405.8,141591092.62
"Department of Health and Human Services","National Institutes of Health","NIH Innovation, CURES Act, National Institutes of Health, Health and Human Services","075-5628","2","2017","2017-03-31",256717535.14,253514784.11
"Department of Health and Human Services","National Institutes of Health","Office of the Director, National Institutes of Health, Health and Human Services","075-0846","2","2017","2017-03-31",303477202.41,759849016.38
"Department of Health and Human Services","National Institutes of Health","Payment to the NIH Innovation Account, CURES Act, National Institutes of Health, Health and Human Services","075-0147","2","2017","2017-03-31",0,352000000
"Department of Health and Human Services","National Institutes of Health","Service and Supply Fund, National Institutes of Health, Health and Human Services","075-4554","2","2017","2017-03-31",807961954.34,2707242497.25
"Department of Health and Human Services","Office of the Inspector General","Office of the Inspector General, Office of the Secretary, Health and Human Services","075-0128","2","2017","2017-03-31",181160523.66,168800790.85
"Department of Health and Human Services","Program Support Center","Administration on Aging Gift Fund, Health and Human Services","075-8510","2","2017","2017-03-31",0,310491.36
"Department of Health and Human Services","Program Support Center","Agency for Healthcare Research and Quality Gift Fund, Health and Human Services","075-8512","2","2017","2017-03-31",907456.54,415852.45
"Department of Health and Human Services","Program Support Center","Conditional Gift Fund, Health Resources and Services Administration, Health and Human Services","075-8254","2","2017","2017-03-31",0,3658360.19
"Department of Health and Human Services","Program Support Center","Contributions, Indian Health Facilities, Indian Health Services, Health and Human Services","075-8073","2","2017","2017-03-31",6711119.67,11031704.19
"Department of Health and Human Services","Program Support Center","Food and Drug Administration Unconditional Gift Fund","075-8247","2","2017","2017-03-31",0,0
"Department of Health and Human Services","Program Support Center","Gifts and Donations, Centers for Disease Control, Health and Human Services","075-8250","2","2017","2017-03-31",9648713.13,24804635.16
"Department of Health and Human Services","Program Support Center","HHS Accrual Contribution to the Uniformed Services Retiree Health Care Fund, Office of the Assistant Secretary for Health, Health and Human Services","075-0170","2","2017","2017-03-31",27873208,0
"Department of Health and Human Services","Program Support Center","HHS Service and Supply Fund, Program Support Center, Health and Human Services","075-4552","2","2017","2017-03-31",672265043.3,948666310.02
"Department of Health and Human Services","Program Support Center","Indian Health Service Gift Fund, Health and Human Services","075-8511","2","2017","2017-03-31",31920.87,699328.61
"Department of Health and Human Services","Program Support Center","National Institutes of Health Conditional Gift Fund, Health and Human Services","075-8253","2","2017","2017-03-31",14666016.56,88475641.89
"Department of Health and Human Services","Program Support Center","National Institutes of Health Unconditional Gift Fund, Health and Human Services","075-8248","2","2017","2017-03-31",611971.34,68363953.62
"Department of Health and Human Services","Program Support Center","Office of the Secretary Gift Fund, Health and Human Services","075-8514","2","2017","2017-03-31",0,2755.95
"Department of Health and Human Services","Program Support Center","Patients' Benefit Fund, Health Resources and Services Administration, Health and Human Services","075-8889","2","2017","2017-03-31",550,377283.98
"Department of Health and Human Services","Program Support Center","Patients' Benefit Fund, National Institutes of Health, Health and Human Services","075-8888","2","2017","2017-03-31",0,364678.18
"Department of Health and Human Services","Program Support Center","Public Health Emergency Fund, Public Health Services, Office of Assistant Secretary for Health, Health and Human Services","075-1104","2","2017","2017-03-31",0,56507.52
"Department of Health and Human Services","Program Support Center","Retirement Pay and Medical Benefits for Commissioned Officers, Office of the Assistant Secretary for Health, Health and Human Services","075-0379","2","2017","2017-03-31",285251857.83,433013302.32
"Department of Health and Human Services","Program Support Center","Scientific Activities Overseas, Special Foreign Currency Program, Assistant Secretary for Health, Health and Human Services","075-1102","2","2017","2017-03-31",0,968170.18
"Department of Health and Human Services","Program Support Center","Substance Abuse and Mental Health Administration Gift Fund, Health and Human Services","075-8513","2","2017","2017-03-31",0,289482.18
"Department of Health and Human Services","Program Support Center","Unconditional Gift Fund, Health Resources and Services Administration, Health and Human Services","075-8249","2","2017","2017-03-31",0,147757.52
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration","Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services","075-1362","2","2017","2017-03-31",47665402.51,77587451.86
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration","Mental Health, Substance Abuse and Mental Health Services Administration, Health and Human Services","075-1363","2","2017","2017-03-31",290408605.61,422450077.85
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration","Substance Abuse Prevention, Substance Abuse and Mental Health Administration, Health and Human Services","075-1365","2","2017","2017-03-31",11694376.19,116699017.38
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration","Substance Abuse Treatment, Substance Abuse and Mental Health Administration, Health and Human Services","075-1364","2","2017","2017-03-31",591639895.09,688618826.42
"Department of Homeland Security","Analysis and Operations","Analysis and Operations, Operations and Support, Departmental Management and Operations, Homeland Security","070-0115","2","2017","2017-03-31",102092773.08,77598281.38
"Department of Homeland Security","Citizenship and Immigration Services","H-1B and L Fraud Prevention and Detection Account, Citizenship and Immigration Services, Homeland Security","070-5389","2","2017","2017-03-31",16197019.83,27764027.3
"Department of Homeland Security","Citizenship and Immigration Services","Immigration Examination Fees, Immigration Services, Homeland Security","070-5088","2","2017","2017-03-31",1889634978.19,1681566224.82
"Department of Homeland Security","Citizenship and Immigration Services","Immigration Services, H-1 B Funded, Homeland Security","070-5106","2","2017","2017-03-31",9749999.45,4280000.41
"Department of Homeland Security","Citizenship and Immigration Services","Procurement, Construction, and Improvements, United States Citizenship and Immigration Services, Homeland Security","070-0407","2","2017","2017-03-31",0,8669475
"Department of Homeland Security","Citizenship and Immigration Services","United States Citizenship and Immigration Services, United States Citizenship and Immigration Services, Homeland Security","070-0300","2","2017","2017-03-31",39808239.13,55179089
"Department of Homeland Security","Domestic Nuclear Detection Office","Federal Assistance, Domestic Nuclear Detection Office, Homeland Security","070-0411","2","2017","2017-03-31",3995872.46,22845018.61
"Department of Homeland Security","Domestic Nuclear Detection Office","Management and Administration, Domestic Nuclear Detection Office, Homeland Security","070-0861","2","2017","2017-03-31",81893908.44,12733773.87
"Department of Homeland Security","Domestic Nuclear Detection Office","Research, Development, and Operations, Domestic Nuclear Detection Office, Homeland Security","070-0860","2","2017","2017-03-31",55503988.94,73448804.26
"Department of Homeland Security","Domestic Nuclear Detection Office","Systems Acquisition, Domestic Nuclear Detection Office,  Homeland Security","070-0862","2","2017","2017-03-31",25829804.69,45469650.89
"Department of Homeland Security","Federal Emergency Management Agency","Administrative and Regional Operations, Emergency Preparedness and Response, Homeland Security","070-0712","2","2017","2017-03-31",0,1672.31
"Department of Homeland Security","Federal Emergency Management Agency","Disaster Assistance Direct Loan Program Account, Federal Emergency Management Agency, Homeland Security","070-0703","2","2017","2017-03-31",2339484.65,304827451.87
"Department of Homeland Security","Federal Emergency Management Agency","Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security","070-0702","2","2017","2017-03-31",3134279083.08,3236521401.76
"Department of Homeland Security","Federal Emergency Management Agency","Emergency Food and Shelter, Federal Emergency Management Agency, Homeland Security","070-0707","2","2017","2017-03-31",0,5000000.07
"Department of Homeland Security","Federal Emergency Management Agency","Emergency Management Performance Grants, Federal Emergency Management Agency, Homeland Security","070-0718","2","2017","2017-03-31",5178877.25,16494297.21
"Department of Homeland Security","Federal Emergency Management Agency","Federal Assistance, Federal Emergency Management Agency, Homeland Security","070-0413","2","2017","2017-03-31",88767754.67,1654735858.33
"Department of Homeland Security","Federal Emergency Management Agency","Firefighter Assistance Grants, Federal Emergency Management Agency, Homeland Security","070-0561","2","2017","2017-03-31",10050106.89,759400553.04
"Department of Homeland Security","Federal Emergency Management Agency","Flood Hazard Mapping and Risk Analysis Program, Federal Emergency Management Agency, Homeland Security","070-0500","2","2017","2017-03-31",16155243.39,23203968.97
"Department of Homeland Security","Federal Emergency Management Agency","Grant Programs, Emergency Preparedness and Response, Homeland Security","070-0701","2","2017","2017-03-31",0,0.05
"Department of Homeland Security","Federal Emergency Management Agency","National Flood Insurance Fund, Federal Emergency Management Agency, Homeland Security","070-4236","2","2017","2017-03-31",2367142306.49,9008735653.81
"Department of Homeland Security","Federal Emergency Management Agency","National Flood Insurance Reserve Fund, Homeland Security","070-5701","2","2017","2017-03-31",1488880503.43,1027200405.99
"Department of Homeland Security","Federal Emergency Management Agency","National Predisaster Mitigation Fund, Federal Emergency Management Agency, Homeland Security","070-0716","2","2017","2017-03-31",20383593.56,129092413.06
"Department of Homeland Security","Federal Emergency Management Agency","Office of Domestic Preparedness, Federal Emergency Management Agency, Homeland Security","070-0511","2","2017","2017-03-31",0,81561.55
"Department of Homeland Security","Federal Emergency Management Agency","Preparedness, Mitigation, Response, and Recovery, Federal Emergency Management Agency, Homeland Security","070-0711","2","2017","2017-03-31",0,81048.14
"Department of Homeland Security","Federal Emergency Management Agency","Procurement, Construction, and Improvements, Federal Emergency Management Agency, Homeland Security","070-0414","2","2017","2017-03-31",3772490.91,21069561.09
"Department of Homeland Security","Federal Emergency Management Agency","Radiological Emergency Preparedness Program, Federal Emergency Management Agency, Homeland Security","070-0715","2","2017","2017-03-31",12868105.49,73895164.75
"Department of Homeland Security","Federal Emergency Management Agency","Salaries and Expenses, Federal Emergency Management Agency, Homeland Security","070-0700","2","2017","2017-03-31",365076028.6,378420030.52
"Department of Homeland Security","Federal Emergency Management Agency","State and Local Programs, Federal Emergency Management Agency, Homeland Security","070-0560","2","2017","2017-03-31",811317.98,167831650.59
"Department of Homeland Security","Federal Emergency Management Agency","United States Fire Administration, Federal Emergency Management Agency, Homeland Security","070-0564","2","2017","2017-03-31",41005.92,6261100.55
"Department of Homeland Security","Federal Law Enforcement Training Center","Acquisition, Construction, Improvements, and Related Expenses, Federal Law Enforcement Training Center, Homeland Security","070-0510","2","2017","2017-03-31",8140872.56,247038369.38
"Department of Homeland Security","Federal Law Enforcement Training Center","Salaries and Expenses, Federal Law Enforcement Training Center, Homeland Security","070-0509","2","2017","2017-03-31",176568312,137423207.74
"Department of Homeland Security","National Protection and Programs Directorate","Biodefense Countermeasures, National Protection and Programs Directorate, Homeland Security","070-0714","2","2017","2017-03-31",21.11,13167.4
"Department of Homeland Security","National Protection and Programs Directorate","Federal Protective Service, National Protection and Programs Directorate, Homeland Security","070-0542","2","2017","2017-03-31",989350373.04,669000858.64
"Department of Homeland Security","National Protection and Programs Directorate","Infrastructure Protection and Information Security, National Protection and Programs Directorate, Homeland Security","070-0565","2","2017","2017-03-31",126378269.69,118010542.88
"Department of Homeland Security","National Protection and Programs Directorate","Management and Administration, National Protection and Programs Directorate, Homeland Security","070-0566","2","2017","2017-03-31",400599592.42,359908245.82
"Department of Homeland Security","National Protection and Programs Directorate","Office of Biometric Identity Management, National Protection and Programs Directorate, Homeland Security","070-0521","2","2017","2017-03-31",1378461.13,194855878.92
"Department of Homeland Security","National Protection and Programs Directorate","Operating Expenses, Information Analysis and Infrastructure Protection, Homeland Security","070-0900","2","2017","2017-03-31",0,508800.84
"Department of Homeland Security","National Protection and Programs Directorate","Procurement, Construction, and Improvements, National Protection and Programs Directorate, Homeland Security","070-0412","2","2017","2017-03-31",27292271.54,164056360.46
"Department of Homeland Security","National Protection and Programs Directorate","Research and Development, National Protection and Programs Directorate, Homeland Security","070-0805","2","2017","2017-03-31",1638183.28,1872405.72
"Department of Homeland Security","Office of Health Affairs","Office of Health Affairs, National Protection and Programs Directorate, Homeland Security","070-0117","2","2017","2017-03-31",23799422.52,120736051.32
"Department of Homeland Security","Office of the Inspector General","Office of the Inspector General, Office of Inspector General, Homeland Security","070-0200","2","2017","2017-03-31",85693562.64,38666904.62
"Department of Homeland Security","Office of the Secretary and Executive Management","Counterterrorism Fund, Departmental Management and Operations, Homeland Security","070-0101","2","2017","2017-03-31",0,39687.35
"Department of Homeland Security","Office of the Secretary and Executive Management","Departmental Operations, Operations and Support, Departmental Management and Operations, Homeland Security","070-0100","2","2017","2017-03-31",67164892.68,30643367.27
"Department of Homeland Security","Office of the Secretary and Executive Management","Gifts and Donations, Department Management, Homeland Security","070-8244","2","2017","2017-03-31",0,3256658.81
"Department of Homeland Security","Office of the Secretary and Executive Management","Office of the Secretary and Executive Management, Departmental Management and Operations, Homeland Security","070-0110","2","2017","2017-03-31",2001923.61,9636996.52
"Department of Homeland Security","Office of the Under Secretary for Management","Department-Wide Technology Investments, Departmental Management, Homeland Security","070-0102","2","2017","2017-03-31",2497840.43,267423984.88
"Department of Homeland Security","Office of the Under Secretary for Management","Office of the Chief Financial office, Departmental Management and Operations, Operations and Support, Departmental Management and Operations, Homeland Security","070-0112","2","2017","2017-03-31",281460457.45,262516264.41
"Department of Homeland Security","Office of the Under Secretary for Management","Office of the Chief Information Officer, Departmental Management and Operations, Homeland Security","070-0113","2","2017","2017-03-31",7988651.24,69297681.3
"Department of Homeland Security","Office of the Under Secretary for Management","Office of the Under Secretary for Management, Departmental Management and Operations, Homeland Security","070-0111","2","2017","2017-03-31",8203766.75,114366780.55
"Department of Homeland Security","Office of the Under Secretary for Management","Procurement, Construction, and Improvements, Departmental Management and Operations, Homeland Security","070-0406","2","2017","2017-03-31",7543134.57,105763668.43
"Department of Homeland Security","Office of the Under Secretary for Management","Research and Development, Departmental Management and Operations, Homeland Security","070-0801","2","2017","2017-03-31",10000,1424299
"Department of Homeland Security","Office of the Under Secretary for Management","Working Capital Fund Departmental Management, Homeland Security","070-4640","2","2017","2017-03-31",209640781.79,375227733.67
"Department of Homeland Security","Science and Technology","Management and Administration, Science and Technology, Homeland Security","070-0810","2","2017","2017-03-31",2345745.12,5675772.98
"Department of Homeland Security","Science and Technology","Research and Development, Science and Technology, Homeland Security","070-0803","2","2017","2017-03-31",95756640.86,195942547.14
"Department of Homeland Security","Science and Technology","Research, Development, Acquisition, and Operations, Science and Technology, Homeland Security","070-0800","2","2017","2017-03-31",159528651.29,325161901.85
"Department of Homeland Security","Transportation Security Administration","Airport Checkpoint Screening Fund, Transportation Security Administration, Homeland Security","070-5545","2","2017","2017-03-31",93017.22,6695466.29
"Department of Homeland Security","Transportation Security Administration","Aviation Security Capital Fund, Transportation Security Administration, Homeland Security","070-5385","2","2017","2017-03-31",14432260.5,535500858.36
"Department of Homeland Security","Transportation Security Administration","Aviation Security, Transportation Security Administration, Homeland Security","070-0550","2","2017","2017-03-31",3197925457.95,1768935388.68
"Department of Homeland Security","Transportation Security Administration","Expenses, Transportation Security Administration, Border and Transportation Security, Homeland Security","070-0508","2","2017","2017-03-31",0,499073.54
"Department of Homeland Security","Transportation Security Administration","Federal Air Marshals, Transportation Security Administration,  Homeland Security","070-0541","2","2017","2017-03-31",17515.26,18592968.77
"Department of Homeland Security","Transportation Security Administration","Procurement, Construction, and Improvements, Transportation Security Administration, Homeland Security","070-0410","2","2017","2017-03-31",34564697.99,80020845.01
"Department of Homeland Security","Transportation Security Administration","Research and Development, Transportation Security Administration, Border and Transportation Security, Homeland Security","070-0553","2","2017","2017-03-31",0,243849.41
"Department of Homeland Security","Transportation Security Administration","Research and Development,Transportation Security Administration, Homeland Security","070-0802","2","2017","2017-03-31",0,2868597
"Department of Homeland Security","Transportation Security Administration","Surface Transportation Security, Transportation Security Administration, Homeland Security","070-0551","2","2017","2017-03-31",470717.17,16968690.18
"Department of Homeland Security","Transportation Security Administration","Transportation Security Support, Transportation Security Administration, Homeland Security","070-0554","2","2017","2017-03-31",10485794.8,105929900.03
"Department of Homeland Security","Transportation Security Administration","Transportation Threat Assessment and Credentialing , Transportation Security Administration, Homeland Security","070-0557","2","2017","2017-03-31",24624449.06,204323405.47
"Department of Homeland Security","Transportation Security Administration","Unclaimed Checkpoint Money, Transportation Security Administration, Homeland Security","070-5390","2","2017","2017-03-31",32483.5,1266119.99
"Department of Homeland Security","U.S. Customs and Border Protection","9-11 Response and Biometric Exit Account, U.S. Customs and Border Protection, Homeland Security","070-5702","2","2017","2017-03-31",3329379.08,177657300.77
"Department of Homeland Security","U.S. Customs and Border Protection","Air and Marine Interdiction, operations, Maintenance, and Procurement, U.S. Customs and Border Protection, Homeland Security","070-0544","2","2017","2017-03-31",21003737.25,153580756.38
"Department of Homeland Security","U.S. Customs and Border Protection","APEC Business Travel Card Account, Customs and Border Protection, Homeland Security","070-5569","2","2017","2017-03-31",0,2699113
"Department of Homeland Security","U.S. Customs and Border Protection","Automation Modernization, U.S. Customs and Border Protection, Homeland Security","070-0531","2","2017","2017-03-31",16703507.66,120469192.6
"Department of Homeland Security","U.S. Customs and Border Protection","Border Security Fencing, Infrastructure, and Technology, U.S. Customs and Border Protection, Homeland Security","070-0533","2","2017","2017-03-31",77561503.73,321778108.24
"Department of Homeland Security","U.S. Customs and Border Protection","Construction and Facilities Management, U.S. Customs and Border Protection, Homeland Security","070-0532","2","2017","2017-03-31",52449819.38,298562951.37
"Department of Homeland Security","U.S. Customs and Border Protection","Customs and Border Protection Services at User Fee Facilities, U.S. Customs and Border Protection, Homeland Security","070-5694","2","2017","2017-03-31",11466100.15,31281497.27
"Department of Homeland Security","U.S. Customs and Border Protection","Customs and Border Protection, Customs User Fees Account, USCS, Homeland Security","070-5695","2","2017","2017-03-31",320438650.11,507936475.92
"Department of Homeland Security","U.S. Customs and Border Protection","Customs and Border Protection, Immigration User Fees, Border and Transportation Security, Homeland Security","070-5087","2","2017","2017-03-31",235827444.46,533962420.01
"Department of Homeland Security","U.S. Customs and Border Protection","Customs and Border Protection, Land Border Inspection Fees, Border and Transportation Security, Homeland Security","070-5089","2","2017","2017-03-31",23311753,38711412.57
"Department of Homeland Security","U.S. Customs and Border Protection","Customs and Border Protection, Transfer and Expenses of Operation, Puerto Rico, USCS, Homeland Security","070-5687","2","2017","2017-03-31",30041999.17,105520729.91
"Department of Homeland Security","U.S. Customs and Border Protection","Customs and Border Protection, USCS, Homeland Security","070-0503","2","2017","2017-03-31",400701.31,491004.56
"Department of Homeland Security","U.S. Customs and Border Protection","Customs and Border Protection, Violent Crime Reduction Trust Fund, USCS, Homeland Security","070-8529","2","2017","2017-03-31",0,0.56
"Department of Homeland Security","U.S. Customs and Border Protection","Electronic System for Travel Authorization, U.S. Customs and Border Protection, Homeland Security","070-5595","2","2017","2017-03-31",12935196.34,120721473.73
"Department of Homeland Security","U.S. Customs and Border Protection","Enhanced Inspectional Services, U.S. Customs and Border Protection, Homeland Security","070-4363","2","2017","2017-03-31",4856402.05,15143850.76
"Department of Homeland Security","U.S. Customs and Border Protection","Immigration Enforcement Account, Border and Transportation Security, Homeland Security","070-5451","2","2017","2017-03-31",1492554.94,800660.04
"Department of Homeland Security","U.S. Customs and Border Protection","International Registered Traveler Program Fund, U.S. Customs and Border Protection, Homeland Security","070-5543","2","2017","2017-03-31",39512420.52,153496178.51
"Department of Homeland Security","U.S. Customs and Border Protection","Refunds, Transfers and Expenses, Abandoned and Seized Goods, USCS, Homeland Security","070-8789","2","2017","2017-03-31",765809.73,2055511.48
"Department of Homeland Security","U.S. Customs and Border Protection","Salaries and Expenses, U.S. Customs and Border Protection, Homeland Security","070-0530","2","2017","2017-03-31",6113009608.58,3474641701.95
"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Automation Modernization, U.S. Immigration and Customs Enforcement, Homeland Security","070-0543","2","2017","2017-03-31",8009818.81,24351871.67
"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Breach Bond/Detention Fund, Border and Transportation Security, Homeland Security","070-5126","2","2017","2017-03-31",21237992.32,37420787.34
"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Detention and Removal Operations, U.S. Immigration and Customs Enforcement, Homeland Security","070-5542","2","2017","2017-03-31",0,1887550.33
"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Immigration and Customs Enforcement, Border and Transportation Security, Homeland Security","070-0504","2","2017","2017-03-31",0,625375.25
"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Immigration User Fee Account, BICE, Homeland Security","070-5382","2","2017","2017-03-31",85371593.39,143236016.83
"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Procurement, Construction, and Improvements, U.S. Immigration and Customs Enforcement, Homeland Security","070-0545","2","2017","2017-03-31",2303917.52,32568726.64
"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Salaries and Expenses, U.S. Immigration and Customs Enforcement, Homeland Security","070-0540","2","2017","2017-03-31",3383668330.27,1174198523.12
"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Student and Exchange Visitor Program, Border and Transportation Security, Homeland Security","070-5378","2","2017","2017-03-31",74571252.33,235734841.62
"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Violent Crime Reduction Program, Immigration Services, Homeland Security","070-8598","2","2017","2017-03-31",0,84268.16
"Department of Homeland Security","United States Coast Guard","Acquisition, Construction, and Improvements, Coast Guard, Homeland Security","070-0613","2","2017","2017-03-31",880067399.41,1926257321.34
"Department of Homeland Security","United States Coast Guard","Alteration of Bridges, Coast Guard, Homeland Security","070-0614","2","2017","2017-03-31",0,504101.68
"Department of Homeland Security","United States Coast Guard","Boat Safety, USCG, Homeland Security","070-8149","2","2017","2017-03-31",108299943.2,21241678.8
"Department of Homeland Security","United States Coast Guard","Environmental Complaince and Restoration, Coast Guard, Homeland Security","070-0611","2","2017","2017-03-31",4725324.36,29087939.65
"Department of Homeland Security","United States Coast Guard","General Gift Fund, USCG, Homeland Security","070-8533","2","2017","2017-03-31",914722.34,2289196.23
"Department of Homeland Security","United States Coast Guard","Medicare-Eligible Retiree Health Fund Contribution, United States Coast Guard, Homeland Security","070-0616","2","2017","2017-03-31",175506151,0
"Department of Homeland Security","United States Coast Guard","Oil Spill Liability Trust Fund-Treasury Managed, Homeland Security","070-8185","2","2017","2017-03-31",56150.02,0
"Department of Homeland Security","United States Coast Guard","Oil Spill Recovery, USCG, Homeland Security","070-8349","2","2017","2017-03-31",7301976.79,218492806.02
"Department of Homeland Security","United States Coast Guard","Operating Expenses, Coast Guard, Homeland Security","070-0610","2","2017","2017-03-31",3334290689.59,1274776822.51
"Department of Homeland Security","United States Coast Guard","Payment of Claims (Oil Spill Liability Trust Fund), Homeland Security","070-8312","2","2017","2017-03-31",3087740.1,0
"Department of Homeland Security","United States Coast Guard","Research, Development, Test, and Evaluation, Coast Guard, Homeland Security","070-0615","2","2017","2017-03-31",8483191.79,19976480.43
"Department of Homeland Security","United States Coast Guard","Reserve Training, Coast Guard, Homeland Security","070-0612","2","2017","2017-03-31",49544367,19570535.77
"Department of Homeland Security","United States Coast Guard","Retired Pay, Coast Guard, Homeland Security","070-0602","2","2017","2017-03-31",826080203.36,182749705.23
"Department of Homeland Security","United States Coast Guard","Sport Fish Restoration and Boating Trust Fund, Homeland Security","070-8147","2","2017","2017-03-31",0,0
"Department of Homeland Security","United States Coast Guard","Supply Fund, USCG, Homeland Security","070-4535","2","2017","2017-03-31",22312636.28,161473593.91
