"Agency","Subagency","accountID","Title","Obligation","Unobligated","federal_account_id"
"Department of Transportation","Federal Aviation Administration",1823,"Operations, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",5070625824,3780374176,5126
"Department of Transportation","Federal Aviation Administration",1822,"Airport and Airway Trust Fund - Treasury Managed, Transportation",0,0,5125
"Department of Transportation","Federal Highway Administration",1821,"Highway Trust Fund - Treasury Managed, Transportation",0,0,5124
"Department of Transportation","Federal Highway Administration",1820,"Highway Safety Improvement Demonstration Projects, Federal Highway Administration, Transportation",0,0,5123
"Department of Transportation","Federal Highway Administration",1819,"Federal-Aid Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",13294293630,14653927888,5122
"Department of Transportation","Federal Highway Administration",1818,"Nuclear Waste Transportation Safety Demonstration Project, Federal Highway Administration, Transportation",0,0,5121
"Department of Transportation","Federal Highway Administration",1817,"Highway-Railroad Grade Crossing Safety Demonstration Project, Federal Highway Administration, Transportation",0,33164,5120
"Department of Transportation","Federal Highway Administration",1816,"Highway Safety and Economic Development Projects, Federal Highway Administration, Transportation",0,0,5119
"Department of Transportation","Federal Highway Administration",1815,"Appalachian Development Highway System, Federal Highway Administration, Transportation",0,91962.68,5118
"Department of Transportation","Federal Highway Administration",1814,"Construction and Improvements to Halls Mills Road, New Jersey, Federal Highway Administration, Transportation",0,1000000,5117
"Department of Transportation","Federal Highway Administration",1813,"Miscellaneous Highway Project, Federal Highway Administration, Transportation",1508269.35,61562764.08,5116
"Department of Transportation","Federal Highway Administration",1812,"Bridge Capacity Improvement, Federal Highway Administration, Transportation",0,3797451.5,5115
"Department of Transportation","Federal Motor Carrier Safety Administration",1811,"Motor Carrier Safety, Limitation on Administrative Expenses, Federal Motor Carrier Safety Administration, Transportation",0,3260308.5,5114
"Department of Transportation","Federal Highway Administration",1810,"Advances from State Cooperating Agencies, Foreign Governments, and Other Federal Agencies, Federal Highway Administration, Transportation",9897868.57,164209812.6,5113
"Department of Transportation","Federal Highway Administration",1809,"Vehicular and Pedestrian Safety Demonstration Project, Federal Highway Administration, Transportation",0,0,5112
"Department of Transportation","Federal Motor Carrier Safety Administration",1808,"National Motor Carrier Safety Program, Liquidation of Contract Authorization, Federal Motor Carrier Safety Administration, Transportation",0,9520052.59,5111
"Department of Transportation","Federal Highway Administration",1807,"Study of Improvements to Highway 8 in Wisconsin, Federal Highway Administration, Transportation",0,0,5110
"Department of Transportation","National Highway Traffic Safety Administration",1805,"Highway Traffic Safety Grants, Liquidation of Contract Authorization, Trust Fund, National Highway Traffic Safety Administration, Transportation",167175708.9,216833258,5108
"Department of Transportation","Federal Highway Administration",1803,"Highway Safety Research and Development, Federal Highway Administration, Transportation",0,11882.14,5106
"Department of Transportation","National Highway Traffic Safety Administration",1802,"Operations and Research - Trust Fund, National Highway Traffic Safety Administration, Transportation",38993280.72,70313428.46,5105
"Department of Transportation","Federal Highway Administration",1801,"Baltimore-Washington Parkway Trust Fund, Federal Highway Administration, Transportation",0,0,5104
"Department of Transportation","Federal Highway Administration",1800,"Trust Fund Share of Other Highway Programs, Federal Highway Administration, Transportation",0,302094.56,5103
"Department of Transportation","Saint Lawrence Seaway Development Corporation",1799,"Operations and Maintenance, Saint Lawrence Seaway Development Corporation, Transportation",20345916,0,5102
"Department of Transportation","Federal Highway Administration",1798,"Carpool and Vanpool Projects, Federal Highway Administration",0,0,5101
"Department of Transportation","Federal Highway Administration",1797,"Intermodal Urban Demonstration Project, Federal Highway Administration, Transportation",0,2254065.76,5100
"Department of Transportation","Maritime Administration",1785,"Port of Guam Improvement Enterprise Fund, Maritime Administration, Transportation",1907.12,4821421.39,5088
"Department of Transportation","Office of the Secretary",1784,"Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",77345763.19,130089323.4,5087
"Department of Transportation","Federal Aviation Administration",1783,"Aviation User Fees, Federal Aviation Administration, Transportation",710,20627078.22,5086
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1782,"Emergency Preparedness Grants, Pipeline and Hazardous Materials Safety Administration, Transportation",321590.21,12377650.22,5085
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1781,"Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",35413329.78,122386256.2,5084
"Department of Transportation","Federal Aviation Administration",1780,"Administrative Services Franchise Fund, Federal Aviation Administration, Transportation",262401205.9,574583890.3,5083
"Department of Transportation","Office of the Secretary",1779,"Working Capital Fund, Transportation Systems Center, Transportation",211287011.7,369186189,5082
"Department of Transportation","Office of the Secretary",1778,"Working Capital Fund, Transportation",178227965.4,447235150,5081
"Department of Transportation","Maritime Administration",1775,"Vessel Operations Revolving Fund, Maritime Administration, Transportation",394616.56,31800825.06,5078
"Department of Transportation","Maritime Administration",1774,"War-Risk Insurance Revolving Fund, Maritime Administration, Transportation",0,49115539.35,5077
"Department of Transportation","Federal Aviation Administration",1772,"Aviation Insurance Revolving Fund, Transportation",245664.33,2309563861,5075
"Department of Transportation","Saint Lawrence Seaway Development Corporation",1771,"Saint Lawrence Seaway Development Corporation Fund, Transportation",11588552.49,23495444.19,5074
"Department of Transportation","Federal Railroad Administration",1769,"Federal-State Partnership for State of Good Repair Grants, Federal Railroad Administration, Transportation",0,275000000,5070
"Department of Transportation","Federal Railroad Administration",1768,"National Network Grants to the National Railroad Passenger Corporation, Transportation",549555459.6,747485705.4,5069
"Department of Transportation","Federal Railroad Administration",1767,"Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation",152151983,501757815,5068
"Department of Transportation","Maritime Administration",1765,"Assistance to Shipyards, Maritime Administration, Transportation",2359.34,15290813.16,5066
"Department of Transportation","Maritime Administration",1763,"Ship Disposal, Maritime Administration, Transportation",1570208.11,134102620.7,5064
"Department of Transportation","Maritime Administration",1761,"Maritime Guaranteed Loan, (Title XI) Program Account, Maritime Administration, Transportation",1420389,32266948.01,5062
"Department of Transportation","Maritime Administration",1759,"Operations and Training, Maritime Administration, Transportation",69533807.98,543433238.1,5060
"Department of Transportation","Office of the Secretary",1757,"Research and Technology, Office of the Secretary, Transportation",9515688.65,50121214.13,5058
"Department of Transportation","Maritime Administration",1755,"Maritime Security Program, Maritime Administration, Transportation",162576973.7,27195886.3,5056
"Department of Transportation","Maritime Administration",1754,"Ready Reserve Force, Maritime Administration, Transportation",153752515.3,316567096.9,5055
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1751,"Hazardous Materials Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",21144440.61,30388062.78,5052
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1750,"Operational Expenses, Pipeline and Hazardous Materials Safety Administration, Transportation",7862601.38,6704802.1,5051
"Department of Transportation","Federal Aviation Administration",1748,"Facilities, Engineering and Development, Federal Aviation Administration, Transportation",0,1671.6,5047
"Department of Transportation","Federal Aviation Administration",1747,"Operations, Federal Aviation Administration, Transportation",4623345269,6068374295,5046
"Department of Transportation","Federal Transit Administration",1746,"Technical Assistance and Training, Federal Transit Administration, Transportation",0,6003776.19,5045
"Department of Transportation","Federal Transit Administration",1745,"Public Transportation Emergency Relief Program, Federal Transit Administration, Transportation",3046597.91,3453162224,5044
"Department of Transportation","Federal Transit Administration",1744,"Transit Research, Federal Transit Administration, Transportation",427017.95,21043863.67,5043
"Department of Transportation","Federal Transit Administration",1743,"University Transportation Research, Federal Transit Administration, Transportation",0,0,5042
"Department of Transportation","Federal Transit Administration",1742,"Capital Investment Grants, Federal Transit Administration, Transportation",237109730.6,2604448519,5041
"Department of Transportation","Federal Transit Administration",1740,"Grants for Energy Efficiency and Greenhouse Gas Reductions, Federal Transit Administration, Transportation",0,705190,5039
"Department of Transportation","Federal Transit Administration",1739,"Formula Grants, Federal Transit Administration, Transportation",0,53117320.92,5038
"Department of Transportation","Federal Transit Administration",1738,"Washington Metropolitan Area Transit Authority, Federal Transit Administration, Transportation",82248.52,82920473.49,5037
"Department of Transportation","Federal Transit Administration",1737,"Interstate Transfer Grants-Transit, Federal Transit Administration, Transportation",0,10666.49,5036
"Department of Transportation","Federal Transit Administration",1735,"Job Access and Reverse Commute Grants, Federal Transit Administration, Transportation",0,300361.92,5034
"Department of Transportation","Federal Transit Administration",1734,"Urban Formula Grants, Federal Transit Administration, Transportation",0,0,5033
"Department of Transportation","Federal Transit Administration",1733,"Non-Urban Formula Grants, Federal Transit Administration, Transportation",0,0,5032
"Department of Transportation","Federal Transit Administration",1732,"Urban Discretionary Grants, Federal Transit Administration, Transportation",0,0,5031
"Department of Transportation","Federal Transit Administration",1731,"Research, Training, and Human Resources, Federal Transit Administration, Transportation",0,31635.19,5030
"Department of Transportation","Federal Transit Administration",1730,"Administrative Expenses, Federal Transit Administration, Transportation",46764943.19,20140891.83,5029
"Department of Transportation","Federal Transit Administration",1729,"Urban Mass Transportation Fund, Federal Transit Administration, Transportation",0,0,5028
"Department of Transportation","Federal Railroad Administration",1726,"West Virginia Rail Development, Federal Railroad Administration, Transportation",0,0,5025
"Department of Transportation","Federal Railroad Administration",1725,"Railroad Rehabilitation and Improvement Program Account, Federal Railroad Administration, Transportation",0,26238243.79,5024
"Department of Transportation","Federal Railroad Administration",1723,"Railroad Research and Development, Federal Railroad Administration, Transportation",3401316.89,50888559.93,5022
"Department of Transportation","Federal Railroad Administration",1722,"Alaska Railroad Rehabilitation, Federal Railroad Administration, Transportation",0,0,5021
"Department of Transportation","Federal Railroad Administration",1721,"Rhode Island Rail Development, Federal Railroad Administration, Transportation",0,0,5020
"Department of Transportation","Federal Railroad Administration",1720,"Capital Grants to the National Railroad Passenger Corporation - Recovery Act, Federal Railroad Administration, Transportation",0,472206.93,5019
"Department of Transportation","Federal Railroad Administration",1719,"Pennsylvania Station Redevelopment Project, Federal Railroad Administration, Transportation",40200000,100000.66,5018
"Department of Transportation","Federal Railroad Administration",1718,"Next Generation High Speed Rail, Federal Railroad Administration, Transportation",595200,3219483.21,5017
"Department of Transportation","Federal Railroad Administration",1717,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service, Federal Railroad Administration, Transportation",258774.58,57621419.41,5016
"Department of Transportation","Federal Railroad Administration",1716,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service - Recovery Act, Federal Railroad Administration, Transportation",0,284320.98,5015
"Department of Transportation","Federal Railroad Administration",1715,"Rail Line Relocation and Improvement Program, Federal Railroad Administration, Transportation",0,13550365.14,5014
"Department of Transportation","Federal Railroad Administration",1714,"Passenger Rail Service, Capital Assistance to States - Intercity, Federal Railroad Administration, Transportation",0,11106134.04,5013
"Department of Transportation","Federal Railroad Administration",1713,"Local Rail Freight Assistance, Federal Railroad Administration, Transportation",0,0,5012
"Department of Transportation","Federal Railroad Administration",1712,"Rail Labor Assistance, Federal Railroad Administration, Transportation",0,0,5011
"Department of Transportation","Federal Railroad Administration",1711,"Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",0,45531563.16,5010
"Department of Transportation","Federal Railroad Administration",1710,"Railroad Research, Federal Railroad Administration, Transportation",0,0,5009
"Department of Transportation","Federal Railroad Administration",1709,"Railroad Safety, Federal Railroad Administration, Transportation",6722887,29612443.19,5008
"Department of Transportation","Federal Railroad Administration",1708,"Railroad Safety Technology Program, Federal Railroad Administration, Transportation",0,612244.91,5007
"Department of Transportation","Federal Railroad Administration",1707,"Safety and Operations, Federal Railroad Administration, Transportation",84973880.35,172179805.8,5006
"Department of Transportation","National Highway Traffic Safety Administration",1706,"Next Generation 911 Implementation Grants, National Highway Traffic Safety Administration, Transportation",100000,111383527.3,5005
"Department of Transportation","National Highway Traffic Safety Administration",1704,"Consumer Assistance to Recycle and Save Program, National Highway Traffic Safety Administration, Transportation",0,20482346.54,5003
"Department of Transportation","National Highway Traffic Safety Administration",1702,"State and Community Highway Safety, Liquidation of Contract Authorization, National Highway Traffic Safety Administration, Transportation",0,0,5001
"Department of Transportation","National Highway Traffic Safety Administration",1701,"Operations and Research, National Highway Traffic Safety Administration, Transportation",37278958.54,179832643.1,5000
"Department of Transportation","Federal Highway Administration",1700,"Woodrow Wilson Memorial Bridge, Federal Highway Administration, Transportation",0,0,4999
"Department of Transportation","Federal Highway Administration",1699,"Alabama and West Virginia Highway Projects, Federal Highway Administration, Transportation",0,0,4998
"Department of Transportation","Federal Highway Administration",1698,"Miscellaneous Massachusetts Projects, Federal Highway Administration, Transportation",0,0,4997
"Department of Transportation","Federal Highway Administration",1697,"Arkansas I-69 Connector, Federal Highway Administration, Transportation",0,8857875,4996
"Department of Transportation","Federal Highway Administration",1696,"Miscellaneous Highway Project, Federal Highway Administration, Transportation",102927.5,16164807.79,4995
"Department of Transportation","Federal Highway Administration",1695,"Appalachian Development System, Federal Highway Administration, Transportation",2722129,45212745.79,4994
"Department of Transportation","Federal Highway Administration",1694,"Highway Demonstration Projects, Federal Highway Administration, Transportation",3320460.45,320858.54,4993
"Department of Transportation","Federal Highway Administration",1693,"Corridor D Improvement Project, Federal Highway Administration, Transportation",0,0,4992
"Department of Transportation","Federal Highway Administration",1692,"Ramp Relocation and Reconstruction Demonstration Project, Federal Highway Administration, Transportation",0,0,4991
"Department of Transportation","Federal Highway Administration",1691,"Highway 20 Realignment Project, Federal Highway Administration, Transportation",0,0,4990
"Department of Transportation","Federal Highway Administration",1690,"Turquoise Trail Project, Federal Highway Administration, Transportation",0,0,4989
"Department of Transportation","Federal Highway Administration",1689,"Ottumwa Road Extension Project, Federal Highway Administration",0,0,4988
"Department of Transportation","Federal Highway Administration",1688,"Spring Mountain Demonstration Project, Federal Highway Administration, Transportation",0,0,4987
"Department of Transportation","Federal Highway Administration",1687,"Corning Bypass Safety Demonstration Project, Federal Highway Administration, Transportation",0,0,4986
"Department of Transportation","Federal Highway Administration",1686,"Corridor G Improvement Project, Federal Highway Administration, Transportation",0,0,4985
"Department of Transportation","Federal Highway Administration",1685,"Des Moines Inner Loop Demonstration Project, Federal Highway Administration, Transportation",0,0,4984
"Department of Transportation","Federal Highway Administration",1684,"Highway Demonstration Projects, Preliminary Engineering, Federal Highway Administration, Transportation",0,3921769,4983
"Department of Transportation","Federal Highway Administration",1683,"Ebensburg Bypass Demonstration Project, Federal Highway Administration, Transportation",0,0,4982
"Department of Transportation","Federal Highway Administration",1682,"Alabama Feasibility Study, Federal Highway Administration, Transportation",0,0,4981
"Department of Transportation","Federal Highway Administration",1681,"Expressway Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",0,511258,4980
"Department of Transportation","Federal Highway Administration",1680,"Urban Airport Access Safety Demonstration Project, Federal Highway Administration, Transportation",0,0,4979
"Department of Transportation","Federal Highway Administration",1679,"Urban Highway Corridor and Bicycle Project, Federal Highway Administration, Transportation",0,0,4978
"Department of Transportation","Federal Highway Administration",1678,"Virginia HOV Safety Demonstration Project, Federal Highway Administration, Transportation",0,0,4977
"Department of Transportation","Federal Highway Administration",1677,"Kentucky Bridge Project, Federal Highway Administration, Transportation",0,133231.12,4976
"Department of Transportation","Federal Highway Administration",1676,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",0,0,4975
"Department of Transportation","Federal Highway Administration",1675,"Oklahoma Highway Widening Demonstration Project, Federal Highway Administration, Transportation",0,0,4974
"Department of Transportation","Federal Highway Administration",1674,"Road Extension Demonstration, Federal Highway Administration, Transportation",0,0,4973
"Department of Transportation","Federal Highway Administration",1673,"Corridor H Improvement Project, Federal Highway Administration, Transportation",0,0,4972
"Department of Transportation","Federal Highway Administration",1672,"Indiana Industrial Corridor Safety Demonstration Project, Federal Highway Administration, Transportation",0,0,4971
"Department of Transportation","Federal Highway Administration",1671,"Climbing Lane and Highway Safety Demonstration Project, Federal Highway Administration, Transportation",0,0,4970
"Department of Transportation","Federal Highway Administration",1670,"Highway Capacity Improvement Demonstration Project, Federal Highway Administration, Transportation",0,0,4969
"Department of Transportation","Federal Highway Administration",1669,"Intersection Safety Demonstration Project, Federal Highway Administration, Transportation",0,0,4968
"Department of Transportation","Federal Highway Administration",1668,"Highway Widening Demonstration, Federal Highway Administration, Transportation",0,0,4967
"Department of Transportation","Federal Highway Administration",1667,"Interstate Transfer Grants-Highways, Federal Highway Administration, Transportation",0,5211248.53,4966
"Department of Transportation","Federal Highway Administration",1666,"Railroad-Highway Crossings Demonstration Projects, Federal Highway Administration, Transportation",85105.84,2180720.12,4965
"Department of Transportation","Federal Highway Administration",1665,"Territorial Highways, Federal Highway Administration, Transportation",0,0,4964
"Department of Transportation","Federal Highway Administration",1664,"Rail Crossings Demonstration Projects, Federal Highway Administration, Transportation",0,517220.2,4963
"Department of Transportation","Federal Highway Administration",1663,"Darien Gap Highway, Federal Highway Administration, Transportation",0,2037034.5,4962
"Department of Transportation","Federal Highway Administration",1662,"Delta Regional Transportation Development Program, Federal Highway Administration, Transportation",0,1838576.4,4961
"Department of Transportation","Federal Highway Administration",1661,"I-35W Bridge Repair and Reconstruction, Federal Highway Administration, Transportation",0,140000,4960
"Department of Transportation","Federal Highway Administration",1660,"State Infrastructure Banks, Federal Highway Administration, Transportation",0,1375400,4959
"Department of Transportation","Federal Highway Administration",1658,"TIFIA General Fund Program Account, Federal Highway Administration, Transportation",0,262118.44,4957
"Department of Transportation","Federal Highway Administration",1657,"Highway Beautification, Federal Highway Administration, Transportation",0,488909.57,4956
"Department of Transportation","Federal Highway Administration",1656,"Surface Transportation Priorities, Federal Highway Administration, Transportation",4011982.54,95092122.05,4955
"Department of Transportation","Federal Highway Administration",1655,"Alaska Highways, Federal Highway Administration, Transportation",0,62861.61,4954
"Department of Transportation","Federal Highway Administration",1654,"Payment to the Highway Trust Fund, Federal Highway Administration, Transportation",0,0,4953
"Department of Transportation","Federal Highway Administration",1653,"Highway Studies Feasibility, Design, Environmental, Engineering, Federal Highway Administration, Transportation",0,274956.94,4952
"Department of Transportation","Federal Highway Administration",1652,"Pennsylvania Reconstruction Demonstration Project, Federal Highway Administration, Transportation",0,0,4951
"Department of Transportation","Federal Highway Administration",1651,"Highway Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",0,0,4950
"Department of Transportation","Federal Highway Administration",1650,"Schenectady Bridge, Federal Highway Administration, Transportation",0,0,4949
"Department of Transportation","Federal Highway Administration",1649,"Public Lands Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",0,0,4948
"Department of Transportation","Federal Highway Administration",1648,"Cross Westchester Expressway, Federal Highway Administration, Transportation",0,0,4947
"Department of Transportation","Federal Highway Administration",1647,"Congestion Mitigation, Federal Highway Administration, Transportation",0,0,4946
"Department of Transportation","Federal Highway Administration",1646,"Appalachian Corridor Improvement Project, Federal Highway Administration, Transportation",0,0,4945
"Department of Transportation","Federal Highway Administration",1645,"Highway Widening and Improvement Demonstration Project, Federal Highway Administration, Transportation",0,0,4944
"Department of Transportation","Federal Highway Administration",1644,"Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",0,0,4943
"Department of Transportation","Federal Highway Administration",1643,"Bridge Improvement Demonstration Project, Federal Highway Administration, Transportation",0,0,4942
"Department of Transportation","Federal Highway Administration",1642,"Denali Access System Program, Federal Highway Administration, Transportation",12691.12,0,4941
"Department of Transportation","Federal Highway Administration",1641,"Bikeway Program, Federal Highway Administration, Transportation",0,0,4940
"Department of Transportation","Federal Highway Administration",1640,"Inter-American Highway, Federal Highway Administration, Transportation",0,0,4939
"Department of Transportation","Federal Highway Administration",1639,"Surface Transportation Projects, Federal Highway Administration, Transportation",11422.71,2440706.41,4938
"Department of Transportation","Federal Highway Administration",1637,"Access Highways to Public Recreation Areas on Certain Lakes, Federal Highway Administration, Transportation",0,352333.19,4936
"Department of Transportation","Federal Highway Administration",1636,"Off-System Roads, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",0,0,4935
"Department of Transportation","Federal Highway Administration",1635,"Emergency Relief Program, Federal Highway Administration, Transportation",405897879.2,2321734156,4934
"Department of Transportation","Surface Transportation Board",1633,"Salaries and Expenses, Surface Transportation Board, Transportation",0,610677.04,4932
"Department of Transportation","Office of the Secretary",1632,"National Surface Transportation and Innovative Finance Bureau, Transportation",904132.71,9155859.64,4931
"Department of Transportation","Office of the Secretary",1631,"Cyber Security Initiatives, Office of the Secretary, Transportation",6001532.45,21229058.66,4930
"Department of Transportation","Office of the Secretary",1630,"Compensation for General Aviation Operations, Office of the Secretary, Transportation",0,0,4929
"Department of Transportation","Office of the Secretary",1629,"Minority Business Resource Center Program, Office of the Secretary, Transportation",54332.27,3506970.92,4928
"Department of Transportation","Office of the Secretary",1628,"Activities Transferred from Civil Aeronautics Board, Office of the Secretary, Transportation",0,0,4927
"Department of Transportation","Office of the Secretary",1627,"New Headquarters Building, Office of the Secretary, Transportation",0,58249.27,4926
"Department of Transportation","Office of the Secretary",1626,"National Infrastructure Investments, Office of the Secretary, Transportation",67116116.68,2341325204,4925
"Department of Transportation","Office of the Secretary",1625,"Transportation Planning, Research, and Development, Office of the Secretary, Transportation",4102670.4,22317665.46,4924
"Department of Transportation","Office of Inspector General",1624,"Salaries and Expenses - Recovery Act, Office of Inspector General, Transportation",0,0,4923
"Department of Transportation","Office of Inspector General",1623,"Salaries and Expenses, Office of Inspector General, Transportation",40840610.86,62991818.68,4922
"Department of Transportation","Federal Railroad Administration",1621,"Restoration and Enhancement Grants, Federal Railroad Administration, Transportation",0,25000000,4920
"Department of Transportation","Federal Railroad Administration",1620,"Capital and Debt Service Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",2146280.33,11383313.27,4919
"Department of Transportation","Federal Railroad Administration",1619,"Railroad Rehabilitation and Repair, Federal Railroad Administration, Transportation",0,0.64,4918
"Department of Transportation","Federal Railroad Administration",1618,"Northeast Corridor Improvement Program, Federal Railroad Administration, Transportation",0,20163136.48,4917
"Department of Transportation","Federal Railroad Administration",1617,"Rail Service Assistance, Federal Railroad Administration, Transportation",0,154041.33,4916
"Department of Transportation","Federal Railroad Administration",1616,"Operating Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",0,0,4915
"Department of Transportation","Federal Railroad Administration",1615,"Efficiency Incentive Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",0,0,4914
"Department of Transportation","Office of the Secretary",1614,"Small and Disadvantaged Business Utilization and Outreach, Office of the Secretary, Transportation",1884086.62,9552506.96,4913
"Department of Transportation","Office of the Secretary",1613,"Office of Civil Rights, Office of the Secretary, Transportation",3282604.82,9728833.33,4912
"Department of Transportation","Office of the Secretary",1612,"Rental Payments, Office of the Secretary",0,0,4911
"Department of Transportation","Office of the Secretary",1611,"Financial Management Capital, Office of the Secretary, Transportation",0,2065999.1,4910
"Department of Transportation","Office of the Secretary",1608,"Transportation Research Activities Overseas, Special Foreign Currency Program, Office of the Secretary, Transportation",0,0,4907
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1607,"Research and Special Programs, Pipeline and Hazardous Materials Safety Administration, Transportation",0,199341.84,4906
"Department of Transportation","Office of the Secretary",1606,"Salaries and Expenses, Office of the Secretary, Transportation",49888780.06,129900414.6,4905
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1604,"Inland Oil Spill Programs, Environmental Protection Agency",10248112.36,99684507.99,4903
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1601,"Leaking Underground Storage Tank Trust Fund - Treasury Managed, Environmental Protection Agency",102423549.4,54292669.31,4900
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1600,"Hazardous Substance Superfund, Environmental Protection Agency",449805474.8,3942739956,4899
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1590,"Pesticide Registration Fund, Environmental Protection Agency",7478099.57,23091259.08,4889
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1589,"Exxon Valdez Settlement Fund, Environmental Protection Agency",0,1.23,4888
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1588,"Working Capital Fund, Environmental Protection Agency",80692749.15,253188784.9,4887
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1587,"Damage Assessment and Restoration Revolving Fund, Environmental Protection Agency",1258882.27,2892128.39,4886
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1586,"Hazardous Waste Electronic Manifest System Fund, Environmental Protection Agency",718787.82,3331155.08,4885
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1585,"Revolving Fund for Certification and Other Services, Environmental Protection Agency",0,0.11,4884
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1584,"Reregistration and Expedited Processing Revolving Fund, Environmental Protection Agency",13863682.71,51850743.41,4883
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1583,"Water Infrastructure Finance And Innovation Program Account, Environmental Protection Agency",1595748.65,34543315.24,4882
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1582,"Payment to the Hazardous Substances Superfund, Environmental Protection Agency",582471155.8,0,4879
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1581,"Abatement, Control and Compliance Loan Program, Environmental Protection Agency",0,0.46,4877
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1580,"Office of Inspector General - Recovery Act, Environmental Protection Agency",0,1526836.59,4876
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1579,"Office of Inspector General, Environmental Protection Agency",22316024.66,12916195.6,4875
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1578,"Buildings and Facilities, Environmental Protection Agency",8264425.51,28458652.19,4874
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1577,"Energy Research and Development, Environmental Protection Agency",0,5284.29,4873
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1576,"Environmental Programs and Management, Environmental Protection Agency",1150752940,891814388.2,4872
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1575,"Science and Technology, Environmental Protection Agency",301706628.6,216536424,4871
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)",1574,"State and Tribal Assistance Grants, Environmental Protection Agency",228502615,2003053693,4869
"National Science Foundation","National Science Foundation (no sub-agencies)",1479,"Donations, National Science Foundation",26715229.84,20721229.14,4761
"National Science Foundation","National Science Foundation (no sub-agencies)",1477,"Salaries and Expenses, H-1B Funded, Education  and Human Resources, National Science Foundation",74447499.96,58745629.48,4759
"National Science Foundation","National Science Foundation (no sub-agencies)",1476,"Major Research Equipment and Facilities Construction, National Science Foundation",54796822.34,159906448.4,4757
"National Science Foundation","National Science Foundation (no sub-agencies)",1475,"Office of the National Science Board, National Science Foundation",1987183.08,2970511.84,4756
"National Science Foundation","National Science Foundation (no sub-agencies)",1474,"Office of Inspector General - Recovery Act, National Science Foundation",0,4168.73,4755
"National Science Foundation","National Science Foundation (no sub-agencies)",1473,"Office of Inspector General, National Science Foundation",6423493.19,10002484.46,4754
"National Science Foundation","National Science Foundation (no sub-agencies)",1472,"Agency Operations and Award Management, National Science Foundation",137073189.2,211581323.4,4753
"National Science Foundation","National Science Foundation (no sub-agencies)",1471,"Education and Human Resources, National Science Foundation",86160755.2,898449550.1,4751
"National Science Foundation","National Science Foundation (no sub-agencies)",1470,"Research and Related Activities, National Science Foundation",1178556944,5607808769,4749
"General Services Administration","Real Property Activities",1469,"Unconditional Gifts of Real, Personal, or Other Property, General Services Administration",0,282147.49,4748
"General Services Administration","General Activities",1463,"Acquisition Workforce Training Fund, General Services Administration",6049875.37,19661023.72,4740
"General Services Administration","Real Property Activities",1462,"Expenses, Disposal of Surplus Real and Related Personal Property, General Services Administration",290430.37,12161574.74,4738
"General Services Administration","Supply and Technology Activities",1461,"Expenses of Transportation Audit Contracts and Contract Administration, General Services Administration",7393453.57,14841437.08,4737
"General Services Administration","General Activities",1460,"Federal Citizen Services Fund, General Services Administration",30816928.74,25449584.92,4735
