"Recipient","agency","subagency","product_or_service_code","product_or_service_description","obligation","parent","parent_name","icon"
"Morgan State University","Department of Defense","Department of the Navy","AJ12","R&D-PHYSICAL SCIENCE-A RES/EXPL DEV",150000,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Mount St Mary's University","Department of Defense","Department of the Army","R499","OTHER PROFESSIONAL SERVICES",16135.6,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Murray State University","Department of Agriculture","Animal and Plant Health Inspection Service","R416","SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE",50000,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Murray State University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",13971.04,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"New England Institute of Technology","Department of Defense","Department of the Navy","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",4618.85,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"New Jersey Institute of Technology","Department of Defense","Defense Advanced Research Projects Agency","AC61","R&D-ELECTRONICS & COMM EQ-B RES",208324,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"New Jersey Institute of Technology","Department of Defense","Defense Advanced Research Projects Agency","AJ21","R&D-MATH & COMPUTER SCI-B RES",887531,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"New Jersey Institute of Technology","Department of Defense","Department of the Army","AD91","OTHER DEFENSE (BASIC)",220375,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"New Jersey Institute of Technology","Department of Defense","Department of the Army","AF14","R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT)",10241872,"AF","EDUCATION R & D","183-university-1.svg"
"New Jersey Institute of Technology","Department of Defense","Department of the Army","AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",123550,"AH","ENVIRONMENTAL PROTECTION R&D","034-hand-holding-a-stalk.svg"
"New Jersey Institute of Technology","Environmental Protection Agency","Environmental Protection Agency","X1AB","LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES",3666.5,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"New Mexico Institute of Mining and Technology","Department of Defense","Department of the Army","2940","ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT",9817,"29","ENGINE ACCESSORIES","006-tools-and-utensils-3.svg"
"New Mexico Institute of Mining and Technology","Department of Defense","Department of the Navy","X1JZ","LEASE/RENTAL OF MISCELLANEOUS BUILDINGS",27866,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"New Mexico Institute of Mining and Technology","Department of the Interior","Bureau of Land Management","B506","SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)",48684.87,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"New Mexico Military Institute","Department of Defense","Department of the Army","S216","HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT",43422,"S2","HOUSEKEEPING SERVICES","062-maid-1.svg"
"New Mexico Military Institute","Department of Defense","Department of the Army","U008","TRAINING/CURRICULUM DEVELOPMENT",14594,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"New Mexico State University-Main Campus","Department of Defense","Department of the Army","AC61","R&D-ELECTRONICS & COMM EQ-B RES",200000,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"New Mexico State University-Main Campus","Department of Defense","Department of the Army","AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",281580,"AH","ENVIRONMENTAL PROTECTION R&D","034-hand-holding-a-stalk.svg"
"New Mexico State University-Main Campus","Department of Defense","Department of the Army","AJ14","R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ENGINEERING DEVELOPMENT)",69617,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"New Mexico State University-Main Campus","Department of Defense","Department of the Army","AZ14","R&D-OTHER R & D-ENG DEV",6528662.11,"AZ","OTHER R&D","176-microscope.svg"
"New Mexico State University-Main Campus","Department of Defense","Department of the Army","R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS",212851.3,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"New Mexico State University-Main Campus","Department of Defense","Department of the Navy","AZ14","R&D-OTHER R & D-ENG DEV",2139909.97,"AZ","OTHER R&D","176-microscope.svg"
"New Mexico State University-Main Campus","Department of Health and Human Services","Food and Drug Administration","H199","QUALITY CONT SV/MISC EQ",24308.51,"H1","QUALITY CONTROL SERVICES","064-id-card.svg"
"New York Institute of Technology","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",589766.58,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"New York Law School","Equal Employment Opportunity Commission","Equal Employment Opportunity Commission","R607","WORD PROCESSING/TYPING SERVICES",17460,"R6","ADMINISTRATIVE SUPPORT SERVICES","074-meeting-2.svg"
"New York Medical College","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",459155.02,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"New York Medical College","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response","AZ11","R&D-OTHER R & D-B RES",1070257,"AZ","OTHER R&D","176-microscope.svg"
"New York University","Department of Defense","Department of the Army","AN91","OTHER MEDICAL (BASIC)",525000,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"New York University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",969683.72,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"New York University","Department of Health and Human Services","Centers for Disease Control and Prevention","Q201","GENERAL HEALTH CARE SERVICES",1737324.99,"Q2","GENERAL HEALTH CARE SERVICES","011-doctor.svg"
"New York University","Department of Health and Human Services","Centers for Disease Control and Prevention","Q301","MEDICAL- LABORATORY TESTING",44320,"Q3","LABORATORY TESTING SERVICES","192-chemistry.svg"
"New York University","Department of Health and Human Services","Food and Drug Administration","6550","IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",21297.18,"65","MEDICAL, DENTAL, VETERINARY EQUIPMENT","127-stethoscope.svg"
"New York University","Department of Health and Human Services","Food and Drug Administration","AZ11","R&D-OTHER R & D-B RES",199993,"AZ","OTHER R&D","176-microscope.svg"
"New York University","Department of Health and Human Services","National Institutes of Health","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",1277038,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"New York University","Department of Health and Human Services","National Institutes of Health","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",12760,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"New York University","Department of Homeland Security","Office of the Under Secretary for Science and Technology","AZ17","R&D-OTHER R & D-COMERCLIZ",749005,"AZ","OTHER R&D","176-microscope.svg"
"New York University","Department of Veterans Affairs","Department of Veterans Affairs","AA21","AGRICULTURE MARKETING (BASIC)",7491.16,"AA","AGRICULTURE R&D","160-corn.svg"
"New York University","Department of Veterans Affairs","Department of Veterans Affairs","AN91","OTHER MEDICAL (BASIC)",12055.3,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"New York University","Department of Veterans Affairs","Department of Veterans Affairs","Q502","CARDIO-VASCULAR SERVICES",578946.75,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"New York University","Department of Veterans Affairs","Department of Veterans Affairs","Q509","INTERNAL MEDICINE SERVICES",545764.12,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"New York University","Department of Veterans Affairs","Department of Veterans Affairs","Q522","MEDICAL- RADIOLOGY",1045778.2,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"New York University","Department of Veterans Affairs","Department of Veterans Affairs","Q523","MEDICAL- SURGERY",1467761.65,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"New York University","Department of Veterans Affairs","Department of Veterans Affairs","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",105889.45,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"New York University","Department of Veterans Affairs","Department of Veterans Affairs","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",5500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"New York University","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AR42","R&D-SPACE TRACK DATA ACQ-A RES/EXPL",35169,"AR","SPACE R&D","187-satellite.svg"
"New York University","Peace Corps","Peace Corps","U009","EDUCATION/TRAINING- GENERAL",20104,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Nicolet Area Technical College","Department of Agriculture","Forest Service","U009","EDUCATION/TRAINING- GENERAL",15500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"North Carolina A & T State University","Department of Defense","Department of Defense","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",1337476,"AZ","OTHER R&D","176-microscope.svg"
"North Carolina A & T State University","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",89695,"AZ","OTHER R&D","176-microscope.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Agricultural Marketing Service","H387","INSPECTION- AGRICULTURAL SUPPLIES",4800,"H3","INSPECTION SERVICES","009-search-in-folder.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Agricultural Research Service","6640","LABORATORY EQUIPMENT AND SUPPLIES",16717,"66","INSTRUMENTS & LABORATORY EQUIPMENT","192-chemistry.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Agricultural Research Service","B504","STUDY/CHEMICAL-BIOLOGICAL",19815,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Agricultural Research Service","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",13421.98,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Agricultural Research Service","U004","SCIENTIFIC AND MANAGEMENT EDUCATION",3685.2,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Agricultural Research Service","X1LZ","LEASE/RENTAL OF PARKING FACILITIES",14310,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Animal and Plant Health Inspection Service","D317","AUTO NEWS, DATA & OTHER SVCS",36000,"D3","IT & TELECOMMUNICATIONS","171-desktop-computer.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Forest Service","B532","SOIL STUDIES",5023.2,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Forest Service","U004","SCIENTIFIC AND MANAGEMENT EDUCATION",16250,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"North Carolina State University at Raleigh","Department of Agriculture","Forest Service","U009","EDUCATION/TRAINING- GENERAL",5720,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"North Carolina State University at Raleigh","Department of Commerce","National Oceanic and Atmospheric Administration","AJ31","ENVIRONMENTAL SCIENCES (BASIC)",1745,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"North Carolina State University at Raleigh","Department of Defense","Department of the Air Force","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",253178,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"North Carolina State University at Raleigh","Department of Defense","Department of the Army","AD41","R&D-TEXTILES,CLOTHING,ETC-B RES",276793,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"North Carolina State University at Raleigh","Department of Defense","Department of the Army","AD91","OTHER DEFENSE (BASIC)",39997,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"North Carolina State University at Raleigh","Department of Defense","Department of the Army","AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",572102,"AH","ENVIRONMENTAL PROTECTION R&D","034-hand-holding-a-stalk.svg"
"North Carolina State University at Raleigh","Department of Defense","Department of the Army","G003","RECREATIONAL SERVICES",27880,"G0","SOCIAL SERVICES","074-meeting-2.svg"
"North Carolina State University at Raleigh","Department of Defense","Department of the Army","H284","EQUIPMENT AND MATERIALS TESTING- CLOTHING, INDIVIDUAL EQUIPMENT, AND INSIGNIA",219900,"H2","EQUIPMENT & MATERIALS TESTING","006-line-chart.svg"
"North Carolina State University at Raleigh","Department of Defense","Department of the Navy","AD24","SERVICES (ENGINEERING)",700000,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"North Carolina State University at Raleigh","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",779399.63,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"North Carolina State University at Raleigh","Department of Defense","Missile Defense Agency","AC23","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)",440000,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"North Carolina State University at Raleigh","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only","F110","ENVIRON SYS PROTECT- DEVELOPMENT OF ENVIRON IMPACT STMTS/ASSESSMENTS, TECH ANALYSIS/ENVIRON AUDITS",20600,"F1","ENVIRONMENTAL SYSTEMS PROTECTION","035-world-in-your-hands.svg"
"North Carolina State University at Raleigh","Department of Health and Human Services","Centers for Disease Control and Prevention","H268","EQ TEST SVCS/CHEMICAL PRODUCTS",30000,"H2","EQUIPMENT & MATERIALS TESTING","006-line-chart.svg"
"North Carolina State University at Raleigh","Department of Health and Human Services","Food and Drug Administration","AF11","R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)",100000,"AF","EDUCATION R & D","183-university-1.svg"
"North Carolina State University at Raleigh","Department of Health and Human Services","Food and Drug Administration","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",149997,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"North Carolina State University at Raleigh","Department of Health and Human Services","Food and Drug Administration","U008","TRAINING/CURRICULUM DEVELOPMENT",83464,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"North Carolina State University at Raleigh","Department of Health and Human Services","National Institutes of Health","6640","LABORATORY EQUIPMENT AND SUPPLIES",14500,"66","INSTRUMENTS & LABORATORY EQUIPMENT","192-chemistry.svg"
"North Carolina State University at Raleigh","Department of Health and Human Services","National Institutes of Health","Q301","MEDICAL- LABORATORY TESTING",13785,"Q3","LABORATORY TESTING SERVICES","192-chemistry.svg"
"North Carolina State University at Raleigh","Department of Transportation","Federal Highway Administration","AB96","R&D-OTHER SVC & DEVELOP-MGMT SUP",785476,"AB","COMMUNITY SERVICE R&D","083-teacher.svg"
"North Carolina State University at Raleigh","Department of Transportation","Federal Highway Administration","R699","OTHER ADMINISTRATIVE SUPPORT SVCS",44043.56,"R6","ADMINISTRATIVE SUPPORT SERVICES","074-meeting-2.svg"
"North Carolina State University at Raleigh","Department of Transportation","Pipeline and Hazardous Materials Safety Administration","AS31","RAIL TRANSPORTATION (BASIC)",170091,"AS","TRANSPORTATION (MODAL) R&D","194-delivery-truck.svg"
"North Carolina State University at Raleigh","Environmental Protection Agency","Environmental Protection Agency","AJ11","PHYSICAL SCIENCES (BASIC)",19965,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"North Carolina State University at Raleigh","Peace Corps","Peace Corps","U009","EDUCATION/TRAINING- GENERAL",19103,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"North Dakota State University-Main Campus","Department of Defense","Department of the Army","X1CZ","LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS",17380,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Northeast Ohio Medical University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",116862.87,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northeast Wisconsin Technical College","Department of Defense","Department of the Navy","X1CZ","LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS",480,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Northeastern Junior College","Department of Veterans Affairs","Department of Veterans Affairs","Q201","GENERAL HEALTH CARE SERVICES",37500,"Q2","GENERAL HEALTH CARE SERVICES","011-doctor.svg"
"Northeastern Technical College","Department of Justice","Federal Prison System / Bureau of Prisons","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",160933.7,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northeastern University","Department of Defense","Defense Advanced Research Projects Agency","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",499581,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"Northeastern University","Department of Defense","Department of the Army","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",60200,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Northeastern University","Department of Defense","Department of the Army","U010","EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS",117441.17,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northeastern University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",51479.01,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northeastern University","Department of Transportation","Immediate Office of the Secretary of Transportation","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",4999,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northeastern University","Department of Transportation","Immediate Office of the Secretary of Transportation","U008","TRAINING/CURRICULUM DEVELOPMENT",4999,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northeastern University","Department of Veterans Affairs","Department of Veterans Affairs","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",364284.74,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Northeastern University","Department of Veterans Affairs","Department of Veterans Affairs","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",30560,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Northeastern University","Department of Veterans Affairs","Department of Veterans Affairs","Q517","MEDICAL- PHARMACOLOGY",87412,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"Northeastern University","National Labor Relations Board","National Labor Relations Board","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",8912.38,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northern Arizona University","Department of Agriculture","Forest Service","R699","OTHER ADMINISTRATIVE SUPPORT SVCS",3139.08,"R6","ADMINISTRATIVE SUPPORT SERVICES","074-meeting-2.svg"
"Northern Arizona University","Department of Defense","Defense Threat Reduction Agency","AN93","R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)",908202,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Northern Arizona University","Department of Defense","Defense Threat Reduction Agency","AR91","R&D-OTHER SPACE-B RES",362839,"AR","SPACE R&D","187-satellite.svg"
"Northern Arizona University","Department of Defense","Department of the Army","AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",441189,"AH","ENVIRONMENTAL PROTECTION R&D","034-hand-holding-a-stalk.svg"
"Northern Arizona University","Department of Health and Human Services","Indian Health Service","U008","TRAINING/CURRICULUM DEVELOPMENT",40327,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northern Arizona University","Department of Homeland Security","Office of the Under Secretary for Science and Technology","AZ11","R&D-OTHER R & D-B RES",1687492,"AZ","OTHER R&D","176-microscope.svg"
"Northern Arizona University","Department of the Interior","U.S. Geological Survey","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",11255.4,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Northern Arizona University","Department of the Interior","U.S. Geological Survey","B532","SOIL STUDIES",4648,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Northern Virginia Community College","Department of Agriculture","Food and Nutrition Service","U008","TRAINING/CURRICULUM DEVELOPMENT",24999,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northern Virginia Community College","Department of Defense","Department of the Air Force","X1JZ","LEASE/RENTAL OF MISCELLANEOUS BUILDINGS",25365,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Northern Virginia Community College","Department of Defense","Department of the Navy","R499","OTHER PROFESSIONAL SERVICES",4161,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Northern Virginia Community College","Department of Defense","Department of the Navy","X1AZ","LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS",3452,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Northern Virginia Community College","Department of Defense","Department of the Navy","X1CZ","LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS",62303.05,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Northern Virginia Community College","Department of the Interior","National Park Service","R430","SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING",15750,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Northwest Technical College","Department of Agriculture","Forest Service","F005","FOREST TREE PLANTING SERVICES",4180,"F0","NATURAL RESOURCE CONSERVERVAT ION SERVICES","034-hand-holding-a-stalk.svg"
"Northwestern University","Department of Defense","Defense Logistics Agency","U009","EDUCATION/TRAINING- GENERAL",156500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northwestern University","Department of Defense","Department of the Army","6635","PHYSICAL PROPERTIES TESTING AND INSPECTION",215000,"66","INSTRUMENTS & LABORATORY EQUIPMENT","192-chemistry.svg"
"Northwestern University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",1608466,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northwestern University","Department of Education","Department of Education","U009","EDUCATION/TRAINING- GENERAL",4500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northwestern University","Department of Health and Human Services","Food and Drug Administration","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",138618,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Northwestern University","Department of Health and Human Services","National Institutes of Health","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",491295.12,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Northwestern University","Department of Health and Human Services","National Institutes of Health","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",6855557.19,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Northwestern University","Department of Health and Human Services","National Institutes of Health","Q301","MEDICAL- LABORATORY TESTING",6180,"Q3","LABORATORY TESTING SERVICES","192-chemistry.svg"
"Northwestern University","Department of Health and Human Services","National Institutes of Health","R499","OTHER PROFESSIONAL SERVICES",23000,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Northwestern University","Department of Justice","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","U099","OTHER ED & TRNG SVCS",21600,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northwestern University","Department of Justice","U.S. Marshals Service","U009","EDUCATION/TRAINING- GENERAL",12000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Northwestern University","Department of the Interior","U.S. Geological Survey","X1BG","LEASE/RENTAL OF ELECTRONIC AND COMMUNICATIONS FACILITIES",10140,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Norwich University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",2823513.02,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Norwich University","Department of the Treasury","Bureau of the Fiscal Service","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",4950,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Nova Southeastern University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",757609.14,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Oakland University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",158428,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Occidental College","Department of Homeland Security","U.S. Coast Guard","U009","EDUCATION/TRAINING- GENERAL",25246,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Ohio State University","Department of Agriculture","Agricultural Research Service","6640","LABORATORY EQUIPMENT AND SUPPLIES",22447.5,"66","INSTRUMENTS & LABORATORY EQUIPMENT","192-chemistry.svg"
"Ohio State University","Department of Agriculture","Agricultural Research Service","AJ51","LIFE SCIENCES (BASIC)",5568,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Ohio State University","Department of Agriculture","Agricultural Research Service","B504","STUDY/CHEMICAL-BIOLOGICAL",7515.65,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Ohio State University","Department of Agriculture","Agricultural Research Service","B532","SOIL STUDIES",5568,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Ohio State University","Department of Agriculture","Agricultural Research Service","B599","OTHER SPECIAL STUDIES AND ANALYSES",3000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Ohio State University","Department of Defense","Defense Threat Reduction Agency","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",556783,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"Ohio State University","Department of Defense","Department of the Air Force","6910","TRAINING AIDS",179375,"69","TRAINING AIDS & DEVICES","066-presentation-1.svg"
"Ohio State University","Department of Defense","Department of the Air Force","7030","ADP SOFTWARE",143584.77,"70","IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","099-browser.svg"
"Ohio State University","Department of Defense","Department of the Air Force","AC12","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",50000,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"Ohio State University","Department of Defense","Department of the Air Force","AC22","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",99924,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"Ohio State University","Department of Defense","Department of the Air Force","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",260000,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
