"Agency","Subagency","accountID","Title","Obligation","Unobligated"
"Department of Health and Human Services","Administration for Children and Families",2191,"Promoting Safe and Stable Families, Administration for Children and Families, Health and Human Services",66008608.05,112893657.2
"Department of Health and Human Services","Administration for Children and Families",2200,"Child Care Entitlement to States, Administration for Children and Families, Health and Human Services",1033931585,1883886598
"Department of Health and Human Services","Administration for Children and Families",2192,"Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",530120252.1,333763096
"Department of Health and Human Services","Administration for Children and Families",2196,"Social Services Block Grant, Administration for Children and Families, Health and Human Services",300102150,215833244.7
"Department of Health and Human Services","Administration for Children and Families",2197,"Children and Families Services Programs, Administration for Children and Families, Health and Human Services",1034214313,2545721526
"Department of Health and Human Services","Administration for Children and Families",2202,"Children's Research and Technical Assistance, Administration for Children and Families, Health and Human Services",3564759.11,76762787.3
"Department of Health and Human Services","Administration for Children and Families",2198,"Payments for Foster Care and Permanency, Administration for Children and Families, Health and Human Services",2067974776,3281847841
"Department of Health and Human Services","Administration for Community Living",2094,"Aging and Disability Services Programs, Administration for Community Living, Health and Human Services",296275516.7,330519497.8
"Department of Health and Human Services","Departmental Management",2084,"General Departmental Management, Departmental Management, Health and Human Services",80643570.15,373315207.8
"Department of Health and Human Services","Departmental Management",2096,"Payment to the State Response to the Opioid Abuse Crisis Account, CURES Act, Departmental Administration, Health and Human Services",500000000,0
"Department of Health and Human Services","Departmental Management",2221,"State Response to the Opioid Abuse Crisis, CURES Act, Departmental Administration, Health and Human Services",0,112927863
"Department of Health and Human Services","Departmental Management",2091,"Office for Civil Rights, Departmental Management, Health and Human Services",6917653.64,48599284.31
"Department of Health and Human Services","Departmental Management",2089,"Office of the National Coordinator for Health Information Technology, Departmental Management, Health and Human Services",8366032.74,16260246.23
"Department of Health and Human Services","Departmental Management",2090,"Office of the National Coordinator for Health Information Technology - Recovery Act, Office of the Secretary, Health and Human Services",0,1717454.57
"Department of Health and Human Services","Departmental Management",2092,"Medicare Appeals, Departmental Management, Health and Human Services",22740982.93,17603153.68
"Department of Health and Human Services","Departmental Management",2093,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",164907570.7,744324382
"Department of Health and Human Services","Departmental Management",2095,"Transfers from the Patient-Centered Outcome Research Trust Fund, Departmental Management, Health and Human Services",23931812.47,126996856.3
"Department of Health and Human Services","Departmental Management",2086,"Nonrecurring Expense Fund, Office of the Secretary, Health and Human Services",7142353.02,560977492.6
"Department of Health and Human Services","Departmental Management",2083,"Health Insurance Reform Implementation Fund, Departmental Management, Health and Human Services",0,5668161.7
"Department of Health and Human Services","Departmental Management",2080,"Prevention and Public Health Fund, Departmental Management, Health and Human Services",0,840600000
"Department of Health and Human Services","Departmental Management",2081,"Pregnancy Assistance Fund, Departmental Management, Health and Human Services",166177.57,23335801.59
"Department of Health and Human Services","Departmental Management",2205,"Section 241 Transactions Account, Office of the Secretary, Health and Human Services",0,0
"Department of Health and Human Services","Program Support Center",2117,"Retirement Pay and Medical Benefits for Commissioned Officers, Office of the Assistant Secretary for Health, Health and Human Services",143882281.2,528170949.4
"Department of Health and Human Services","Program Support Center",2099,"HHS Accrual Contribution to the Uniformed Services Retiree Health Care Fund, Office of the Assistant Secretary for Health, Health and Human Services",31965930,0
"Department of Health and Human Services","Program Support Center",2181,"Scientific Activities Overseas, Special Foreign Currency Program, Assistant Secretary for Health, Health and Human Services",0,968170.18
"Department of Health and Human Services","Program Support Center",2182,"Public Health Emergency Fund, Public Health Services, Office of Assistant Secretary for Health, Health and Human Services",0,56507.52
"Department of Health and Human Services","Program Support Center",2212,"HHS Service and Supply Fund, Program Support Center, Health and Human Services",352240382,1637132421
"Department of Health and Human Services","Program Support Center",2239,"Contributions, Indian Health Facilities, Indian Health Services, Health and Human Services",23584278.93,12261231.22
"Department of Health and Human Services","Program Support Center",2241,"Food and Drug Administration Unconditional Gift Fund",0,0
"Department of Health and Human Services","Program Support Center",2242,"National Institutes of Health Unconditional Gift Fund, Health and Human Services",375598.42,72119326.9
"Department of Health and Human Services","Program Support Center",2243,"Unconditional Gift Fund, Health Resources and Services Administration, Health and Human Services",0,147757.52
"Department of Health and Human Services","Program Support Center",2244,"Gifts and Donations, Centers for Disease Control, Health and Human Services",2528299.57,28012017.59
"Department of Health and Human Services","Program Support Center",2245,"National Institutes of Health Conditional Gift Fund, Health and Human Services",2785690.94,94848352.88
"Department of Health and Human Services","Program Support Center",2246,"Conditional Gift Fund, Health Resources and Services Administration, Health and Human Services",0,3767799.05
"Department of Health and Human Services","Program Support Center",2255,"Patients' Benefit Fund, National Institutes of Health, Health and Human Services",1049,363667.42
"Department of Health and Human Services","Program Support Center",2256,"Patients' Benefit Fund, Health Resources and Services Administration, Health and Human Services",3030.68,376847.45
"Department of Health and Human Services","Program Support Center",2250,"Administration on Aging Gift Fund, Health and Human Services",0,310491.36
"Department of Health and Human Services","Program Support Center",2251,"Indian Health Service Gift Fund, Health and Human Services",4240.6,808804.83
"Department of Health and Human Services","Program Support Center",2252,"Agency for Healthcare Research and Quality Gift Fund, Health and Human Services",19149.72,196804.73
"Department of Health and Human Services","Program Support Center",2253,"Substance Abuse and Mental Health Administration Gift Fund, Health and Human Services",0,289482.18
"Department of Health and Human Services","Program Support Center",2254,"Office of the Secretary Gift Fund, Health and Human Services",0,102755.95
"Department of Health and Human Services","Office of the Inspector General",2087,"Office of the Inspector General, Office of the Secretary, Health and Human Services",79016329.5,200053903.4
"Department of Homeland Security","Office of the Secretary and Executive Management",1858,"Office of the Secretary and Executive Management, Operations and Support, Departmental Management and Operations, Homeland Security",32530070.58,31624527.61
"Department of Homeland Security","Office of the Secretary and Executive Management",1859,"Counterterrorism Fund, Departmental Management and Operations, Homeland Security",0,39687.35
"Department of Homeland Security","Office of the Secretary and Executive Management",1861,"Office of the Secretary and Executive Management, Departmental Management and Operations, Homeland Security",2403.29,8821177.39
"Department of Homeland Security","Office of the Secretary and Executive Management",1991,"Gifts and Donations, Department Management, Homeland Security",0,3277239.73
"Department of Homeland Security","Office of the Under Secretary for Management",1863,"Office of the Under Secretary for Management, Operations and Support, Departmental Management and Operations, Homeland Security",104377501.7,232560115.5
"Department of Homeland Security","Office of the Under Secretary for Management",1862,"Office of the Under Secretary for Management, Departmental Management and Operations, Homeland Security",54866.17,115203679.2
"Department of Homeland Security","Office of the Under Secretary for Management",1860,"Department-Wide Technology Investments, Departmental Management, Homeland Security",15212.97,251707021.8
"Department of Homeland Security","Office of the Under Secretary for Management",1864,"Office of the Chief Information Officer, Departmental Management and Operations, Homeland Security",539869.86,51137777.56
"Department of Homeland Security","Office of the Under Secretary for Management",1875,"Procurement, Construction, and Improvements, Departmental Management and Operations, Homeland Security",11159847.06,54670409.39
"Department of Homeland Security","Office of the Under Secretary for Management",1934,"Research and Development, Departmental Management and Operations, Homeland Security",0,1044462.96
"Department of Homeland Security","Office of the Under Secretary for Management",1947,"Working Capital Fund Departmental Management, Homeland Security",70669683.75,544823866.3
"Department of Homeland Security","Analysis and Operations",1865,"Analysis and Operations, Operations and Support, Departmental Management and Operations, Homeland Security",44992929.6,95328278.91
"Department of Homeland Security","Office of the Inspector General",1867,"Operations and Support, Office of Inspector General, Homeland Security",42700601.62,56753162.45
"Department of Homeland Security","U.S. Customs and Border Protection",1892,"Operations and Support, U.S. Customs and Border Protection, Homeland Security",2964637275,3823459679
"Department of Homeland Security","U.S. Customs and Border Protection",1884,"Customs and Border Protection, USCS, Homeland Security",0,121451.63
"Department of Homeland Security","U.S. Customs and Border Protection",1970,"Customs and Border Protection Services at User Fee Facilities, U.S. Customs and Border Protection, Homeland Security",5741845.46,19009369.4
"Department of Homeland Security","U.S. Customs and Border Protection",1950,"Customs and Border Protection, Immigration User Fees, Border and Transportation Security, Homeland Security",132475979.4,793079531.1
"Department of Homeland Security","U.S. Customs and Border Protection",1952,"Customs and Border Protection, Land Border Inspection Fees, Border and Transportation Security, Homeland Security",10129709,52244522.81
"Department of Homeland Security","U.S. Customs and Border Protection",1961,"Immigration Enforcement Account, Border and Transportation Security, Homeland Security",0,1661149.31
"Department of Homeland Security","U.S. Customs and Border Protection",1971,"Customs and Border Protection, Customs User Fees Account, USCS, Homeland Security",160625051.9,962203970.7
"Department of Homeland Security","U.S. Customs and Border Protection",1997,"Customs and Border Protection, Violent Crime Reduction Trust Fund, USCS, Homeland Security",0,0.56
"Department of Homeland Security","U.S. Customs and Border Protection",1895,"Border Security Fencing, Infrastructure, and Technology, U.S. Customs and Border Protection, Homeland Security",876666.98,110477000.9
"Department of Homeland Security","U.S. Customs and Border Protection",1893,"Automation Modernization, U.S. Customs and Border Protection, Homeland Security",20239.38,32695779.14
"Department of Homeland Security","U.S. Customs and Border Protection",1894,"Procurement, Construction, and Improvements, U.S. Customs and Border Protection, Homeland Security",4502808.16,549878153.1
"Department of Homeland Security","U.S. Customs and Border Protection",1900,"Air and Marine Operations, U.S. Customs and Border Protection, Homeland Security",314318.13,74579597.14
"Department of Homeland Security","U.S. Customs and Border Protection",1945,"Enhanced Inspectional Services, U.S. Customs and Border Protection, Homeland Security",3114071.79,15685928.21
"Department of Homeland Security","U.S. Customs and Border Protection",1969,"Customs and Border Protection, Transfer and Expenses of Operation, Puerto Rico, USCS, Homeland Security",4312275.14,104155534.3
"Department of Homeland Security","U.S. Customs and Border Protection",1964,"International Registered Traveler Program Fund, U.S. Customs and Border Protection, Homeland Security",9604066.49,303707205
"Department of Homeland Security","U.S. Customs and Border Protection",1967,"Electronic System for Travel Authorization, U.S. Customs and Border Protection, Homeland Security",3297397.13,285191105.6
"Department of Homeland Security","U.S. Customs and Border Protection",1966,"APEC Business Travel Card Account, Customs and Border Protection, Homeland Security",0,3804944
"Department of Homeland Security","U.S. Customs and Border Protection",1973,"9-11 Response and Biometric Exit Account, U.S. Customs and Border Protection, Homeland Security",12970447.01,168810795.3
"Department of Homeland Security","U.S. Customs and Border Protection",2001,"Refunds, Transfers and Expenses, Abandoned and Seized Goods, USCS, Homeland Security",960.14,2532358.87
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1896,"Operations and Support, U.S. Immigration and Customs Enforcement, Homeland Security",1577993932,1189583369
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1885,"Immigration and Customs Enforcement, Border and Transportation Security, Homeland Security",0,40567.44
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1955,"Student and Exchange Visitor Program, Border and Transportation Security, Homeland Security",42636548.05,239638979.1
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2000,"Violent Crime Reduction Program, Immigration Services, Homeland Security",0,0.16
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1954,"Breach Bond/Detention Fund, Border and Transportation Security, Homeland Security",26.76,69513962.97
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1956,"Immigration User Fee Account, BICE, Homeland Security",71072643.81,161202815.4
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1963,"Detention and Removal Operations, U.S. Immigration and Customs Enforcement, Homeland Security",827.22,1934391.59
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1899,"Automation Modernization, U.S. Immigration and Customs Enforcement, Homeland Security",330701.8,6270898.17
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1901,"Procurement, Construction, and Improvements, U.S. Immigration and Customs Enforcement, Homeland Security",22803.52,23000293.07
"Department of Homeland Security","Transportation Security Administration",1902,"Operations and Support, Transportation Security Administration, Homeland Security",1545038707,1612834091
"Department of Homeland Security","Transportation Security Administration",1887,"Expenses, Transportation Security Administration, Border and Transportation Security, Homeland Security",212.29,441.32
"Department of Homeland Security","Transportation Security Administration",1897,"Federal Air Marshals, Transportation Security Administration,  Homeland Security",637.3,10069303.47
"Department of Homeland Security","Transportation Security Administration",1959,"Unclaimed Checkpoint Money, Transportation Security Administration, Homeland Security",0,1949045.22
"Department of Homeland Security","Transportation Security Administration",1965,"Airport Checkpoint Screening Fund, Transportation Security Administration, Homeland Security",0,313369.78
"Department of Homeland Security","Transportation Security Administration",1903,"Surface Transportation Security, Transportation Security Administration, Homeland Security",253.71,8220439.88
"Department of Homeland Security","Transportation Security Administration",1906,"Intelligence and Vetting , Transportation Security Administration, Homeland Security",294470.84,29787568.82
"Department of Homeland Security","Transportation Security Administration",1905,"Transportation Security Support, Transportation Security Administration, Homeland Security",232681.63,46936430.4
"Department of Homeland Security","Transportation Security Administration",1904,"Research and Development, Transportation Security Administration, Border and Transportation Security, Homeland Security",0,243849.41
"Department of Homeland Security","Transportation Security Administration",1877,"Procurement, Construction, and Improvements, Transportation Security Administration, Homeland Security",7697968.82,102371460.9
"Department of Homeland Security","Transportation Security Administration",1957,"Aviation Security Capital Fund, Transportation Security Administration, Homeland Security",4464385.35,591651105.7
"Department of Homeland Security","Transportation Security Administration",1935,"Research and Development,Transportation Security Administration, Homeland Security",0,2210174
"Department of Homeland Security","United States Coast Guard",1913,"Operating Expenses, Coast Guard, Homeland Security",1637238887,1207927795
"Department of Homeland Security","United States Coast Guard",1914,"Environmental Complaince and Restoration, Coast Guard, Homeland Security",2552984.79,28196396.66
"Department of Homeland Security","United States Coast Guard",1915,"Reserve Training, Coast Guard, Homeland Security",20744290.69,16771791.91
"Department of Homeland Security","United States Coast Guard",1916,"Acquisition, Construction, and Improvements, Coast Guard, Homeland Security",150059843.8,1566258133
"Department of Homeland Security","United States Coast Guard",1917,"Alteration of Bridges, Coast Guard, Homeland Security",0,14617838.96
"Department of Homeland Security","United States Coast Guard",1918,"Research, Development, Test, and Evaluation, Coast Guard, Homeland Security",3555261.08,42751325.07
"Department of Homeland Security","United States Coast Guard",1919,"Medicare-Eligible Retiree Health Fund Contribution, United States Coast Guard, Homeland Security",204135830,0
"Department of Homeland Security","United States Coast Guard",1912,"Retired Pay, Coast Guard, Homeland Security",439915272.6,190018130.6
"Department of Homeland Security","United States Coast Guard",1946,"Supply Fund, USCG, Homeland Security",18772209.96,145437257
"Department of Homeland Security","United States Coast Guard",1949,"Yard Fund, USCG, Homeland Security",42207381.25,187707553.5
"Department of Homeland Security","United States Coast Guard",1988,"Sport Fish Restoration and Boating Trust Fund, Homeland Security",0,0
"Department of Homeland Security","United States Coast Guard",1989,"Boat Safety, USCG, Homeland Security",663880.47,121674220.5
"Department of Homeland Security","United States Coast Guard",1998,"General Gift Fund, USCG, Homeland Security",422151.41,2455923.9
"Department of Homeland Security","United States Coast Guard",1990,"Oil Spill Liability Trust Fund-Treasury Managed, Homeland Security",24011.15,0
"Department of Homeland Security","United States Coast Guard",1994,"Oil Spill Recovery, USCG, Homeland Security",6486952.39,245805025.2
"Department of Homeland Security","United States Coast Guard",1992,"Payment of Claims (Oil Spill Liability Trust Fund), Homeland Security",4582078.49,0
"Department of Homeland Security","United States Secret Service",1870,"Operations and Support, United States Secret Service, Homeland Security",317260856.1,185034094.3
"Department of Homeland Security","United States Secret Service",1874,"Contribution for Annuity Benefits, United States Secret Service, Homeland Security",64219351.06,254588537.7
"Department of Homeland Security","United States Secret Service",1871,"Procurement, Construction, and Improvements, United States Secret Service, Homeland Security",1307870.55,128221034.5
"Department of Homeland Security","United States Secret Service",1937,"Research and Development, United States Secret Service, Homeland Securty",0,1505087
"Department of Homeland Security","National Protection and Programs Directorate",1911,"Operations and Support, National Protection and Programs Directorate, Homeland Security",188875894.4,298982710.1
"Department of Homeland Security","National Protection and Programs Directorate",1943,"Operating Expenses, Information Analysis and Infrastructure Protection, Homeland Security",0,508800.84
"Department of Homeland Security","National Protection and Programs Directorate",1910,"Infrastructure Protection and Information Security, National Protection and Programs Directorate, Homeland Security",40168.69,36547723.26
"Department of Homeland Security","National Protection and Programs Directorate",1898,"Federal Protective Service, National Protection and Programs Directorate, Homeland Security",532162265.3,1111941609
"Department of Homeland Security","National Protection and Programs Directorate",1891,"Office of Biometric Identity Management, National Protection and Programs Directorate, Homeland Security",5716.17,161299004.2
"Department of Homeland Security","National Protection and Programs Directorate",1927,"Biodefense Countermeasures, National Protection and Programs Directorate, Homeland Security",0,13167.4
"Department of Homeland Security","National Protection and Programs Directorate",1879,"Procurement, Construction, and Improvements, National Protection and Programs Directorate, Homeland Security",54287015.15,346235557.3
"Department of Homeland Security","National Protection and Programs Directorate",1938,"Research and Development, National Protection and Programs Directorate, Homeland Security",0,1970037.31
"Department of Homeland Security","Office of Health Affairs",1866,"Operations and Support, National Protection and Programs Directorate, Homeland Security",5906823.54,118530002.7
"Department of Homeland Security","Federal Emergency Management Agency",1880,"Federal Assistance, Federal Emergency Management Agency, Homeland Security",66442038.04,1711425286
"Department of Homeland Security","Federal Emergency Management Agency",1920,"Operations and Support, Federal Emergency Management Agency, Homeland Security",178248783,269560359.3
"Department of Homeland Security","Federal Emergency Management Agency",1907,"State and Local Programs, Federal Emergency Management Agency, Homeland Security",612559.07,78495527.24
"Department of Homeland Security","Federal Emergency Management Agency",1890,"Office of Domestic Preparedness, Federal Emergency Management Agency, Homeland Security",0,0
"Department of Homeland Security","Federal Emergency Management Agency",1908,"Firefighter Assistance Grants, Federal Emergency Management Agency, Homeland Security",0,76338001.24
"Department of Homeland Security","Federal Emergency Management Agency",1931,"Emergency Management Performance Grants, Federal Emergency Management Agency, Homeland Security",0,16543681.56
"Department of Homeland Security","Federal Emergency Management Agency",1928,"Radiological Emergency Preparedness Program, Federal Emergency Management Agency, Homeland Security",7702890.68,75882655.06
"Department of Homeland Security","Federal Emergency Management Agency",1909,"United States Fire Administration, Federal Emergency Management Agency, Homeland Security",13039.34,5254228.04
"Department of Homeland Security","Federal Emergency Management Agency",1922,"Disaster Relief, Federal Emergency Management Agency, Homeland Security",12887160515,11922382623
"Department of Homeland Security","Federal Emergency Management Agency",1883,"Flood Hazard Mapping and Risk Analysis Program, Federal Emergency Management Agency, Homeland Security",1908679.52,21326707.31
"Department of Homeland Security","Federal Emergency Management Agency",1944,"National Flood Insurance Fund, Federal Emergency Management Agency, Homeland Security",7486978378,18323510255
"Department of Homeland Security","Federal Emergency Management Agency",1972,"National Flood Insurance Reserve Fund, Homeland Security",495979100,1223852147
"Department of Homeland Security","Federal Emergency Management Agency",1929,"National Predisaster Mitigation Fund, Federal Emergency Management Agency, Homeland Security",47384.5,102254234.4
"Department of Homeland Security","Federal Emergency Management Agency",1921,"Grant Programs, Emergency Preparedness and Response, Homeland Security",0,0.05
"Department of Homeland Security","Federal Emergency Management Agency",1924,"Emergency Food and Shelter, Federal Emergency Management Agency, Homeland Security",0,1000000.07
"Department of Homeland Security","Federal Emergency Management Agency",1925,"Preparedness, Mitigation, Response, and Recovery, Federal Emergency Management Agency, Homeland Security",0,81048.14
"Department of Homeland Security","Federal Emergency Management Agency",1926,"Administrative and Regional Operations, Emergency Preparedness and Response, Homeland Security",0,1672.31
"Department of Homeland Security","Federal Emergency Management Agency",1923,"Disaster Assistance Direct Loan Program Account, Federal Emergency Management Agency, Homeland Security",33489624,5026727641
"Department of Homeland Security","Federal Emergency Management Agency",1881,"Procurement, Construction, and Improvements, Federal Emergency Management Agency, Homeland Security",2006127.54,18808258.06
"Department of Homeland Security","Citizenship and Immigration Services",1869,"Operations and Support, United States Citizenship and Immigration Services, Homeland Security",19287123.02,38584703.73
"Department of Homeland Security","Citizenship and Immigration Services",1951,"Immigration Examination Fees, Immigration Services, Homeland Security",1108283084,4176011447
"Department of Homeland Security","Citizenship and Immigration Services",1953,"Immigration Services, H-1 B Funded, Homeland Security",9750000,28727665.61
"Department of Homeland Security","Citizenship and Immigration Services",1958,"H-1B and L Fraud Prevention and Detection Account, Citizenship and Immigration Services, Homeland Security",7504192.38,80315122.42
"Department of Homeland Security","Citizenship and Immigration Services",1876,"Procurement, Construction, and Improvements, United States Citizenship and Immigration Services, Homeland Security",250905.8,4348179.38
"Department of Homeland Security","Federal Law Enforcement Training Center",1888,"Operations and Support, Federal Law Enforcement Training Center, Homeland Security",92068261.67,221123752.2
"Department of Homeland Security","Federal Law Enforcement Training Center",1889,"Procurement, Construction, and Improvements, Federal Law Enforcement Training Center, Homeland Security",7601523.29,235764744
"Department of Homeland Security","Science and Technology",1933,"Operations and Support, Science and Technology, Homeland Security",49938463.18,280467946.1
"Department of Homeland Security","Science and Technology",1939,"Management and Administration, Science and Technology, Homeland Security",25.31,2747050.03
"Department of Homeland Security","Science and Technology",1936,"Research and Development, Science and Technology, Homeland Security",32790054.25,289300752.4
"Department of Homeland Security","Domestic Nuclear Detection Office",1941,"Operations and Support, Domestic Nuclear Detection Office, Homeland Security",8927393.18,8446568.65
"Department of Homeland Security","Domestic Nuclear Detection Office",1940,"Research and Development, Domestic Nuclear Detection Office, Homeland Security",10031964.86,64786753.62
"Department of Homeland Security","Domestic Nuclear Detection Office",1942,"Procurement, Construction, and Improvements, Domestic Nuclear Detection Office,  Homeland Security",9006507.61,53869945.14
"Department of Homeland Security","Domestic Nuclear Detection Office",1878,"Federal Assistance, Domestic Nuclear Detection Office, Homeland Security",323426.21,35031334.89
"Department of Housing and Urban Development","Public and Indian Housing Programs",2324,"Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",6465995984,2824591999
"Department of Housing and Urban Development","Public and Indian Housing Programs",2333,"Housing Certificate Fund, Public and Indian Housing, Housing and Urban Development",0,206400859.2
"Department of Housing and Urban Development","Public and Indian Housing Programs",2326,"Public Housing Capital Fund, Public and Indian Housing, Housing and Urban Development",19268644.51,710101831.8
"Department of Housing and Urban Development","Public and Indian Housing Programs",2300,"Public Housing Operating Fund, Public and Indian Housing, Housing and Urban Development",1078677214,1018137696
"Department of Housing and Urban Development","Public and Indian Housing Programs",2310,"Drug Elimination Grants for Low-Income Housing, Housing Programs, Housing and Urban Development",0,0
"Department of Housing and Urban Development","Public and Indian Housing Programs",2355,"Choice Neighborhoods Initiative, Public and Indian Housing Programs, Housing and Urban Development",0,178573599.1
"Department of Housing and Urban Development","Public and Indian Housing Programs",2314,"Revitalization of Severely Distressed Public Housing, (HOPE VI), Public and Indian Housing, Housing and Urban Development",0,1420345.4
"Department of Housing and Urban Development","Public and Indian Housing Programs",2356,"Family Self-Sufficiency, Public and Indian Housing, Housing and Urban Development",0,101470009.2
"Department of Housing and Urban Development","Public and Indian Housing Programs",2329,"Native American Housing Block Grants, Public and Indian Housing, Housing and Urban Development",22748271,227384630.5
"Department of Housing and Urban Development","Public and Indian Housing Programs",2320,"Native Hawaiian Housing Block Grant, Public and Indian Housing, Housing and Urban Development",0,2526519.46
"Department of Housing and Urban Development","Public and Indian Housing Programs",2317,"Indian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",236566,10827671.53
"Department of Housing and Urban Development","Public and Indian Housing Programs",2318,"Native Hawaiian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",0,5925554.02
"Department of Housing and Urban Development","Community Planning and Development",2327,"Housing Opportunities for Persons with AIDS, Community Planning and Development, Housing and Urban Development",243604704,157362697.1
"Department of Housing and Urban Development","Community Planning and Development",2299,"Community Development Fund, Community Planning and Development, Housing and Urban Development",1864263209,8948249800
"Department of Housing and Urban Development","Community Planning and Development",2331,"Empowerment Zones/Enterprise Communities, Community Planning and Development, Housing and Urban Development",0,118000
"Department of Housing and Urban Development","Community Planning and Development",2330,"Brownfields Redevelopment, Community Planning and Development, Housing and Urban Development",0,114717.5
"Department of Housing and Urban Development","Community Planning and Development",2313,"Home Investment Partnerships Program, Community and Planning Development, Housing and Urban Development",600916121,335562121.4
"Department of Housing and Urban Development","Community Planning and Development",2383,"Housing Trust Fund, Community Planning and Development, Housing and Urban Development",145316582.9,27321742
"Department of Housing and Urban Development","Community Planning and Development",2303,"Self-Help and Assisted Homeownership Opportunity Program, Community Planning and Development, Housing and Urban Development",0,77301956.85
"Department of Housing and Urban Development","Community Planning and Development",2350,"Neighborhood Stabilization Program, Community Planning and Development, Housing and Urban Development",0,94487.28
"Department of Housing and Urban Development","Community Planning and Development",2308,"Homeless Assistance Grants, Community Planning and Development, Housing and Urban Development",261188605.4,3504187508
"Department of Housing and Urban Development","Community Planning and Development",2348,"Permanent Supportive Housing, Housing and Urban Development",0,0
"Department of Housing and Urban Development","Community Planning and Development",2335,"Rural Housing and Economic Development, Public and Indian Housing, Housing and Urban Development",0,1355404.17
"Department of Housing and Urban Development","Community Planning and Development",2361,"Revolving Fund, Liquidating Programs, Housing and Urban Development",0,110000
"Department of Housing and Urban Development","Community Planning and Development",2311,"Community Development Loan Guarantees Program Account, Community Planning and Development, Housing and Urban Development",0,1058832.6
"Department of Housing and Urban Development","Community Planning and Development",2369,"Section 8-Community Development Guaranteed Loans, Liquidating Account, Housing and Urban Development",0,0.5
"Department of Housing and Urban Development","Housing Programs",2325,"Project-Based Rental Assistance, Housing Programs, Housing and Urban Development",1484550568,2341221401
"Department of Housing and Urban Development","Housing Programs",2334,"Housing for the Elderly, Housing Programs, Housing and Urban Development",88627094,236627611.3
"Department of Housing and Urban Development","Housing Programs",2322,"Housing for Persons with Disabilities, Housing Programs, Housing and Urban Development",34863442,94162644.42
"Department of Housing and Urban Development","Housing Programs",2298,"Housing Counseling Assistance, Housing Programs, Housing and Urban Development",16053.57,23818475.87
"Department of Housing and Urban Development","Housing Programs",2357,"Energy Innovation Fund, Housing Programs, Housing and Urban Development",0,18883838.22
"Department of Housing and Urban Development","Housing Programs",2359,"Emergency Homeowner's Relief Fund, Housing Programs, Housing and Urban Development",0,329430981.5
"Department of Housing and Urban Development","Housing Programs",2365,"College Housing Loans, Housing and Urban Development",0,12336221.08
"Department of Housing and Urban Development","Housing Programs",2297,"Rental Housing Assistance, Housing Programs, Housing and Urban Development",2957600,31123132.45
"Department of Housing and Urban Development","Housing Programs",2294,"Rent Supplement, Housing Programs, Housing and Urban Development",0,4135722.41
"Department of Housing and Urban Development","Housing Programs",2309,"Homeownership and Opportunity for People Everywhere Grants (HOPE Grants), Housing Programs, Housing and Urban Development",0,1070.91
"Department of Housing and Urban Development","Housing Programs",2362,"Rental Housing Assistance Fund, Federal Housing Administration, Housing and Urban Development",0,10286356.54
"Department of Housing and Urban Development","Housing Programs",2364,"Flexible Subsidy Fund, Housing Programs, Housing and Urban Development",0,485635437
"Department of Housing and Urban Development","Housing Programs",2349,"Home Ownership Preservation Entity Fund Program Account, Housing and Urban Development",0,7319666.33
"Department of Housing and Urban Development","Housing Programs",2367,"Nehemiah Housing Opportunity Fund, Housing and Urban Development",0,29500
"Department of Housing and Urban Development","Housing Programs",2304,"Mutual Mortgage Insurance Program Account, Federal Housing Administration, Housing and Urban Development",7526100.47,131616920.3
"Department of Housing and Urban Development","Housing Programs",2321,"FHA, Mutual Mortgage Insurance Capital Reserve Account, Housing and Urban Development",0,38933062193
"Department of Housing and Urban Development","Housing Programs",2366,"Federal Housing Administration Fund, Housing and Urban Development",15796397.69,8073897.14
"Department of Housing and Urban Development","Housing Programs",2312,"General and Special Risk Program Account, Federal Housing Administration, Housing and Urban Development",0,805120.71
"Department of Housing and Urban Development","Housing Programs",2368,"FHA-General and Special Risk Insurance Fund Liquidating Account, Housing and Urban Development",37543271.36,188302143.9
"Department of Housing and Urban Development","Housing Programs",2371,"Housing for the Elderly or Handicapped Fund, Housing and Urban Development",19350,57035917.1
"Department of Housing and Urban Development","Housing Programs",2382,"Manufactured Housing Fees Trust Fund, Housing Programs, Housing and Urban Development",447981,4179290.03
"Department of Housing and Urban Development","Government National Mortgage Association",2323,"Guarantees of Mortgage-Backed Securities Capital Reserve Account, Government National Mortgage Association, Housing and Urban Development",0,17502950940
"Department of Housing and Urban Development","Government National Mortgage Association",2305,"Guarantees of Mortgage-Backed Securities Loan Guarantees, Program Account, Government National Mortgage Association, Housing and Urban Development, 1992",63634780.82,769787962.2
