"source","target","value"
"Public Buildings Service","EDUCATION & TRAINING SERVICES",206366.02
"Public Buildings Service","SPECIAL STUDIES - NOT R&D",24840
"Risk Management Agency","EDUCATION & TRAINING SERVICES",81250
"Rural Business Cooperative Service","Regional Development",5615644
"Rural Business Cooperative Service","Environment",1138003
"Rural Business Cooperative Service","Healthcare Services",978341
"Rural Business Cooperative Service","Energy Programs",972765
"Rural Housing Service","Regional Development",4148478
"Rural Housing Service","Housing and Development",606325
"Rural Housing Service","MANAGEMENT SUPPORT SERVICES",219662
"Rural Housing Service","EDUCATION R & D",34500
"Rural Utilities Service","Education",11947588
"Rural Utilities Service","Regional Development",1240521
"Rural Utilities Service","Water Resources",649688
"Rural Utilities Service","Hazardous Materials",335810
"Securities and Exchange Commission","PROFESSIONAL SERVICES",1076685
"Securities and Exchange Commission","EDUCATION & TRAINING SERVICES",181275
"Securities and Exchange Commission","IT & TELECOMMUNICATIONS",75635
"Securities and Exchange Commission","Science, Engineering, and Mathematics",42538
"Small Business Administration","Business",112371760.75
"Small Business Administration","Veterans Programs",5380560.92
"Small Business Administration","Trade Assistance",460310
"Small Business Administration","PROFESSIONAL SERVICES",424731.92
"Smithsonian Institution","COMMUNITY SERVICE R&D",1211435
"Smithsonian Institution","PROFESSIONAL SERVICES",757386.61
"Smithsonian Institution","SPACE R&D",194425
"Smithsonian Institution","SPECIAL STUDIES - NOT R&D",139735
"Smithsonian Institution","PURCHASE BUILDINGS",75000
"Social Security Administration","Medical and Federal Benefits",6726750.9
"Social Security Administration","EDUCATION & TRAINING SERVICES",4327583
"Social Security Administration","Individuals with Disabilities",543440
"Substance Abuse and Mental Health Services Administration","Addiction and Recovery",120393984
"Substance Abuse and Mental Health Services Administration","PROFESSIONAL SERVICES",7675625
"Substance Abuse and Mental Health Services Administration","Healthcare Services",3899990
"Substance Abuse and Mental Health Services Administration","Social Wellness and Development",1874839
"Substance Abuse and Mental Health Services Administration","Individuals with Disabilities",458554
"The Council of the Inspectors General on Integrity and Efficiency","EDUCATION & TRAINING SERVICES",509000
"Transportation Security Administration","EDUCATION & TRAINING SERVICES",2944266.86
"Transportation Security Administration","SPECIAL STUDIES - NOT R&D",2713991.16
"Transportation Security Administration","EDUCATION R & D",2694650.98
"Transportation Security Administration","PROFESSIONAL SERVICES",536225.09
"Transportation Security Administration","IT & TELECOMMUNICATIONS",124169
"U.S. Army Corps of Engineers - Civil Program Financing Only","OTHER R&D",2433144.9
"U.S. Army Corps of Engineers - Civil Program Financing Only","SPECIAL STUDIES - NOT R&D",1177301.55
"U.S. Army Corps of Engineers - Civil Program Financing Only","IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT",312499
"U.S. Army Corps of Engineers - Civil Program Financing Only","PROFESSIONAL SERVICES",269828.23
"U.S. Army Corps of Engineers - Civil Program Financing Only","EDUCATION & TRAINING SERVICES",185890
"U.S. Census Bureau","Science, Engineering, and Mathematics",499874
"U.S. Census Bureau","PROFESSIONAL SERVICES",203361.88
"U.S. Census Bureau","GEN. SCIENCE & TECHNOLOGY R&D",119357
"U.S. Citizenship and Immigration Services","EDUCATION & TRAINING SERVICES",141471
"U.S. Citizenship and Immigration Services","LEASE & RENTAL OF BUILDINGS",9624
"U.S. Coast Guard","SPECIAL STUDIES - NOT R&D",2419433.02
"U.S. Coast Guard","EDUCATION & TRAINING SERVICES",343313.39
"U.S. Coast Guard","GEN. SCIENCE & TECHNOLOGY R&D",33495.41
"U.S. Coast Guard","LEASE & RENTAL EQUIPMENT",15000
"U.S. Coast Guard","LEASE & RENTAL OF BUILDINGS",14320.8
"U.S. Customs and Border Protection","DEFENSE (OTHER) R&D",13124000
"U.S. Customs and Border Protection","PROFESSIONAL SERVICES",4101655.65
"U.S. Customs and Border Protection","SPECIAL STUDIES - NOT R&D",2782184.67
"U.S. Customs and Border Protection","TRAINING AIDS & DEVICES",705440
"U.S. Customs and Border Protection","EDUCATION R & D",700000
"U.S. Fish and Wildlife Service","Wildlife",6588186.88
"U.S. Fish and Wildlife Service","Science, Engineering, and Mathematics",5842151.14
"U.S. Fish and Wildlife Service","Disaster Response and Assistance",2638728.77
"U.S. Fish and Wildlife Service","Water Resources",2109684.48
"U.S. Fish and Wildlife Service","Wildlife Conservation",1522824.65
"U.S. Geological Survey","Environmental R&D",55357277.58
"U.S. Geological Survey","Wildlife",14357437.22
"U.S. Geological Survey","Wildlife Conservation",11590694.64
"U.S. Geological Survey","Communications and GIS",3918992.53
"U.S. Geological Survey","Hazmat and Fire Safety",2949027
"U.S. Immigration and Customs Enforcement","EDUCATION & TRAINING SERVICES",602487.52
"U.S. Immigration and Customs Enforcement","EDUCATION R & D",75000
"U.S. Immigration and Customs Enforcement","EQUIPMENT & MATERIALS TESTING",50748
"U.S. Immigration and Customs Enforcement","RECREATIONAL & ATHLETIC EQUIPMENT",7334
"U.S. Marshals Service","EDUCATION & TRAINING SERVICES",152083
"U.S. Marshals Service","PURCHASE BUILDINGS",5600
"U.S. Secret Service","SPECIAL STUDIES - NOT R&D",2094631.54
"U.S. Secret Service","PROFESSIONAL SERVICES",192701
"U.S. Secret Service","IT & TELECOMMUNICATIONS",150000
"U.S. Secret Service","EDUCATION & TRAINING SERVICES",140016.8
"U.S. Secret Service","LEASE & RENTAL OF BUILDINGS",100000
"U.S. Special Operations Command","PROFESSIONAL SERVICES",16683675.75
"U.S. Special Operations Command","DEFENSE (OTHER) R&D",784973
"U.S. Special Operations Command","EDUCATION & TRAINING SERVICES",130426
"U.S. Special Operations Command","MEDICAL, DENTAL, VETERINARY EQUIPMENT",5000
"Under Secretary for Benefits/Veterans Benefits Administration","Veterans Programs",39977
"Under Secretary for Health/Veterans Health Administration","Homelessness",1598532
"Under Secretary for Health/Veterans Health Administration","Veterans Programs",574928.11
"Uniformed Services University of the Health Sciences","Medical R&D",4351861
"Uniformed Services University of the Health Sciences","EDUCATION & TRAINING SERVICES",2057683
"Uniformed Services University of the Health Sciences","PROFESSIONAL SERVICES",318571.86
"Uniformed Services University of the Health Sciences","IT & TELECOMMUNICATIONS",312621.2
"Uniformed Services University of the Health Sciences","INSTRUMENTS & LABORATORY EQUIPMENT",20000
"United States Chemical Safety Board","EDUCATION & TRAINING SERVICES",10300
"Veterans Employment and Training Services","INCOME SECURITY R&D",70299
"Veterans Employment and Training Services","Homelessness",6704.68
"Washington Headquarters Services","Historic Sites",17273300
"Washington Headquarters Services","Regional Development",10736610
"Washington Headquarters Services","Science, Engineering, and Mathematics",1459877
"Washington Headquarters Services","PROFESSIONAL SERVICES",988257.08
"Washington Headquarters Services","Homeland Security",488264
